dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
elec2,gnb,never_adapt,4,0,4626,4630,4,100,SKIP,False,0.772877618522602,False,nan,0.65,,0.65,0,0,0,0,0,34,params,False,0,0,0.12287761852260193,,,,,,,,,,
elec2,gnb,never_adapt,4,1,4909,4909,0,279,SKIP,False,0.875,False,nan,0.6964285714285714,,0.6964285714285714,0,0,0,0,0,34,params,False,0,0,0.1785714285714286,,,,,0.23,0.12,,,,
elec2,gnb,never_adapt,4,2,4957,5009,52,100,SKIP,False,0.875,True,nan,0.9,,0.9,0,0,0,0,0,34,params,False,0,0,-0.025000000000000022,,,,,0.26,0.15,0.205,0.11,,
elec2,gnb,never_adapt,4,3,5320,5320,0,311,SKIP,False,0.87,False,nan,0.6984126984126984,,0.6984126984126984,0,0,0,0,0,34,params,False,0,0,0.17158730158730162,,,,,0.33,0.09,0.21,0.195,,
elec2,gnb,never_adapt,4,4,6660,6660,0,1000,SKIP,False,0.675,False,nan,0.66,,0.66,0,0,0,0,0,34,params,False,0,0,0.015000000000000013,,,,,0.45,0.23,0.34,0.165,0.228,0.206
elec2,gnb,never_adapt,4,5,6829,6829,0,169,SKIP,False,0.675,True,nan,0.6764705882352942,,0.6764705882352942,0,0,0,0,0,34,params,False,0,0,-0.0014705882352941124,,,,,0.14,0.33,0.235,0.255,0.212,0.224
elec2,gnb,never_adapt,4,6,6924,6929,5,100,SKIP,False,0.675,True,nan,0.35,,0.35,0,0,0,0,0,34,params,False,0,0,0.32500000000000007,,,,,0.21,0.11,0.16,0.365,0.232,0.192
elec2,gnb,never_adapt,4,7,7190,7190,0,261,SKIP,False,0.67,False,nan,0.4339622641509434,,0.4339622641509434,0,0,0,0,0,34,params,False,0,0,0.23603773584905663,,,,,0.36,0.31,0.335,0.315,0.278,0.244
elec2,gnb,never_adapt,4,8,7269,7290,21,100,SKIP,False,0.67,True,nan,0.4,,0.4,0,0,0,0,0,34,params,False,0,0,0.27,,,,,0.61,0.21,0.41,0.35,0.344,0.236
elec2,gnb,never_adapt,4,9,7669,7669,0,379,SKIP,False,0.565,False,nan,0.34210526315789475,,0.34210526315789475,0,0,0,0,0,34,params,False,0,0,0.2228947368421052,,,,,0.52,0.28,0.4,0.5,0.482,0.246
elec2,gnb,never_adapt,4,10,8001,8001,0,332,SKIP,False,0.855,False,nan,0.7164179104477612,,0.7164179104477612,0,0,0,0,0,34,params,False,0,0,0.13858208955223883,,,,,0.26,0.08,0.17,0.355,0.274,0.408
elec2,gnb,never_adapt,4,11,8166,8166,0,165,SKIP,False,0.855,True,nan,0.8484848484848485,,0.8484848484848485,0,0,0,0,0,34,params,False,0,0,0.006515151515151474,,,,,0.09,0.13,0.11,0.145,0.144,0.482
elec2,gnb,never_adapt,4,12,8285,8285,0,119,SKIP,False,0.855,True,nan,0.625,,0.625,0,0,0,0,0,34,params,False,0,0,0.22999999999999998,,,,,0.15,0.14,0.145,0.145,0.132,0.38
elec2,gnb,never_adapt,4,13,8635,8635,0,350,SKIP,False,0.78,False,nan,0.6857142857142857,,0.6857142857142857,0,0,0,0,0,34,params,False,0,0,0.0942857142857143,,,,,0.27,0.23,0.25,0.185,0.202,0.162
elec2,gnb,never_adapt,4,14,8972,8972,0,337,SKIP,False,0.82,False,nan,0.6617647058823529,,0.6617647058823529,0,0,0,0,0,34,params,False,0,0,0.15823529411764703,,,,,0.26,0.06,0.16,0.265,0.208,0.154
elec2,gnb,never_adapt,4,15,9012,9072,60,100,SKIP,False,0.82,True,nan,0.8,,0.8,0,0,0,0,0,34,params,False,0,0,0.019999999999999907,,,,,0.2,0.14,0.17,0.26,0.194,0.154
elec2,gnb,never_adapt,4,16,9082,9172,90,100,SKIP,False,0.82,True,nan,1.0,,1.0,0,0,0,0,0,34,params,False,0,0,-0.18000000000000005,,,,,0.22,0.26,0.24,0.09,0.214,0.166
