dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
elec2,rf,always_nudge,2,0,4573,4630,57,100,NUDGE,False,0.7750826901874311,False,nan,0.75,0.75,0.75,400,5,5,80,400,100,trees,False,0,1,0.025082690187431145,0.0,,,,,,,,,
elec2,rf,always_nudge,2,1,4786,4786,0,156,NUDGE,False,0.7750826901874311,True,nan,0.46875,0.46875,0.46875,620,5,5,124,1020,100,trees,False,0,2,0.30633269018743114,0.0,,,,0.25,0.19,,,,
elec2,rf,always_nudge,2,2,4901,4901,0,115,NUDGE,False,0.7750826901874311,True,nan,0.6086956521739131,0.6086956521739131,0.6086956521739131,460,5,5,92,1480,100,trees,False,0,3,0.16638703801351806,0.0,,,,0.19,0.29,,,,
elec2,rf,always_nudge,2,3,5129,5129,0,228,NUDGE,False,0.855,False,nan,0.7608695652173914,0.7391304347826086,0.7391304347826086,910,5,5,182,2390,100,trees,False,0,4,0.09413043478260863,0.021739130434782608,,,,0.24,0.08,0.16,0.245,,
elec2,rf,always_nudge,2,4,5340,5340,0,211,NUDGE,False,0.795,False,nan,0.627906976744186,0.627906976744186,0.627906976744186,840,5,5,168,3230,100,trees,False,0,5,0.167093023255814,0.0,,,,0.23,0.19,0.21,0.18,,
elec2,rf,always_nudge,2,5,6189,6189,0,849,NUDGE,False,0.665,False,nan,0.6705882352941176,0.6647058823529411,0.6647058823529411,3395,5,5,679,6625,100,trees,False,0,6,-0.005588235294117561,0.0058823529411764705,,,,0.4,0.22,0.31,0.235,0.232,0.262
elec2,rf,always_nudge,2,6,6256,6289,33,100,NUDGE,False,0.665,True,nan,0.7,0.7,0.7,400,5,5,80,7025,100,trees,False,0,7,-0.03499999999999992,0.0,,,,0.36,0.37,0.365,0.145,0.256,0.254
elec2,rf,always_nudge,2,7,6851,6851,0,562,NUDGE,False,0.875,False,nan,0.7610619469026548,0.7787610619469026,0.7787610619469026,2245,5,5,449,9270,100,trees,False,0,8,0.11393805309734517,0.017699115044247787,,,,0.27,0.06,0.165,0.19,0.162,0.264
elec2,rf,always_nudge,2,8,6910,6951,41,100,NUDGE,False,0.875,True,nan,1.0,1.0,1.0,400,5,5,80,9670,100,trees,False,0,9,-0.125,0.0,,,,0.28,0.05,0.165,0.18,0.162,0.248
elec2,rf,always_nudge,2,9,7053,7053,0,102,NUDGE,False,0.875,True,nan,0.7142857142857143,0.7142857142857143,0.7142857142857143,405,5,5,81,10075,100,trees,False,0,10,0.1607142857142857,0.0,,,,0.16,0.08,0.12,0.17,0.146,0.266
elec2,rf,always_nudge,2,10,7180,7180,0,127,NUDGE,False,0.875,True,nan,0.3076923076923077,0.3076923076923077,0.3076923076923077,505,5,5,101,10580,100,trees,False,0,11,0.5673076923076923,0.0,,,,0.31,0.27,0.29,0.2,0.206,0.206
elec2,rf,always_nudge,2,11,9529,9529,0,1000,NUDGE,False,0.66,False,nan,0.78,0.78,0.78,4000,5,5,800,14580,100,trees,False,0,12,-0.12,0.0,,,,0.3,0.14,0.22,0.25,0.242,0.116
elec2,rf,always_nudge,2,12,9636,9636,0,107,NUDGE,False,0.66,True,nan,0.3181818181818182,0.3181818181818182,0.3181818181818182,425,5,5,85,15005,100,trees,False,0,13,0.34181818181818185,0.0,,,,0.35,0.36,0.355,0.28,0.264,0.144
elec2,rf,always_nudge,2,13,9857,9857,0,221,NUDGE,False,0.89,False,nan,0.7333333333333333,0.7333333333333333,0.7333333333333333,880,5,5,176,15885,100,trees,False,0,14,0.15666666666666673,0.0,,,,0.14,0.07,0.105,0.405,0.22,0.204
elec2,rf,always_nudge,2,14,10878,10878,0,1000,NUDGE,False,0.875,False,nan,0.81,0.825,0.825,4000,5,5,800,19885,100,trees,False,0,15,0.06499999999999995,0.015,,,,0.23,0.15,0.19,0.08,0.124,0.066
elec2,rf,always_nudge,2,15,11112,11112,0,234,NUDGE,False,0.895,False,nan,0.723404255319149,0.7446808510638298,0.7446808510638298,935,5,5,187,20820,100,trees,False,0,16,0.17159574468085104,0.02127659574468085,,,,0.15,0.11,0.13,0.225,0.146,0.074
elec2,rf,always_nudge,2,16,11152,11212,60,100,NUDGE,False,0.895,True,nan,0.95,0.95,0.95,400,5,5,80,21220,100,trees,False,0,17,-0.05499999999999994,0.0,,,,0.28,0.09,0.185,0.18,0.174,0.076
elec2,rf,always_nudge,2,17,11256,11312,56,100,NUDGE,False,0.895,True,nan,0.7,0.7,0.7,400,5,5,80,21620,100,trees,False,0,18,0.19500000000000006,0.0,,,,0.13,0.28,0.205,0.14,0.172,0.098
