dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
elec2,rf,always_rebuild,3,0,4573,4630,57,100,REBUILD,False,0.7717750826901875,False,nan,0.75,,1.0,10000,100,100,100,10000,100,trees,False,0,0,0.021775082690187464,,,,,,,,,,
elec2,rf,always_rebuild,3,1,4785,4785,0,155,REBUILD,False,0.7717750826901875,True,nan,0.4838709677419355,,1.0,15500,100,100,155,25500,100,trees,False,0,0,0.28790411494825197,,,,,0.27,0.13,,,,
elec2,rf,always_rebuild,3,2,4860,4885,25,100,REBUILD,False,0.7717750826901875,True,nan,1.0,,1.0,10000,100,100,100,35500,100,trees,False,0,0,-0.22822491730981254,,,,,0.21,0.14,,,,
elec2,rf,always_rebuild,3,3,4892,4985,93,100,REBUILD,False,0.7717750826901875,True,nan,1.0,,1.0,10000,100,100,100,45500,100,trees,False,0,0,-0.22822491730981254,,,,,0.06,0.27,,,,
elec2,rf,always_rebuild,3,4,5050,5085,35,100,REBUILD,False,0.7717750826901875,True,nan,0.45,,1.0,10000,100,100,100,55500,100,trees,False,0,0,0.32177508269018745,,,,,0.19,0.13,0.16,0.165,,
elec2,rf,always_rebuild,3,5,5356,5356,0,271,REBUILD,False,0.775,False,nan,0.45454545454545453,,1.0,27100,100,100,271,82600,100,trees,False,0,0,0.3204545454545455,,,,,0.43,0.19,0.31,0.285,,
elec2,rf,always_rebuild,3,6,5426,5456,30,100,REBUILD,False,0.775,True,nan,1.0,,1.0,10000,100,100,100,92600,100,trees,False,0,0,-0.22499999999999998,,,,,0.26,0.36,0.31,0.285,,
elec2,rf,always_rebuild,3,7,5565,5565,0,109,REBUILD,False,0.775,True,nan,0.9545454545454546,,1.0,10900,100,100,109,103500,100,trees,False,0,0,-0.17954545454545456,,,,,0.01,0.06,0.035,0.31,0.196,0.2
elec2,rf,always_rebuild,3,8,5614,5665,51,100,REBUILD,False,0.775,True,nan,0.7,,1.0,10000,100,100,100,113500,100,trees,False,0,0,0.07500000000000007,,,,,0.08,0.04,0.06,0.3,0.176,0.198
elec2,rf,always_rebuild,3,9,5744,5765,21,100,REBUILD,False,0.775,True,nan,0.85,,1.0,10000,100,100,100,123500,100,trees,False,0,0,-0.07499999999999996,,,,,0.29,0.2,0.245,0.085,0.208,0.21
elec2,rf,always_rebuild,3,10,5808,5865,57,100,REBUILD,False,0.775,True,nan,0.6,,1.0,10000,100,100,100,133500,100,trees,False,0,0,0.17500000000000004,,,,,0.24,0.28,0.26,0.04,0.184,0.212
elec2,rf,always_rebuild,3,11,5995,5995,0,130,REBUILD,False,0.775,True,nan,0.6153846153846154,,1.0,13000,100,100,130,146500,100,trees,False,0,0,0.1596153846153846,,,,,0.21,0.24,0.225,0.24,0.194,0.248
elec2,rf,always_rebuild,3,12,6062,6095,33,100,REBUILD,False,0.775,True,nan,0.95,,1.0,10000,100,100,100,156500,100,trees,False,0,0,-0.17499999999999993,,,,,0.19,0.05,0.12,0.25,0.2,0.198
elec2,rf,always_rebuild,3,13,6223,6223,0,128,REBUILD,False,0.775,True,nan,0.7692307692307693,,1.0,12800,100,100,128,169300,100,trees,False,0,0,0.005769230769230749,,,,,0.14,0.06,0.1,0.185,0.168,0.194
elec2,rf,always_rebuild,3,14,6259,6323,64,100,REBUILD,False,0.775,True,nan,0.3,,1.0,10000,100,100,100,179300,100,trees,False,0,0,0.47500000000000003,,,,,0.14,0.1,0.12,0.115,0.144,0.2
elec2,rf,always_rebuild,3,15,6540,6540,0,217,REBUILD,False,0.935,False,nan,0.7045454545454546,,1.0,21700,100,100,217,201000,100,trees,False,0,0,0.23045454545454547,,,,,0.2,0.03,0.115,0.17,0.13,0.196
elec2,rf,always_rebuild,3,16,6896,6896,0,356,REBUILD,False,0.765,False,nan,0.6388888888888888,,1.0,35600,100,100,356,236600,100,trees,False,0,0,0.12611111111111117,,,,,0.27,0.08,0.175,0.275,0.194,0.134
elec2,rf,always_rebuild,3,17,7066,7066,0,170,REBUILD,False,0.765,True,nan,0.7058823529411765,,1.0,17000,100,100,170,253600,100,trees,False,0,0,0.0591176470588235,,,,,0.16,0.23,0.195,0.13,0.19,0.144
elec2,rf,always_rebuild,3,18,7110,7166,56,100,REBUILD,False,0.765,True,nan,0.8,,1.0,10000,100,100,100,263600,100,trees,False,0,0,-0.03500000000000003,,,,,0.28,0.12,0.2,0.17,0.184,0.172
elec2,rf,always_rebuild,3,19,7185,7266,81,100,REBUILD,False,0.765,True,nan,0.9,,1.0,10000,100,100,100,273600,100,trees,False,0,0,-0.135,,,,,0.42,0.17,0.295,0.205,0.216,0.192
elec2,rf,always_rebuild,3,20,7490,7490,0,224,REBUILD,False,0.78,False,nan,0.6888888888888889,,1.0,22400,100,100,224,296000,100,trees,False,0,0,0.09111111111111114,,,,,0.39,0.14,0.265,0.345,0.28,0.208
elec2,rf,always_rebuild,3,21,7644,7644,0,154,REBUILD,False,0.78,True,nan,0.7096774193548387,,1.0,15400,100,100,154,311400,100,trees,False,0,0,0.07032258064516128,,,,,0.13,0.25,0.19,0.24,0.25,0.188
elec2,rf,always_rebuild,3,22,7707,7744,37,100,REBUILD,False,0.78,True,nan,1.0,,1.0,10000,100,100,100,321400,100,trees,False,0,0,-0.21999999999999997,,,,,0.19,0.14,0.165,0.255,0.218,0.224
elec2,rf,always_rebuild,3,23,7767,7844,77,100,REBUILD,False,0.78,True,nan,0.95,,1.0,10000,100,100,100,331400,100,trees,False,0,0,-0.16999999999999993,,,,,0.08,0.18,0.13,0.25,0.19,0.248
elec2,rf,always_rebuild,3,24,8605,8605,0,761,REBUILD,False,0.94,False,nan,0.7908496732026143,,1.0,76100,100,100,761,407500,100,trees,False,0,0,0.1491503267973856,,,,,0.23,0.14,0.185,0.085,0.128,0.124
elec2,rf,always_rebuild,3,25,8672,8705,33,100,REBUILD,False,0.94,True,nan,0.85,,1.0,10000,100,100,100,417500,100,trees,False,0,0,0.08999999999999997,,,,,0.16,0.2,0.18,0.11,0.126,0.114
elec2,rf,always_rebuild,3,26,8907,8907,0,202,REBUILD,False,0.89,False,nan,0.7073170731707317,,1.0,20200,100,100,202,437700,100,trees,False,0,0,0.18268292682926834,,,,,0.17,0.07,0.12,0.195,0.154,0.082
elec2,rf,always_rebuild,3,27,8949,9007,58,100,REBUILD,False,0.89,True,nan,0.9,,1.0,10000,100,100,100,447700,100,trees,False,0,0,-0.010000000000000009,,,,,0.22,0.08,0.15,0.16,0.164,0.088
elec2,rf,always_rebuild,3,28,9093,9107,14,100,REBUILD,False,0.89,True,nan,0.6,,1.0,10000,100,100,100,457700,100,trees,False,0,0,0.29000000000000004,,,,,0.26,0.3,0.28,0.105,0.186,0.128
elec2,rf,always_rebuild,3,29,9224,9224,0,117,REBUILD,False,0.89,True,nan,0.625,,1.0,11700,100,100,117,469400,100,trees,False,0,0,0.265,,,,,0.15,0.28,0.215,0.22,0.19,0.138
elec2,rf,always_rebuild,3,30,9326,9326,0,102,REBUILD,False,0.89,True,nan,0.7142857142857143,,1.0,10200,100,100,102,479600,100,trees,False,0,0,0.1757142857142857,,,,,0.1,0.15,0.125,0.27,0.194,0.124
elec2,rf,always_rebuild,3,31,9475,9475,0,149,REBUILD,False,0.89,True,nan,0.7,,1.0,14900,100,100,149,494500,100,trees,False,0,0,0.19000000000000006,,,,,0.12,0.18,0.15,0.185,0.164,0.18
elec2,rf,always_rebuild,3,32,9531,9575,44,100,REBUILD,False,0.89,True,nan,0.9,,1.0,10000,100,100,100,504500,100,trees,False,0,0,-0.010000000000000009,,,,,0.18,0.15,0.165,0.12,0.172,0.17
elec2,rf,always_rebuild,3,33,9607,9675,68,100,REBUILD,False,0.89,True,nan,0.7,,1.0,10000,100,100,100,514500,100,trees,False,0,0,0.19000000000000006,,,,,0.26,0.12,0.19,0.17,0.16,0.188
elec2,rf,always_rebuild,3,34,10853,10853,0,1000,REBUILD,False,0.76,False,nan,0.715,,1.0,100000,100,100,1000,614500,100,trees,False,0,0,0.04500000000000004,,,,,0.48,0.09,0.285,0.165,0.22,0.198
elec2,rf,always_rebuild,3,35,10897,10953,56,100,REBUILD,False,0.76,True,nan,0.8,,1.0,10000,100,100,100,624500,100,trees,False,0,0,-0.040000000000000036,,,,,0.3,0.26,0.28,0.095,0.212,0.184
elec2,rf,always_rebuild,3,36,11111,11111,0,158,REBUILD,False,0.76,True,nan,0.625,,1.0,15800,100,100,158,640300,100,trees,False,0,0,0.135,,,,,0.18,0.1,0.14,0.28,0.178,0.192
elec2,rf,always_rebuild,3,37,11269,11269,0,158,REBUILD,False,0.76,True,nan,0.6875,,1.0,15800,100,100,158,656100,100,trees,False,0,0,0.07250000000000001,,,,,0.14,0.24,0.19,0.085,0.2,0.166
elec2,rf,always_rebuild,3,38,11306,11369,63,100,REBUILD,False,0.76,True,nan,0.65,,1.0,10000,100,100,100,666100,100,trees,False,0,0,0.10999999999999999,,,,,0.19,0.21,0.2,0.115,0.186,0.182
elec2,rf,always_rebuild,3,39,11546,11546,0,177,REBUILD,False,0.76,True,nan,0.6388888888888888,,1.0,17700,100,100,177,683800,100,trees,False,0,0,0.12111111111111117,,,,,0.19,0.14,0.165,0.17,0.18,0.17
elec2,rf,always_rebuild,3,40,11768,11768,0,222,REBUILD,False,0.855,False,nan,0.6666666666666666,,1.0,22200,100,100,222,706000,100,trees,False,0,0,0.18833333333333335,,,,,0.19,0.18,0.185,0.16,0.192,0.198
elec2,rf,always_rebuild,3,41,12221,12221,0,453,REBUILD,False,0.805,False,nan,0.6263736263736264,,1.0,45300,100,100,453,751300,100,trees,False,0,0,0.17862637362637368,,,,,0.36,0.19,0.275,0.17,0.232,0.18
elec2,rf,always_rebuild,3,42,12298,12321,23,100,REBUILD,False,0.805,True,nan,0.5,,1.0,10000,100,100,100,761300,100,trees,False,0,0,0.30500000000000005,,,,,0.31,0.22,0.265,0.17,0.208,0.206
