dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
elec2,rf,fixed_schedule,0,0,4573,4630,57,100,NUDGE,False,0.7794928335170893,False,nan,0.75,0.75,0.75,400,5,5,80,400,100,trees,False,0,1,0.029492833517089312,0.0,,,,,,,,,
elec2,rf,fixed_schedule,0,1,4786,4786,0,156,NUDGE,False,0.7794928335170893,True,nan,0.5,0.5,0.5,620,5,5,124,1020,100,trees,False,0,2,0.2794928335170893,0.0,,,,0.21,0.18,,,,
elec2,rf,fixed_schedule,0,2,4900,4900,0,114,REBUILD,False,0.7794928335170893,True,nan,0.6521739130434783,,1.0,11400,100,100,114,12420,100,trees,False,0,0,0.12731892047361104,,,,,0.18,0.23,,,,
elec2,rf,fixed_schedule,0,3,4951,5000,49,100,NUDGE,False,0.7794928335170893,True,nan,1.0,1.0,1.0,400,5,5,80,12820,100,trees,False,0,1,-0.2205071664829107,0.0,,,,0.22,0.28,0.25,0.2,,
elec2,rf,fixed_schedule,0,4,5038,5100,62,100,NUDGE,False,0.7794928335170893,True,nan,0.1,0.1,0.1,400,5,5,80,13220,100,trees,False,0,2,0.6794928335170893,0.0,,,,0.11,0.16,0.135,0.19,,
elec2,rf,fixed_schedule,0,5,5218,5218,0,118,REBUILD,False,0.7794928335170893,True,nan,0.125,,1.0,11800,100,100,118,25020,100,trees,False,0,0,0.6544928335170893,,,,,0.51,0.53,0.52,0.145,,
elec2,rf,fixed_schedule,0,6,5352,5352,0,134,NUDGE,False,0.7794928335170893,True,nan,0.4444444444444444,0.4444444444444444,0.4444444444444444,535,5,5,107,25555,100,trees,False,0,1,0.3350483890726449,0.0,,,,0.37,0.51,0.44,0.345,,
elec2,rf,fixed_schedule,0,7,6669,6669,0,1000,NUDGE,False,0.685,False,nan,0.62,0.62,0.62,4000,5,5,800,29555,100,trees,False,0,2,0.06500000000000006,0.0,,,,0.49,0.27,0.38,0.165,0.278,0.226
elec2,rf,fixed_schedule,0,8,6819,6819,0,150,REBUILD,False,0.685,True,nan,0.7333333333333333,,1.0,15000,100,100,150,44555,100,trees,False,0,0,-0.04833333333333323,,,,,0.1,0.42,0.26,0.245,0.234,0.27
elec2,rf,fixed_schedule,0,9,6867,6919,52,100,NUDGE,False,0.685,True,nan,0.5,0.75,0.75,400,5,5,80,44955,100,trees,False,0,1,0.18500000000000005,0.25,,,,0.34,0.14,0.24,0.37,0.258,0.264
elec2,rf,fixed_schedule,0,10,7974,7974,0,1000,NUDGE,False,0.765,False,nan,0.62,0.665,0.665,4000,5,5,800,48955,100,trees,False,0,2,0.14500000000000002,0.045,,,,0.47,0.29,0.38,0.235,0.294,0.202
elec2,rf,fixed_schedule,0,11,8484,8484,0,510,REBUILD,False,0.81,False,nan,0.6666666666666666,,1.0,51000,100,100,510,99955,100,trees,False,0,0,0.14333333333333342,,,,,0.34,0.24,0.29,0.2,0.228,0.312
elec2,rf,fixed_schedule,0,12,8544,8584,40,100,NUDGE,False,0.81,True,nan,0.65,0.7,0.7,400,5,5,80,100355,100,trees,False,0,1,0.16000000000000003,0.05,,,,0.32,0.22,0.27,0.255,0.244,0.284
elec2,rf,fixed_schedule,0,13,8685,8685,0,101,NUDGE,False,0.81,True,nan,0.38095238095238093,0.5238095238095238,0.5238095238095238,400,5,5,80,100755,100,trees,False,0,2,0.4290476190476191,0.14285714285714285,,,,0.44,0.27,0.355,0.29,0.312,0.254
elec2,rf,fixed_schedule,0,14,8773,8785,12,100,REBUILD,False,0.81,True,nan,0.7,,1.0,10000,100,100,100,110755,100,trees,False,0,0,0.1100000000000001,,,,,0.23,0.38,0.305,0.295,0.29,0.282
elec2,rf,fixed_schedule,0,15,8907,8907,0,122,NUDGE,False,0.81,True,nan,0.8,0.8,0.8,485,5,5,97,111240,100,trees,False,0,1,0.010000000000000009,0.0,,,,0.07,0.16,0.115,0.36,0.246,0.26
elec2,rf,fixed_schedule,0,16,8958,9007,49,100,NUDGE,False,0.81,True,nan,0.9,0.9,0.9,400,5,5,80,111640,100,trees,False,0,2,-0.08999999999999997,0.0,,,,0.13,0.13,0.13,0.305,0.236,0.254
elec2,rf,fixed_schedule,0,17,9089,9107,18,100,REBUILD,False,0.81,True,nan,0.85,,1.0,10000,100,100,100,121640,100,trees,False,0,0,-0.039999999999999925,,,,,0.26,0.18,0.22,0.105,0.216,0.254
elec2,rf,fixed_schedule,0,18,9128,9207,79,100,NUDGE,False,0.81,True,nan,1.0,1.0,1.0,400,5,5,80,122040,100,trees,False,0,1,-0.18999999999999995,0.0,,,,0.22,0.17,0.195,0.125,0.194,0.268
elec2,rf,fixed_schedule,0,19,9215,9307,92,100,NUDGE,False,0.81,True,nan,0.05,0.25,0.25,400,5,5,80,122440,100,trees,False,0,2,0.76,0.2,,,,0.1,0.21,0.155,0.13,0.146,0.294
elec2,rf,fixed_schedule,0,20,9639,9639,0,332,REBUILD,False,0.73,False,nan,0.5223880597014925,,1.0,33200,100,100,332,155640,100,trees,False,0,0,0.2076119402985075,,,,,0.32,0.12,0.22,0.475,0.308,0.18
elec2,rf,fixed_schedule,0,21,9963,9963,0,324,NUDGE,False,0.795,False,nan,0.6,0.676923076923077,0.676923076923077,1295,5,5,259,156935,100,trees,False,0,1,0.19500000000000006,0.07692307692307693,,,,0.31,0.1,0.205,0.345,0.222,0.31
elec2,rf,fixed_schedule,0,22,10359,10359,0,396,NUDGE,False,0.76,False,nan,0.575,0.575,0.575,1580,5,5,316,158515,100,trees,False,0,2,0.18500000000000005,0.0,,,,0.34,0.21,0.275,0.255,0.268,0.236
elec2,rf,fixed_schedule,0,23,10715,10715,0,356,REBUILD,False,0.81,False,nan,0.625,,1.0,35600,100,100,356,194115,100,trees,False,0,0,0.18500000000000005,,,,,0.35,0.13,0.24,0.285,0.25,0.226
elec2,rf,fixed_schedule,0,24,10759,10815,56,100,NUDGE,False,0.81,True,nan,0.7,0.7,0.7,400,5,5,80,194515,100,trees,False,0,1,0.1100000000000001,0.0,,,,0.26,0.2,0.23,0.19,0.236,0.222
elec2,rf,fixed_schedule,0,25,11280,11280,0,465,NUDGE,False,0.89,False,nan,0.7849462365591398,0.7849462365591398,0.7849462365591398,1860,5,5,372,196375,100,trees,False,0,2,0.10505376344086026,0.0,,,,0.2,0.18,0.19,0.1,0.146,0.262
elec2,rf,fixed_schedule,0,26,11545,11545,0,265,REBUILD,False,0.915,False,nan,0.7547169811320755,,1.0,26500,100,100,265,222875,100,trees,False,0,0,0.1602830188679245,,,,,0.16,0.08,0.12,0.13,0.136,0.188
elec2,rf,fixed_schedule,0,27,11768,11768,0,223,NUDGE,False,0.855,False,nan,0.6666666666666666,0.6666666666666666,0.6666666666666666,890,5,5,178,223765,100,trees,False,0,1,0.18833333333333335,0.0,,,,0.19,0.19,0.19,0.14,0.162,0.148
elec2,rf,fixed_schedule,0,28,12232,12232,0,464,NUDGE,False,0.63,False,nan,0.45161290322580644,0.45161290322580644,0.45161290322580644,1855,5,5,371,225620,100,trees,False,0,2,0.17838709677419357,0.0,,,,0.51,0.29,0.4,0.26,0.37,0.158
elec2,rf,fixed_schedule,0,29,12539,12539,0,307,REBUILD,False,0.65,False,nan,0.3709677419354839,,1.0,30700,100,100,307,256320,100,trees,False,0,0,0.27903225806451615,,,,,0.48,0.32,0.4,0.48,0.41,0.28
elec2,rf,fixed_schedule,0,30,12639,12639,0,100,NUDGE,False,0.65,True,nan,0.75,0.75,0.75,400,5,5,80,256720,100,trees,False,0,1,-0.09999999999999998,0.0,,,,0.16,0.48,0.32,0.355,0.384,0.286
elec2,rf,fixed_schedule,0,31,12742,12742,0,103,NUDGE,False,0.65,True,nan,0.2857142857142857,0.2857142857142857,0.2857142857142857,410,5,5,82,257130,100,trees,False,0,2,0.3642857142857143,0.0,,,,0.39,0.19,0.29,0.385,0.35,0.386
elec2,rf,fixed_schedule,0,32,14580,14580,0,1000,REBUILD,False,0.63,False,nan,0.665,,1.0,100000,100,100,1000,357130,100,trees,False,0,0,-0.03500000000000003,,,,,0.4,0.27,0.335,0.24,0.292,0.204
elec2,rf,fixed_schedule,0,33,14627,14680,53,100,NUDGE,False,0.63,True,nan,1.0,1.0,1.0,400,5,5,80,357530,100,trees,False,0,1,-0.37,0.0,,,,0.25,0.28,0.265,0.29,0.282,0.204
elec2,rf,fixed_schedule,0,34,14855,14855,0,175,NUDGE,False,0.63,True,nan,0.8571428571428571,0.8571428571428571,0.8571428571428571,700,5,5,140,358230,100,trees,False,0,2,-0.2271428571428571,0.0,,,,0.1,0.02,0.06,0.24,0.168,0.264
elec2,rf,fixed_schedule,0,35,14903,14955,52,100,REBUILD,False,0.63,True,nan,0.3,,1.0,10000,100,100,100,368230,100,trees,False,0,0,0.33,,,,,0.21,0.07,0.14,0.195,0.18,0.276
elec2,rf,fixed_schedule,0,36,15020,15055,35,100,NUDGE,False,0.63,True,nan,0.9,0.9,0.9,400,5,5,80,368630,100,trees,False,0,1,-0.27,0.0,,,,0.24,0.28,0.26,0.055,0.182,0.284
elec2,rf,fixed_schedule,0,37,15100,15155,55,100,NUDGE,False,0.63,True,nan,0.95,0.95,0.95,400,5,5,80,369030,100,trees,False,0,2,-0.31999999999999995,0.0,,,,0.17,0.27,0.22,0.125,0.146,0.286
elec2,rf,fixed_schedule,0,38,15226,15255,29,100,REBUILD,False,0.63,True,nan,0.4,,1.0,10000,100,100,100,379030,100,trees,False,0,0,0.22999999999999998,,,,,0.2,0.18,0.19,0.265,0.196,0.228
elec2,rf,fixed_schedule,0,39,15389,15389,0,134,NUDGE,False,0.63,True,nan,0.5555555555555556,0.5555555555555556,0.5555555555555556,535,5,5,107,379565,100,trees,False,0,1,0.07444444444444442,0.0,,,,0.15,0.3,0.225,0.185,0.222,0.18
elec2,rf,fixed_schedule,0,40,15487,15489,2,100,NUDGE,False,0.63,True,nan,0.3,0.3,0.3,400,5,5,80,379965,100,trees,False,0,2,0.33,0.0,,,,0.35,0.13,0.24,0.25,0.23,0.176
elec2,rf,fixed_schedule,0,41,15578,15589,11,100,REBUILD,False,0.63,True,nan,0.1,,1.0,10000,100,100,100,389965,100,trees,False,0,0,0.53,,,,,0.43,0.33,0.38,0.19,0.274,0.138
elec2,rf,fixed_schedule,0,42,15645,15689,44,100,NUDGE,False,0.63,True,nan,0.4,0.4,0.4,400,5,5,80,390365,100,trees,False,0,1,0.22999999999999998,0.0,,,,0.32,0.4,0.36,0.185,0.276,0.16
elec2,rf,fixed_schedule,0,43,15707,15789,82,100,NUDGE,False,0.63,True,nan,1.0,1.0,1.0,400,5,5,80,390765,100,trees,False,0,2,-0.37,0.0,,,,0.4,0.41,0.405,0.26,0.324,0.174
elec2,rf,fixed_schedule,0,44,15849,15889,40,100,REBUILD,False,0.63,True,nan,0.9,,1.0,10000,100,100,100,400765,100,trees,False,0,0,-0.27,,,,,0.09,0.33,0.21,0.36,0.286,0.218
elec2,rf,fixed_schedule,0,45,16006,16006,0,117,NUDGE,False,0.63,True,nan,0.4166666666666667,0.4166666666666667,0.4166666666666667,465,5,5,93,401230,100,trees,False,0,1,0.21333333333333332,0.0,,,,0.23,0.17,0.2,0.235,0.256,0.232
elec2,rf,fixed_schedule,0,46,16076,16106,30,100,NUDGE,False,0.63,True,nan,1.0,1.0,1.0,400,5,5,80,401630,100,trees,False,0,2,-0.37,0.0,,,,0.26,0.15,0.205,0.195,0.218,0.27
elec2,rf,fixed_schedule,0,47,16121,16206,85,100,REBUILD,False,0.63,True,nan,0.75,,1.0,10000,100,100,100,411630,100,trees,False,0,0,-0.12,,,,,0.07,0.24,0.155,0.14,0.198,0.262
elec2,rf,fixed_schedule,0,48,19094,19094,0,1000,NUDGE,False,0.76,False,nan,0.665,0.67,0.67,4000,5,5,800,415630,100,trees,False,0,1,0.09499999999999997,0.005,,,,0.57,0.1,0.335,0.085,0.194,0.168
elec2,rf,fixed_schedule,0,49,19468,19468,0,374,NUDGE,False,0.615,False,nan,0.52,0.52,0.52,1495,5,5,299,417125,100,trees,False,0,2,0.09499999999999997,0.0,,,,0.39,0.19,0.29,0.49,0.394,0.088
elec2,rf,fixed_schedule,0,50,19766,19766,0,298,REBUILD,False,0.785,False,nan,0.5333333333333333,,1.0,29800,100,100,298,446925,100,trees,False,0,0,0.2516666666666667,,,,,0.29,0.24,0.265,0.3,0.26,0.3
elec2,rf,fixed_schedule,0,51,19824,19866,42,100,NUDGE,False,0.785,True,nan,1.0,1.0,1.0,400,5,5,80,447325,100,trees,False,0,1,-0.21499999999999997,0.0,,,,0.35,0.21,0.28,0.295,0.272,0.308
elec2,rf,fixed_schedule,0,52,20000,20000,0,134,NUDGE,False,0.785,True,nan,0.8148148148148148,0.7777777777777778,0.7777777777777778,535,5,5,107,447860,100,trees,False,0,2,-0.02981481481481474,0.037037037037037035,,,,0.06,0.11,0.085,0.275,0.164,0.402
elec2,rf,fixed_schedule,0,53,20057,20100,43,100,REBUILD,False,0.785,True,nan,1.0,,1.0,10000,100,100,100,457860,100,trees,False,0,0,-0.21499999999999997,,,,,0.22,0.02,0.12,0.255,0.192,0.344
elec2,rf,fixed_schedule,0,54,20129,20200,71,100,NUDGE,False,0.785,True,nan,0.8,0.8,0.8,400,5,5,80,458260,100,trees,False,0,1,-0.015000000000000013,0.0,,,,0.28,0.1,0.19,0.195,0.196,0.282
elec2,rf,fixed_schedule,0,55,20438,20438,0,238,NUDGE,False,0.745,False,nan,0.6458333333333334,0.6666666666666666,0.6666666666666666,950,5,5,190,459210,100,trees,False,0,2,0.09916666666666663,0.020833333333333332,,,,0.39,0.17,0.28,0.26,0.24,0.216
elec2,rf,fixed_schedule,0,56,20526,20538,12,100,REBUILD,False,0.745,True,nan,0.2,,1.0,10000,100,100,100,469210,100,trees,False,0,0,0.5449999999999999,,,,,0.51,0.35,0.43,0.225,0.312,0.168
elec2,rf,fixed_schedule,0,57,20573,20638,65,100,NUDGE,False,0.745,True,nan,0.85,0.85,0.85,400,5,5,80,469610,100,trees,False,0,1,-0.10499999999999998,0.0,,,,0.56,0.41,0.485,0.22,0.326,0.192
elec2,rf,fixed_schedule,0,58,20724,20738,14,100,NUDGE,False,0.745,True,nan,0.65,0.65,0.65,400,5,5,80,470010,100,trees,False,0,2,0.09499999999999997,0.0,,,,0.31,0.48,0.395,0.425,0.358,0.208
elec2,rf,fixed_schedule,0,59,21068,21068,0,330,REBUILD,False,0.9,False,nan,0.6818181818181818,,1.0,33000,100,100,330,503010,100,trees,False,0,0,0.21818181818181825,,,,,0.26,0.1,0.18,0.195,0.216,0.316
elec2,rf,fixed_schedule,0,60,21240,21240,0,172,NUDGE,False,0.9,True,nan,0.7428571428571429,0.7714285714285715,0.7714285714285715,685,5,5,137,503695,100,trees,False,0,1,0.15714285714285714,0.02857142857142857,,,,0.18,0.23,0.205,0.11,0.142,0.366
elec2,rf,fixed_schedule,0,61,21523,21523,0,283,NUDGE,False,0.925,False,nan,0.7368421052631579,0.7543859649122807,0.7543859649122807,1130,5,5,226,504825,100,trees,False,0,2,0.1881578947368422,0.017543859649122806,,,,0.18,0.06,0.12,0.13,0.156,0.218
elec2,rf,fixed_schedule,0,62,21593,21623,30,100,REBUILD,False,0.925,True,nan,0.6,,1.0,10000,100,100,100,514825,100,trees,False,0,0,0.32500000000000007,,,,,0.32,0.07,0.195,0.11,0.146,0.182
elec2,rf,fixed_schedule,0,63,21681,21723,42,100,NUDGE,False,0.925,True,nan,0.5,0.5,0.5,400,5,5,80,515225,100,trees,False,0,1,0.42500000000000004,0.0,,,,0.36,0.25,0.305,0.065,0.182,0.174
elec2,rf,fixed_schedule,0,64,21920,21920,0,197,NUDGE,False,0.925,True,nan,0.35,0.35,0.35,785,5,5,157,516010,100,trees,False,0,2,0.5750000000000001,0.0,,,,0.44,0.33,0.385,0.355,0.326,0.13
elec2,rf,fixed_schedule,0,65,22130,22130,0,210,REBUILD,False,0.665,False,nan,0.4523809523809524,,1.0,21000,100,100,210,537010,100,trees,False,0,0,0.21261904761904765,,,,,0.36,0.36,0.36,0.36,0.376,0.166
elec2,rf,fixed_schedule,0,66,22169,22230,61,100,NUDGE,False,0.665,True,nan,0.85,0.85,0.85,400,5,5,80,537410,100,trees,False,0,1,-0.18499999999999994,0.0,,,,0.38,0.2,0.29,0.405,0.384,0.162
