dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
elec2,rf,mechanism_selector,2,0,4573,4630,57,100,REBUILD,True,0.7750826901874311,False,0.7550826901874311,0.75,,1.0,10000,100,100,100,10000,100,trees,False,0,0,0.025082690187431145,,,,,,,,,,
elec2,rf,mechanism_selector,2,1,4787,4787,0,157,REBUILD,True,0.7750826901874311,True,0.7550826901874311,0.5,,1.0,15700,100,100,157,25700,100,trees,False,0,0,0.27508269018743114,,,,,0.26,0.13,,,,
elec2,rf,mechanism_selector,2,2,4828,4887,59,100,REBUILD,True,0.7750826901874311,True,0.7550826901874311,1.0,,1.0,10000,100,100,100,35700,100,trees,False,0,0,-0.22491730981256886,,,,,0.23,0.14,,,,
elec2,rf,mechanism_selector,2,3,4908,4987,79,100,REBUILD,True,0.7750826901874311,True,0.7550826901874311,1.0,,1.0,10000,100,100,100,45700,100,trees,False,0,0,-0.22491730981256886,,,,,0.13,0.23,,,,
elec2,rf,mechanism_selector,2,4,5003,5087,84,100,REBUILD,True,0.7750826901874311,True,0.7550826901874311,0.45,,1.0,10000,100,100,100,55700,100,trees,False,0,0,0.32508269018743113,,,,,0.15,0.11,0.13,0.19,,
elec2,rf,mechanism_selector,2,5,5358,5358,0,271,REBUILD,False,0.765,False,0.745,0.41818181818181815,0.41818181818181815,1.0,28180,105,105,487,83880,100,trees,False,0,0,0.34681818181818186,0.0,,,,0.45,0.21,0.33,0.3,,
elec2,rf,mechanism_selector,2,6,5426,5458,32,100,REBUILD,True,0.765,True,0.745,1.0,,1.0,10000,100,100,100,93880,100,trees,False,0,0,-0.235,,,,,0.28,0.36,0.32,0.31,,
elec2,rf,mechanism_selector,2,7,5565,5565,0,107,REBUILD,True,0.765,True,0.745,0.9545454545454546,,1.0,10700,100,100,107,104580,100,trees,False,0,0,-0.18954545454545457,,,,,0.01,0.06,0.035,0.33,0.208,0.208
elec2,rf,mechanism_selector,2,8,5614,5665,51,100,REBUILD,True,0.765,True,0.745,0.7,,1.0,10000,100,100,100,114580,100,trees,False,0,0,0.06500000000000006,,,,,0.08,0.04,0.06,0.31,0.184,0.21
elec2,rf,mechanism_selector,2,9,6668,6668,0,1000,REBUILD,False,0.785,False,0.765,0.6,0.64,1.0,104000,105,105,1800,218580,100,trees,False,0,0,0.18500000000000005,0.04,,,,0.44,0.36,0.4,0.22,0.294,0.234
elec2,rf,mechanism_selector,2,10,6706,6768,62,100,REBUILD,True,0.785,True,0.765,0.9,,1.0,10000,100,100,100,228580,100,trees,False,0,0,-0.11499999999999999,,,,,0.35,0.31,0.33,0.27,0.278,0.244
elec2,rf,mechanism_selector,2,11,6831,6868,37,100,REBUILD,True,0.785,True,0.765,1.0,,1.0,10000,100,100,100,238580,100,trees,False,0,0,-0.21499999999999997,,,,,0.08,0.21,0.145,0.34,0.218,0.248
elec2,rf,mechanism_selector,2,12,6913,6968,55,100,REBUILD,True,0.785,True,0.765,0.8,,1.0,10000,100,100,100,248580,100,trees,False,0,0,-0.015000000000000013,,,,,0.11,0.04,0.075,0.325,0.212,0.23
elec2,rf,mechanism_selector,2,13,7342,7342,0,374,REBUILD,False,0.78,False,0.76,0.6,0.6666666666666666,1.0,38895,105,105,673,287475,100,trees,False,0,0,0.18000000000000005,0.06666666666666667,,,,0.33,0.44,0.385,0.195,0.244,0.218
elec2,rf,mechanism_selector,2,14,7415,7442,27,100,REBUILD,True,0.78,True,0.76,0.75,,1.0,10000,100,100,100,297475,100,trees,False,0,0,0.030000000000000027,,,,,0.25,0.35,0.3,0.27,0.256,0.214
elec2,rf,mechanism_selector,2,15,7824,7824,0,382,REBUILD,False,0.855,False,0.835,0.7142857142857143,0.7142857142857143,1.0,39725,105,105,687,337200,100,trees,False,0,0,0.14071428571428568,0.0,,,,0.26,0.01,0.135,0.155,0.174,0.232
elec2,rf,mechanism_selector,2,16,7966,7966,0,142,REBUILD,True,0.855,True,0.835,0.6551724137931034,,1.0,14200,100,100,142,351400,100,trees,False,0,0,0.19982758620689656,,,,,0.18,0.27,0.225,0.045,0.14,0.286
elec2,rf,mechanism_selector,2,17,8478,8478,0,512,REBUILD,False,0.905,False,0.885,0.8155339805825242,0.7961165048543689,1.0,53245,105,105,921,404645,100,trees,False,0,0,0.08946601941747578,0.038834951456310676,,,,0.19,0.17,0.18,0.07,0.122,0.142
elec2,rf,mechanism_selector,2,18,8528,8578,50,100,REBUILD,True,0.905,True,0.885,0.75,,1.0,10000,100,100,100,414645,100,trees,False,0,0,0.15500000000000003,,,,,0.24,0.09,0.165,0.12,0.122,0.142
elec2,rf,mechanism_selector,2,19,8906,8906,0,328,REBUILD,False,0.95,False,0.9299999999999999,0.7727272727272727,0.7727272727272727,1.0,34110,105,105,590,448755,100,trees,False,0,0,0.17727272727272725,0.0,,,,0.18,0.08,0.13,0.115,0.136,0.122
elec2,rf,mechanism_selector,2,20,8957,9006,49,100,REBUILD,True,0.95,True,0.9299999999999999,0.9,,1.0,10000,100,100,100,458755,100,trees,False,0,0,0.04999999999999993,,,,,0.23,0.11,0.17,0.055,0.14,0.122
elec2,rf,mechanism_selector,2,21,9088,9106,18,100,REBUILD,True,0.95,True,0.9299999999999999,0.55,,1.0,10000,100,100,100,468755,100,trees,False,0,0,0.3999999999999999,,,,,0.23,0.21,0.22,0.11,0.136,0.144
elec2,rf,mechanism_selector,2,22,9259,9259,0,153,REBUILD,True,0.95,True,0.9299999999999999,0.7096774193548387,,1.0,15300,100,100,153,484055,100,trees,False,0,0,0.2403225806451612,,,,,0.25,0.25,0.25,0.19,0.198,0.128
elec2,rf,mechanism_selector,2,23,9308,9359,51,100,REBUILD,True,0.95,True,0.9299999999999999,0.5,,1.0,10000,100,100,100,494055,100,trees,False,0,0,0.44999999999999996,,,,,0.2,0.1,0.15,0.225,0.186,0.116
elec2,rf,mechanism_selector,2,24,9523,9523,0,164,REBUILD,True,0.95,True,0.9299999999999999,0.5757575757575758,,1.0,16400,100,100,164,510455,100,trees,False,0,0,0.37424242424242415,,,,,0.35,0.35,0.35,0.155,0.256,0.13
elec2,rf,mechanism_selector,2,25,9561,9623,62,100,REBUILD,True,0.95,True,0.9299999999999999,0.75,,1.0,10000,100,100,100,520455,100,trees,False,0,0,0.19999999999999996,,,,,0.34,0.13,0.235,0.265,0.252,0.116
elec2,rf,mechanism_selector,2,26,9669,9723,54,100,REBUILD,True,0.95,True,0.9299999999999999,0.95,,1.0,10000,100,100,100,530455,100,trees,False,0,0,0.0,,,,,0.13,0.3,0.215,0.23,0.222,0.16
elec2,rf,mechanism_selector,2,27,10799,10799,0,1000,REBUILD,False,0.895,False,0.875,0.815,0.815,1.0,104000,105,105,1800,634455,100,trees,False,0,0,0.08000000000000007,0.0,,,,0.33,0.04,0.185,0.13,0.142,0.124
elec2,rf,mechanism_selector,2,28,10852,10899,47,100,REBUILD,True,0.895,True,0.875,0.7,,1.0,10000,100,100,100,644455,100,trees,False,0,0,0.19500000000000006,,,,,0.33,0.14,0.235,0.12,0.16,0.122
