dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
elec2,rf,never_adapt,0,0,4573,4630,57,100,SKIP,False,0.7794928335170893,False,nan,0.75,,0.75,0,0,0,0,0,100,trees,False,0,0,0.029492833517089312,,,,,,,,,,
elec2,rf,never_adapt,0,1,4786,4786,0,156,SKIP,False,0.7794928335170893,True,nan,0.5,,0.5,0,0,0,0,0,100,trees,False,0,0,0.2794928335170893,,,,,0.2,0.18,,,,
elec2,rf,never_adapt,0,2,4901,4901,0,115,SKIP,False,0.7794928335170893,True,nan,0.6086956521739131,,0.6086956521739131,0,0,0,0,0,100,trees,False,0,0,0.17079718134317623,,,,,0.19,0.24,,,,
elec2,rf,never_adapt,0,3,5067,5067,0,166,SKIP,False,0.7794928335170893,True,nan,0.6470588235294118,,0.6470588235294118,0,0,0,0,0,100,trees,False,0,0,0.13243400998767751,,,,,0.14,0.2,0.17,0.17,,
elec2,rf,never_adapt,0,4,5353,5353,0,286,SKIP,False,0.795,False,nan,0.6206896551724138,,0.6206896551724138,0,0,0,0,0,100,trees,False,0,0,0.17431034482758623,,,,,0.27,0.17,0.22,0.2,,
elec2,rf,never_adapt,0,5,6185,6185,0,832,SKIP,False,0.67,False,nan,0.688622754491018,,0.688622754491018,0,0,0,0,0,100,trees,False,0,0,-0.018622754491017912,,,,,0.41,0.16,0.285,0.215,0.214,0.268
elec2,rf,never_adapt,0,6,6258,6285,27,100,SKIP,False,0.67,True,nan,0.35,,0.35,0,0,0,0,0,100,trees,False,0,0,0.32000000000000006,,,,,0.33,0.39,0.36,0.13,0.242,0.258
elec2,rf,never_adapt,0,7,7168,7168,0,883,SKIP,False,0.86,False,nan,0.7457627118644068,,0.7457627118644068,0,0,0,0,0,100,trees,False,0,0,0.1142372881355932,,,,,0.22,0.28,0.25,0.17,0.174,0.214
elec2,rf,never_adapt,0,8,7464,7464,0,296,SKIP,False,0.69,False,nan,0.48333333333333334,,0.48333333333333334,0,0,0,0,0,100,trees,False,0,0,0.2066666666666666,,,,,0.33,0.11,0.22,0.375,0.29,0.146
elec2,rf,never_adapt,0,9,7509,7564,55,100,SKIP,False,0.69,True,nan,0.85,,0.85,0,0,0,0,0,100,trees,False,0,0,-0.16000000000000003,,,,,0.4,0.08,0.24,0.365,0.298,0.146
elec2,rf,never_adapt,0,10,7851,7851,0,287,SKIP,False,0.845,False,nan,0.5,,0.5,0,0,0,0,0,100,trees,False,0,0,0.345,,,,,0.31,0.07,0.19,0.35,0.264,0.242
elec2,rf,never_adapt,0,11,7978,7978,0,127,SKIP,False,0.845,True,nan,0.5,,0.5,0,0,0,0,0,100,trees,False,0,0,0.345,,,,,0.2,0.39,0.295,0.14,0.242,0.29
elec2,rf,never_adapt,0,12,8185,8185,0,207,SKIP,False,0.84,False,nan,0.6666666666666666,,0.6666666666666666,0,0,0,0,0,100,trees,False,0,0,0.17333333333333334,,,,,0.22,0.07,0.145,0.325,0.198,0.28
elec2,rf,never_adapt,0,13,8332,8332,0,147,SKIP,False,0.84,True,nan,0.6,,0.6,0,0,0,0,0,100,trees,False,0,0,0.24,,,,,0.18,0.23,0.205,0.16,0.2,0.246
elec2,rf,never_adapt,0,14,8395,8432,37,100,SKIP,False,0.84,True,nan,1.0,,1.0,0,0,0,0,0,100,trees,False,0,0,-0.16000000000000003,,,,,0.27,0.08,0.175,0.16,0.184,0.278
elec2,rf,never_adapt,0,15,8440,8532,92,100,SKIP,False,0.84,True,nan,0.55,,0.55,0,0,0,0,0,100,trees,False,0,0,0.2899999999999999,,,,,0.17,0.2,0.185,0.15,0.184,0.268
