dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
elec2,sgd,always_nudge,3,0,4579,4630,51,100,NUDGE,False,0.7993384785005513,False,nan,0.75,0.65,0.65,80,1,0,80,80,9,params,False,0,1,0.049338478500551286,0.1,,,,,,,,,
elec2,sgd,always_nudge,3,1,4783,4783,0,153,NUDGE,False,0.7993384785005513,True,nan,0.5161290322580645,0.5161290322580645,0.5161290322580645,122,1,0,122,202,9,params,False,0,2,0.2832094462424868,0.0,,,,0.23,0.17,,,,
elec2,sgd,always_nudge,3,2,4902,4902,0,119,NUDGE,False,0.7993384785005513,True,nan,0.5833333333333334,0.5833333333333334,0.5833333333333334,95,1,0,95,297,9,params,False,0,3,0.21600514516721792,0.0,,,,0.19,0.3,,,,
elec2,sgd,always_nudge,3,3,4962,5002,40,100,NUDGE,False,0.7993384785005513,True,nan,0.9,0.9,0.9,80,1,0,80,377,9,params,False,0,4,-0.10066152149944874,0.0,,,,0.27,0.31,0.29,0.155,,
elec2,sgd,always_nudge,3,4,5277,5277,0,275,NUDGE,False,0.865,False,nan,0.6,0.6,0.6,220,1,0,220,597,9,params,False,0,5,0.265,0.0,,,,0.27,0.06,0.165,0.27,,
elec2,sgd,always_nudge,3,5,5319,5377,58,100,NUDGE,False,0.865,True,nan,0.15,0.95,0.95,80,1,0,80,677,9,params,False,0,6,0.715,0.9,,,,0.32,0.1,0.21,0.185,,
elec2,sgd,always_nudge,3,6,5743,5743,0,366,NUDGE,False,0.945,False,nan,0.6486486486486487,0.6486486486486487,0.6486486486486487,292,1,0,292,969,9,params,False,0,7,0.29635135135135127,0.0,,,,0.34,0.17,0.255,0.195,0.256,0.21
elec2,sgd,always_nudge,3,7,5786,5843,57,100,NUDGE,False,0.945,True,nan,0.45,0.7,0.7,80,1,0,80,1049,9,params,False,0,8,0.49499999999999994,0.85,,,,0.38,0.23,0.305,0.06,0.254,0.202
elec2,sgd,always_nudge,3,8,6652,6652,0,809,NUDGE,False,0.69,False,nan,0.5802469135802469,0.6172839506172839,0.6172839506172839,647,1,0,647,1696,9,params,False,0,9,0.10975308641975301,0.654320987654321,,,,0.48,0.26,0.37,0.175,0.312,0.312
elec2,sgd,always_nudge,3,9,6741,6752,11,100,NUDGE,False,0.69,True,nan,0.4,1.0,1.0,80,1,0,80,1776,9,params,False,0,10,0.2899999999999999,0.6,,,,0.24,0.45,0.345,0.135,0.248,0.352
elec2,sgd,always_nudge,3,10,6819,6852,33,100,NUDGE,False,0.69,True,nan,0.35,0.65,0.65,80,1,0,80,1856,9,params,False,0,11,0.33999999999999997,0.3,,,,0.25,0.28,0.265,0.27,0.252,0.32
elec2,sgd,always_nudge,3,11,6936,6952,16,100,NUDGE,False,0.69,True,nan,0.15,0.05,0.05,80,1,0,80,1936,9,params,False,0,12,0.5399999999999999,0.1,,,,0.3,0.28,0.29,0.345,0.286,0.268
elec2,sgd,always_nudge,3,12,7065,7065,0,113,NUDGE,False,0.69,True,nan,0.13043478260869565,0.13043478260869565,0.13043478260869565,90,1,0,90,2026,9,params,False,0,13,0.5595652173913043,0.0,,,,0.37,0.37,0.37,0.235,0.336,0.27
elec2,sgd,always_nudge,3,13,7176,7176,0,111,NUDGE,False,0.69,True,nan,0.391304347826087,0.391304347826087,0.391304347826087,88,1,0,88,2114,9,params,False,0,14,0.298695652173913,0.0,,,,0.3,0.42,0.36,0.325,0.31,0.3
elec2,sgd,always_nudge,3,14,10025,10025,0,1000,NUDGE,False,0.37,False,nan,0.46,0.51,0.51,800,1,0,800,2914,9,params,False,0,15,-0.09000000000000002,0.05,,,,0.68,0.4,0.54,0.16,0.354,0.228
