dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
elec2,sgd,always_rebuild,3,0,4579,4630,51,100,REBUILD,False,0.7993384785005513,False,nan,0.75,,0.65,3000,30,0,100,3000,9,params,False,0,0,0.049338478500551286,,,,,,,,,,
elec2,sgd,always_rebuild,3,1,4684,4730,46,100,REBUILD,False,0.7993384785005513,True,nan,0.8,,0.8,1700,17,0,100,4700,9,params,False,0,0,-0.0006615214994487584,,,,,,,,,,
elec2,sgd,always_rebuild,3,2,4762,4830,68,100,REBUILD,False,0.7993384785005513,True,nan,0.15,,0.85,1800,18,0,100,6500,9,params,False,0,0,0.6493384785005513,,,,,0.69,0.19,,,,
elec2,sgd,always_rebuild,3,3,4902,4930,28,100,REBUILD,False,0.7993384785005513,True,nan,0.85,,0.15,1500,15,0,100,8000,9,params,False,0,0,-0.05066152149944869,,,,,0.41,0.53,,,,
elec2,sgd,always_rebuild,3,4,4946,5030,84,100,REBUILD,False,0.7993384785005513,True,nan,0.0,,1.0,2500,25,0,100,10500,9,params,False,0,0,0.7993384785005513,,,,,0.37,0.57,0.47,0.385,,
elec2,sgd,always_rebuild,3,5,5588,5588,0,558,REBUILD,False,0.725,False,nan,0.6517857142857143,,0.75,41292,74,0,558,51792,9,params,False,0,0,0.07321428571428568,,,,,0.38,0.2,0.29,0.25,0.268,0.47
elec2,sgd,always_rebuild,3,6,5858,5858,0,270,REBUILD,False,0.78,False,nan,0.5370370370370371,,0.7037037037037037,11610,43,0,270,63402,9,params,False,0,0,0.24296296296296294,,,,,0.31,0.11,0.21,0.35,0.27,0.36
elec2,sgd,always_rebuild,3,7,6696,6696,0,838,REBUILD,False,0.63,False,nan,0.5654761904761905,,0.6845238095238095,55308,66,0,838,118710,9,params,False,0,0,0.06452380952380954,,,,,0.47,0.51,0.49,0.31,0.374,0.316
elec2,sgd,always_rebuild,3,8,6744,6796,52,100,REBUILD,False,0.63,True,nan,0.65,,0.9,1100,11,0,100,119810,9,params,False,0,0,-0.020000000000000018,,,,,0.4,0.39,0.395,0.37,0.362,0.344
elec2,sgd,always_rebuild,3,9,6836,6896,60,100,REBUILD,False,0.63,True,nan,0.9,,0.9,2600,26,0,100,122410,9,params,False,0,0,-0.27,,,,,0.38,0.4,0.39,0.38,0.368,0.362
elec2,sgd,always_rebuild,3,10,6929,6996,67,100,REBUILD,False,0.63,True,nan,0.4,,0.6,2100,21,0,100,124510,9,params,False,0,0,0.22999999999999998,,,,,0.35,0.32,0.335,0.395,0.366,0.34
elec2,sgd,always_rebuild,3,11,7138,7138,0,142,REBUILD,False,0.63,True,nan,0.20689655172413793,,0.20689655172413793,6532,46,0,142,131042,9,params,False,0,0,0.4231034482758621,,,,,0.53,0.56,0.545,0.375,0.448,0.352
elec2,sgd,always_rebuild,3,12,7433,7433,0,295,REBUILD,False,0.61,False,nan,0.3728813559322034,,0.6271186440677966,19175,65,0,295,150217,9,params,False,0,0,0.2371186440677966,,,,,0.48,0.34,0.41,0.51,0.48,0.374
elec2,sgd,always_rebuild,3,13,7475,7533,58,100,REBUILD,False,0.61,True,nan,0.7,,0.3,3200,32,0,100,153417,9,params,False,0,0,-0.08999999999999997,,,,,0.5,0.31,0.405,0.495,0.46,0.41
elec2,sgd,always_rebuild,3,14,35154,35154,0,1000,REBUILD,False,0.455,False,nan,0.555,,0.5,66000,66,0,1000,219417,9,params,False,0,0,-0.10000000000000003,,,,,0.45,0.44,0.445,0.43,0.398,0.422
elec2,sgd,always_rebuild,3,15,35513,35513,0,359,REBUILD,False,0.545,False,nan,0.3333333333333333,,0.7777777777777778,25130,70,0,359,244547,9,params,False,0,0,0.21166666666666673,,,,,0.66,0.49,0.575,0.465,0.474,0.41
elec2,sgd,always_rebuild,3,16,35762,35762,0,249,REBUILD,False,0.785,False,nan,0.52,,0.56,8217,33,0,249,252764,9,params,False,0,0,0.265,,,,,0.33,0.1,0.215,0.58,0.384,0.456
elec2,sgd,always_rebuild,3,17,36123,36123,0,361,REBUILD,False,0.47,False,nan,0.2876712328767123,,0.8904109589041096,21299,59,0,361,274063,9,params,False,0,0,0.18232876712328766,,,,,0.57,0.2,0.385,0.6,0.424,0.474
elec2,sgd,always_rebuild,3,18,36240,36240,0,117,REBUILD,False,0.47,True,nan,0.5416666666666666,,0.5833333333333334,5967,51,0,117,280030,9,params,False,0,0,-0.07166666666666666,,,,,0.23,0.57,0.4,0.335,0.438,0.382
elec2,sgd,always_rebuild,3,19,36356,36356,0,116,REBUILD,False,0.47,True,nan,0.4583333333333333,,0.8333333333333334,3132,27,0,116,283162,9,params,False,0,0,0.011666666666666659,,,,,0.24,0.24,0.24,0.385,0.326,0.454
elec2,sgd,always_rebuild,3,20,36404,36456,52,100,REBUILD,False,0.47,True,nan,0.5,,0.7,3400,34,0,100,286562,9,params,False,0,0,-0.030000000000000027,,,,,0.26,0.27,0.265,0.365,0.288,0.462
