dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
elec2,sgd,fixed_schedule,3,0,4579,4630,51,100,NUDGE,False,0.7993384785005513,False,nan,0.75,0.65,0.65,80,1,0,80,80,9,params,False,0,1,0.049338478500551286,0.1,,,,,,,,,
elec2,sgd,fixed_schedule,3,1,4783,4783,0,153,NUDGE,False,0.7993384785005513,True,nan,0.5161290322580645,0.5161290322580645,0.5161290322580645,122,1,0,122,202,9,params,False,0,2,0.2832094462424868,0.0,,,,0.23,0.17,,,,
elec2,sgd,fixed_schedule,3,2,4902,4902,0,119,REBUILD,False,0.7993384785005513,True,nan,0.5833333333333334,,0.875,2261,19,0,119,2463,9,params,False,0,0,0.21600514516721792,,,,,0.19,0.3,,,,
elec2,sgd,fixed_schedule,3,3,4954,5002,48,100,NUDGE,False,0.7993384785005513,True,nan,0.9,0.9,0.9,80,1,0,80,2543,9,params,False,0,1,-0.10066152149944874,0.0,,,,0.3,0.28,0.29,0.165,,
elec2,sgd,fixed_schedule,3,4,5016,5102,86,100,NUDGE,False,0.7993384785005513,True,nan,0.9,0.9,0.9,80,1,0,80,2623,9,params,False,0,2,-0.10066152149944874,0.0,,,,0.38,0.26,0.32,0.245,,
elec2,sgd,fixed_schedule,3,5,5168,5202,34,100,REBUILD,False,0.7993384785005513,True,nan,0.95,,0.15,1800,18,0,100,4423,9,params,False,0,0,-0.15066152149944867,,,,,0.47,0.5,0.485,0.29,,
elec2,sgd,fixed_schedule,3,6,5211,5302,91,100,NUDGE,False,0.7993384785005513,True,nan,0.65,0.75,0.75,80,1,0,80,4503,9,params,False,0,1,0.14933847850055126,0.6,,,,0.5,0.43,0.465,0.3,,
elec2,sgd,fixed_schedule,3,7,5561,5561,0,259,NUDGE,False,0.74,False,nan,0.46153846153846156,0.46153846153846156,0.46153846153846156,207,1,0,207,4710,9,params,False,0,2,0.2784615384615384,0.0,,,,0.29,0.32,0.305,0.47,0.394,0.28
elec2,sgd,fixed_schedule,3,8,6115,6115,0,554,REBUILD,False,0.665,False,nan,0.4774774774774775,,0.5225225225225225,40442,73,0,554,45152,9,params,False,0,0,0.18752252252252255,,,,,0.52,0.37,0.445,0.285,0.344,0.428
elec2,sgd,fixed_schedule,3,9,6195,6215,20,100,NUDGE,False,0.665,True,nan,0.45,0.8,0.8,80,1,0,80,45232,9,params,False,0,1,0.21500000000000002,0.55,,,,0.55,0.45,0.5,0.375,0.38,0.396
elec2,sgd,fixed_schedule,3,10,6510,6510,0,295,NUDGE,False,0.66,False,nan,0.3898305084745763,0.3728813559322034,0.3728813559322034,236,1,0,236,45468,9,params,False,0,2,0.27016949152542374,0.01694915254237288,,,,0.47,0.2,0.335,0.525,0.448,0.354
elec2,sgd,fixed_schedule,3,11,6904,6904,0,394,REBUILD,False,0.625,False,nan,0.4936708860759494,,0.3670886075949367,23640,60,0,394,69108,9,params,False,0,0,0.1313291139240506,,,,,0.46,0.47,0.465,0.4,0.436,0.416
elec2,sgd,fixed_schedule,3,12,6967,7004,37,100,NUDGE,False,0.625,True,nan,0.4,0.6,0.6,80,1,0,80,69188,9,params,False,0,1,0.22499999999999998,1.0,,,,0.45,0.44,0.445,0.335,0.418,0.436
elec2,sgd,fixed_schedule,3,13,7064,7104,40,100,NUDGE,False,0.625,True,nan,0.7,0.45,0.45,80,1,0,80,69268,9,params,False,0,2,-0.07499999999999996,0.85,,,,0.5,0.43,0.465,0.37,0.412,0.446
elec2,sgd,fixed_schedule,3,14,9306,9306,0,1000,REBUILD,False,0.54,False,nan,0.57,,0.69,76000,76,0,1000,145268,9,params,False,0,0,-0.029999999999999916,,,,,0.68,0.18,0.43,0.525,0.442,0.308
elec2,sgd,fixed_schedule,3,15,9355,9406,51,100,NUDGE,False,0.54,True,nan,1.0,0.95,0.95,80,1,0,80,145348,9,params,False,0,1,-0.45999999999999996,0.05,,,,0.6,0.26,0.43,0.43,0.43,0.296
elec2,sgd,fixed_schedule,3,16,9428,9506,78,100,NUDGE,False,0.54,True,nan,0.55,0.55,0.55,80,1,0,80,145428,9,params,False,0,2,-0.010000000000000009,0.0,,,,0.16,0.6,0.38,0.32,0.388,0.342
elec2,sgd,fixed_schedule,3,17,9547,9606,59,100,REBUILD,False,0.54,True,nan,0.9,,0.75,2800,28,0,100,148228,9,params,False,0,0,-0.36,,,,,0.32,0.18,0.25,0.405,0.324,0.366
elec2,sgd,fixed_schedule,3,18,9629,9706,77,100,NUDGE,False,0.54,True,nan,0.9,0.95,0.95,80,1,0,80,148308,9,params,False,0,1,-0.36,0.05,,,,0.34,0.2,0.27,0.385,0.308,0.38
elec2,sgd,fixed_schedule,3,19,9846,9846,0,140,NUDGE,False,0.54,True,nan,0.39285714285714285,0.6071428571428571,0.6071428571428571,112,1,0,112,148420,9,params,False,0,2,0.1471428571428572,0.21428571428571427,,,,0.45,0.31,0.38,0.35,0.328,0.422
elec2,sgd,fixed_schedule,3,20,10264,10264,0,418,REBUILD,False,0.725,False,nan,0.5595238095238095,,0.5714285714285714,25916,62,0,418,174336,9,params,False,0,0,0.16547619047619044,,,,,0.4,0.17,0.285,0.25,0.308,0.338
elec2,sgd,fixed_schedule,3,21,10311,10364,53,100,NUDGE,False,0.725,True,nan,0.9,0.4,0.4,80,1,0,80,174416,9,params,False,0,1,-0.17500000000000004,0.7,,,,0.32,0.3,0.31,0.17,0.28,0.3
elec2,sgd,fixed_schedule,3,22,10384,10464,80,100,NUDGE,False,0.725,True,nan,0.9,0.45,0.45,80,1,0,80,174496,9,params,False,0,2,-0.17500000000000004,0.65,,,,0.27,0.39,0.33,0.155,0.244,0.346
elec2,sgd,fixed_schedule,3,23,10500,10564,64,100,REBUILD,False,0.725,True,nan,1.0,,0.4,2400,24,0,100,176896,9,params,False,0,0,-0.275,,,,,0.39,0.32,0.355,0.285,0.282,0.364
elec2,sgd,fixed_schedule,3,24,10596,10664,68,100,NUDGE,False,0.725,True,nan,0.1,0.1,0.1,80,1,0,80,176976,9,params,False,0,1,0.625,0.0,,,,0.29,0.35,0.32,0.335,0.306,0.332
elec2,sgd,fixed_schedule,3,25,12748,12748,0,1000,NUDGE,False,0.56,False,nan,0.39,0.39,0.39,800,1,0,800,177776,9,params,False,0,2,0.17000000000000004,0.12,,,,0.61,0.61,0.61,0.45,0.53,0.398
elec2,sgd,fixed_schedule,3,26,12812,12848,36,100,REBUILD,False,0.56,True,nan,1.0,,1.0,4000,40,0,100,181776,9,params,False,0,0,-0.43999999999999995,,,,,0.44,0.52,0.48,0.565,0.504,0.42
elec2,sgd,fixed_schedule,3,27,13045,13045,0,197,NUDGE,False,0.56,True,nan,0.5,0.85,0.85,157,1,0,157,181933,9,params,False,0,1,0.06000000000000005,0.6,,,,0.3,0.22,0.26,0.45,0.41,0.438
elec2,sgd,fixed_schedule,3,28,13093,13145,52,100,NUDGE,False,0.56,True,nan,0.55,0.95,0.95,80,1,0,80,182013,9,params,False,0,2,0.010000000000000009,0.5,,,,0.29,0.2,0.245,0.39,0.368,0.452
elec2,sgd,fixed_schedule,3,29,13281,13281,0,136,REBUILD,False,0.56,True,nan,0.17857142857142858,,0.8214285714285714,5032,37,0,136,187045,9,params,False,0,0,0.38142857142857145,,,,,0.64,0.38,0.51,0.23,0.358,0.492
elec2,sgd,fixed_schedule,3,30,13488,13488,0,207,NUDGE,False,0.56,False,nan,0.35714285714285715,0.35714285714285715,0.35714285714285715,165,1,0,165,187210,9,params,False,0,1,0.2028571428571429,0.0,,,,0.46,0.43,0.445,0.54,0.446,0.41
