dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
elec2,sgd,mechanism_selector,2,0,4625,4630,5,100,REBUILD,True,0.75303197353914,False,0.73303197353914,0.65,,0.65,3400,34,0,100,3400,9,params,False,0,0,0.10303197353913995,,,,,,,,,,
elec2,sgd,mechanism_selector,2,1,4679,4730,51,100,REBUILD,True,0.75303197353914,True,0.73303197353914,0.25,,0.9,2500,25,0,100,5900,9,params,False,0,0,0.50303197353914,,,,,,,,,,
elec2,sgd,mechanism_selector,2,2,4847,4847,0,117,REBUILD,True,0.75303197353914,True,0.73303197353914,0.20833333333333334,,0.7916666666666666,1638,14,0,117,7538,9,params,False,0,0,0.5446986402058066,,,,,0.56,0.61,,,,
elec2,sgd,mechanism_selector,2,3,4903,4947,44,100,REBUILD,True,0.75303197353914,True,0.73303197353914,1.0,,1.0,1400,14,0,100,8938,9,params,False,0,0,-0.24696802646086002,,,,,0.53,0.42,,,,
elec2,sgd,mechanism_selector,2,4,4961,5047,86,100,REBUILD,True,0.75303197353914,True,0.73303197353914,0.6,,0.65,3900,39,0,100,12838,9,params,False,0,0,0.15303197353914,,,,,0.23,0.57,0.4,0.41,,
elec2,sgd,mechanism_selector,2,5,5222,5222,0,175,REBUILD,True,0.75303197353914,True,0.73303197353914,0.2,,0.2857142857142857,10325,59,0,175,23163,9,params,False,0,0,0.55303197353914,,,,,0.46,0.56,0.51,0.42,,
elec2,sgd,mechanism_selector,2,6,5463,5463,0,241,REBUILD,True,0.62,False,0.6,0.2857142857142857,,0.16326530612244897,6025,25,0,241,29188,9,params,False,0,0,0.3342857142857143,,,,,0.45,0.44,0.445,0.49,,
elec2,sgd,mechanism_selector,2,7,6501,6501,0,1000,SKIP,False,0.41,False,0.38999999999999996,0.395,,0.395,0,0,0,0,29188,9,params,False,0,0,0.014999999999999958,,,,,0.79,0.42,0.605,0.605,0.554,0.566
elec2,sgd,mechanism_selector,2,8,6763,6763,0,262,REBUILD,False,0.525,False,0.505,0.18867924528301888,0.37735849056603776,0.8113207547169812,12261,47,0,471,41449,9,params,False,0,0,0.33632075471698114,0.18867924528301888,,,,0.54,0.49,0.515,0.71,0.594,0.55
elec2,sgd,mechanism_selector,2,9,6819,6863,44,100,REBUILD,True,0.525,True,0.505,0.5,,0.6,2800,28,0,100,44249,9,params,False,0,0,0.025000000000000022,,,,,0.48,0.31,0.395,0.72,0.53,0.548
elec2,sgd,mechanism_selector,2,10,6864,6963,99,100,REBUILD,True,0.525,True,0.505,0.7,,0.3,4300,43,0,100,48549,9,params,False,0,0,-0.17499999999999993,,,,,0.27,0.54,0.405,0.585,0.544,0.526
elec2,sgd,mechanism_selector,2,11,7079,7079,0,116,REBUILD,True,0.525,True,0.505,0.125,,0.7083333333333334,3248,28,0,116,51797,9,params,False,0,0,0.4,,,,,0.46,0.42,0.44,0.45,0.434,0.602
elec2,sgd,mechanism_selector,2,12,7156,7179,23,100,REBUILD,True,0.525,True,0.505,0.8,,0.8,3500,35,0,100,55297,9,params,False,0,0,-0.275,,,,,0.66,0.33,0.495,0.42,0.46,0.6
elec2,sgd,mechanism_selector,2,13,7200,7279,79,100,REBUILD,True,0.525,True,0.505,0.95,,0.95,3000,30,0,100,58297,9,params,False,0,0,-0.42499999999999993,,,,,0.55,0.4,0.475,0.455,0.472,0.584
elec2,sgd,mechanism_selector,2,14,7378,7379,1,100,REBUILD,True,0.525,True,0.505,0.0,,1.0,2500,25,0,100,60797,9,params,False,0,0,0.525,,,,,0.41,0.39,0.4,0.495,0.442,0.562
elec2,sgd,mechanism_selector,2,15,7496,7496,0,117,REBUILD,True,0.525,True,0.505,0.041666666666666664,,0.9583333333333334,3276,28,0,117,64073,9,params,False,0,0,0.48333333333333334,,,,,0.64,0.35,0.495,0.495,0.476,0.478
elec2,sgd,mechanism_selector,2,16,40884,40884,0,1000,SKIP,False,0.405,False,0.385,0.41,,0.41,0,0,0,0,64073,9,params,False,0,0,-0.004999999999999949,,,,,0.62,0.56,0.59,0.575,0.542,0.472
elec2,sgd,mechanism_selector,2,17,40924,40984,60,100,REBUILD,True,0.405,True,0.385,0.75,,0.85,4500,45,0,100,68573,9,params,False,0,0,-0.345,,,,,0.56,0.58,0.57,0.54,0.56,0.428
elec2,sgd,mechanism_selector,2,18,41091,41091,0,107,REBUILD,True,0.405,True,0.385,0.2727272727272727,,0.8181818181818182,2247,21,0,107,70820,9,params,False,0,0,0.13227272727272732,,,,,0.26,0.43,0.345,0.575,0.472,0.488
elec2,sgd,mechanism_selector,2,19,41159,41191,32,100,REBUILD,True,0.405,True,0.385,0.45,,0.45,2200,22,0,100,73020,9,params,False,0,0,-0.044999999999999984,,,,,0.48,0.17,0.325,0.57,0.466,0.484
elec2,sgd,mechanism_selector,2,20,41216,41291,75,100,REBUILD,True,0.405,True,0.385,0.9,,0.75,1300,13,0,100,74320,9,params,False,0,0,-0.495,,,,,0.57,0.28,0.425,0.485,0.472,0.514
elec2,sgd,mechanism_selector,2,21,41455,41455,0,164,REBUILD,True,0.405,True,0.385,0.3939393939393939,,0.45454545454545453,5084,31,0,164,79404,9,params,False,0,0,0.011060606060606104,,,,,0.28,0.31,0.295,0.515,0.358,0.55
elec2,sgd,mechanism_selector,2,22,41625,41625,0,170,REBUILD,True,0.405,True,0.385,0.35294117647058826,,0.4117647058823529,7480,44,0,170,86884,9,params,False,0,0,0.05205882352941177,,,,,0.51,0.46,0.485,0.27,0.42,0.46
elec2,sgd,mechanism_selector,2,23,42037,42037,0,412,NUDGE,False,0.55,False,0.53,0.40963855421686746,0.7951807228915663,0.7951807228915663,329,1,0,329,87213,9,params,False,0,1,0.1403614457831326,0.7710843373493976,,,,0.52,0.32,0.42,0.46,0.458,0.382
elec2,sgd,mechanism_selector,2,24,42107,42137,30,100,REBUILD,True,0.55,True,0.53,0.65,,0.85,3100,31,0,100,90313,9,params,False,0,0,-0.09999999999999998,,,,,0.66,0.37,0.515,0.4,0.468,0.41
elec2,sgd,mechanism_selector,2,25,42355,42355,0,218,REBUILD,True,0.855,False,0.835,0.6136363636363636,,0.9090909090909091,7630,35,0,218,97943,9,params,False,0,0,0.24136363636363634,,,,,0.26,0.09,0.175,0.53,0.34,0.416
elec2,sgd,mechanism_selector,2,26,42425,42455,30,100,REBUILD,True,0.855,True,0.835,0.75,,0.85,2100,21,0,100,100043,9,params,False,0,0,0.10499999999999998,,,,,0.33,0.15,0.24,0.365,0.328,0.448
elec2,sgd,mechanism_selector,2,27,42565,42565,0,110,REBUILD,True,0.855,True,0.835,0.045454545454545456,,0.045454545454545456,4840,44,0,110,104883,9,params,False,0,0,0.8095454545454546,,,,,0.58,0.36,0.47,0.175,0.332,0.478
elec2,sgd,mechanism_selector,2,28,42622,42665,43,100,REBUILD,True,0.855,True,0.835,0.7,,0.75,1500,15,0,100,106383,9,params,False,0,0,0.15500000000000003,,,,,0.54,0.51,0.525,0.24,0.33,0.464
elec2,sgd,mechanism_selector,2,29,42723,42765,42,100,REBUILD,True,0.855,True,0.835,0.35,,0.65,3000,30,0,100,109383,9,params,False,0,0,0.505,,,,,0.29,0.55,0.42,0.42,0.364,0.396
elec2,sgd,mechanism_selector,2,30,42840,42865,25,100,REBUILD,True,0.855,True,0.835,0.15,,0.85,1600,16,0,100,110983,9,params,False,0,0,0.705,,,,,0.38,0.32,0.35,0.5,0.408,0.336
elec2,sgd,mechanism_selector,2,31,43047,43047,0,182,REBUILD,True,0.855,True,0.835,0.2702702702702703,,0.9459459459459459,9282,51,0,182,120265,9,params,False,0,0,0.5847297297297297,,,,,0.47,0.46,0.465,0.365,0.436,0.322
elec2,sgd,mechanism_selector,2,32,43130,43147,17,100,REBUILD,True,0.855,True,0.835,0.15,,0.85,1900,19,0,100,122165,9,params,False,0,0,0.705,,,,,0.56,0.36,0.46,0.455,0.418,0.336
