dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
elec2,sgd,never_adapt,3,0,4579,4630,51,100,SKIP,False,0.7993384785005513,False,nan,0.75,,0.75,0,0,0,0,0,9,params,False,0,0,0.049338478500551286,,,,,,,,,,
elec2,sgd,never_adapt,3,1,4911,4911,0,281,SKIP,False,0.885,False,nan,0.6666666666666666,,0.6666666666666666,0,0,0,0,0,9,params,False,0,0,0.21833333333333338,,,,,0.25,0.1,,,,
elec2,sgd,never_adapt,3,2,4955,5011,56,100,SKIP,False,0.885,True,nan,0.9,,0.9,0,0,0,0,0,9,params,False,0,0,-0.015000000000000013,,,,,0.24,0.14,0.19,0.115,,
elec2,sgd,never_adapt,3,3,5326,5326,0,315,SKIP,False,0.86,False,nan,0.6507936507936508,,0.6507936507936508,0,0,0,0,0,9,params,False,0,0,0.20920634920634917,,,,,0.35,0.13,0.24,0.185,,
elec2,sgd,never_adapt,3,4,6031,6031,0,705,SKIP,False,0.66,False,nan,0.6312056737588653,,0.6312056737588653,0,0,0,0,0,9,params,False,0,0,0.02879432624113476,,,,,0.42,0.21,0.315,0.1,0.204,0.264
elec2,sgd,never_adapt,3,5,6326,6326,0,295,SKIP,False,0.71,False,nan,0.6271186440677966,,0.6271186440677966,0,0,0,0,0,9,params,False,0,0,0.08288135593220336,,,,,0.22,0.29,0.255,0.355,0.292,0.208
elec2,sgd,never_adapt,3,6,6550,6550,0,224,SKIP,False,0.835,False,nan,0.6222222222222222,,0.6222222222222222,0,0,0,0,0,9,params,False,0,0,0.21277777777777773,,,,,0.23,0.14,0.185,0.26,0.238,0.194
elec2,sgd,never_adapt,3,7,6584,6650,66,100,SKIP,False,0.835,True,nan,0.4,,0.4,0,0,0,0,0,9,params,False,0,0,0.43499999999999994,,,,,0.18,0.17,0.175,0.23,0.222,0.198
elec2,sgd,never_adapt,3,8,6956,6956,0,306,SKIP,False,0.765,False,nan,0.4838709677419355,,0.4838709677419355,0,0,0,0,0,9,params,False,0,0,0.2811290322580645,,,,,0.33,0.24,0.285,0.32,0.288,0.28
elec2,sgd,never_adapt,3,9,7057,7057,0,101,SKIP,False,0.765,True,nan,0.42857142857142855,,0.42857142857142855,0,0,0,0,0,9,params,False,0,0,0.33642857142857147,,,,,0.3,0.34,0.32,0.23,0.304,0.238
elec2,sgd,never_adapt,3,10,7179,7179,0,122,SKIP,False,0.765,True,nan,0.32,,0.32,0,0,0,0,0,9,params,False,0,0,0.445,,,,,0.31,0.4,0.355,0.295,0.288,0.266
elec2,sgd,never_adapt,3,11,10010,10010,0,1000,SKIP,False,0.375,False,nan,0.5,,0.5,0,0,0,0,0,9,params,False,0,0,-0.125,,,,,0.6,0.4,0.5,0.25,0.384,0.194
elec2,sgd,never_adapt,3,12,10297,10297,0,287,SKIP,False,0.93,False,nan,0.8620689655172413,,0.8620689655172413,0,0,0,0,0,9,params,False,0,0,0.06793103448275872,,,,,0.08,0.0,0.04,0.395,0.246,0.262
elec2,sgd,never_adapt,3,13,10339,10397,58,100,SKIP,False,0.93,True,nan,0.2,,0.2,0,0,0,0,0,9,params,False,0,0,0.73,,,,,0.24,0.0,0.12,0.325,0.256,0.268
elec2,sgd,never_adapt,3,14,10720,10720,0,323,SKIP,False,0.865,False,nan,0.5692307692307692,,0.5692307692307692,0,0,0,0,0,9,params,False,0,0,0.2957692307692308,,,,,0.38,0.06,0.22,0.315,0.246,0.268
elec2,sgd,never_adapt,3,15,10853,10853,0,133,SKIP,False,0.865,True,nan,0.6666666666666666,,0.6666666666666666,0,0,0,0,0,9,params,False,0,0,0.19833333333333336,,,,,0.16,0.4,0.28,0.125,0.238,0.26
elec2,sgd,never_adapt,3,16,10974,10974,0,121,SKIP,False,0.865,True,nan,0.36,,0.36,0,0,0,0,0,9,params,False,0,0,0.505,,,,,0.31,0.25,0.28,0.26,0.24,0.216
elec2,sgd,never_adapt,3,17,11018,11074,56,100,SKIP,False,0.865,True,nan,1.0,,1.0,0,0,0,0,0,9,params,False,0,0,-0.135,,,,,0.42,0.31,0.365,0.275,0.272,0.168
elec2,sgd,never_adapt,3,18,11116,11174,58,100,SKIP,False,0.865,True,nan,0.3,,0.3,0,0,0,0,0,9,params,False,0,0,0.565,,,,,0.33,0.4,0.365,0.25,0.318,0.17
elec2,sgd,never_adapt,3,19,11268,11274,6,100,SKIP,False,0.865,True,nan,0.35,,0.35,0,0,0,0,0,9,params,False,0,0,0.515,,,,,0.19,0.48,0.335,0.36,0.32,0.27
elec2,sgd,never_adapt,3,20,11563,11563,0,289,SKIP,False,0.6,False,nan,0.43103448275862066,,0.43103448275862066,0,0,0,0,0,9,params,False,0,0,0.16896551724137931,,,,,0.41,0.39,0.4,0.315,0.372,0.294
elec2,sgd,never_adapt,3,21,12381,12381,0,818,SKIP,False,0.475,False,nan,0.4817073170731707,,0.4817073170731707,0,0,0,0,0,9,params,False,0,0,-0.006707317073170738,,,,,0.68,0.21,0.445,0.415,0.428,0.416
elec2,sgd,never_adapt,3,22,12525,12525,0,144,SKIP,False,0.475,True,nan,0.7586206896551724,,0.7586206896551724,0,0,0,0,0,9,params,False,0,0,-0.2836206896551724,,,,,0.1,0.41,0.255,0.38,0.34,0.436
elec2,sgd,never_adapt,3,23,12563,12625,62,100,SKIP,False,0.475,True,nan,0.8,,0.8,0,0,0,0,0,9,params,False,0,0,-0.32500000000000007,,,,,0.21,0.22,0.215,0.39,0.336,0.404
elec2,sgd,never_adapt,3,24,12645,12725,80,100,SKIP,False,0.475,True,nan,0.95,,0.95,0,0,0,0,0,9,params,False,0,0,-0.475,,,,,0.32,0.15,0.235,0.43,0.296,0.38
elec2,sgd,never_adapt,3,25,12747,12825,78,100,SKIP,False,0.475,True,nan,0.8,,0.8,0,0,0,0,0,9,params,False,0,0,-0.32500000000000007,,,,,0.52,0.34,0.43,0.255,0.372,0.318
elec2,sgd,never_adapt,3,26,13661,13661,0,836,SKIP,False,0.765,False,nan,0.6071428571428571,,0.6071428571428571,0,0,0,0,0,9,params,False,0,0,0.15785714285714292,,,,,0.37,0.34,0.355,0.14,0.258,0.284
elec2,sgd,never_adapt,3,27,13717,13761,44,100,SKIP,False,0.765,True,nan,0.9,,0.9,0,0,0,0,0,9,params,False,0,0,-0.135,,,,,0.56,0.29,0.425,0.245,0.304,0.276
elec2,sgd,never_adapt,3,28,13911,13911,0,150,SKIP,False,0.765,True,nan,0.6,,0.6,0,0,0,0,0,9,params,False,0,0,0.16500000000000004,,,,,0.14,0.21,0.175,0.42,0.28,0.21
elec2,sgd,never_adapt,3,29,13989,14011,22,100,SKIP,False,0.765,True,nan,0.9,,0.9,0,0,0,0,0,9,params,False,0,0,-0.135,,,,,0.3,0.09,0.195,0.42,0.31,0.194
elec2,sgd,never_adapt,3,30,14047,14111,64,100,SKIP,False,0.765,True,nan,1.0,,1.0,0,0,0,0,0,9,params,False,0,0,-0.235,,,,,0.21,0.24,0.225,0.325,0.276,0.222
elec2,sgd,never_adapt,3,31,14283,14283,0,172,SKIP,False,0.765,True,nan,0.4857142857142857,,0.4857142857142857,0,0,0,0,0,9,params,False,0,0,0.2792857142857143,,,,,0.3,0.11,0.205,0.285,0.21,0.296
elec2,sgd,never_adapt,3,32,14342,14383,41,100,SKIP,False,0.765,True,nan,0.95,,0.95,0,0,0,0,0,9,params,False,0,0,-0.18499999999999994,,,,,0.37,0.23,0.3,0.185,0.242,0.27
elec2,sgd,never_adapt,3,33,14396,14483,87,100,SKIP,False,0.765,True,nan,0.25,,0.25,0,0,0,0,0,9,params,False,0,0,0.515,,,,,0.28,0.34,0.31,0.16,0.25,0.272
elec2,sgd,never_adapt,3,34,15974,15974,0,1000,SKIP,False,0.5,False,nan,0.53,,0.53,0,0,0,0,0,9,params,False,0,0,-0.030000000000000027,,,,,0.43,0.51,0.47,0.44,0.456,0.294
elec2,sgd,never_adapt,3,35,16015,16074,59,100,SKIP,False,0.5,True,nan,0.3,,0.3,0,0,0,0,0,9,params,False,0,0,0.2,,,,,0.41,0.45,0.43,0.45,0.434,0.308
elec2,sgd,never_adapt,3,36,16209,16209,0,135,SKIP,False,0.5,True,nan,0.25925925925925924,,0.25925925925925924,0,0,0,0,0,9,params,False,0,0,0.24074074074074076,,,,,0.29,0.33,0.31,0.42,0.374,0.308
elec2,sgd,never_adapt,3,37,16419,16419,0,210,SKIP,False,0.65,False,nan,0.40476190476190477,,0.40476190476190477,0,0,0,0,0,9,params,False,0,0,0.24523809523809526,,,,,0.38,0.3,0.34,0.33,0.344,0.43
elec2,sgd,never_adapt,3,38,16542,16542,0,123,SKIP,False,0.65,True,nan,0.4,,0.4,0,0,0,0,0,9,params,False,0,0,0.25,,,,,0.26,0.53,0.395,0.305,0.35,0.402
elec2,sgd,never_adapt,3,39,16588,16642,54,100,SKIP,False,0.65,True,nan,0.9,,0.9,0,0,0,0,0,9,params,False,0,0,-0.25,,,,,0.37,0.42,0.395,0.365,0.358,0.386
elec2,sgd,never_adapt,3,40,16746,16746,0,104,SKIP,False,0.65,True,nan,0.5238095238095238,,0.5238095238095238,0,0,0,0,0,9,params,False,0,0,0.1261904761904762,,,,,0.19,0.27,0.23,0.415,0.292,0.398
elec2,sgd,never_adapt,3,41,16886,16886,0,140,SKIP,False,0.65,True,nan,0.39285714285714285,,0.39285714285714285,0,0,0,0,0,9,params,False,0,0,0.2571428571428572,,,,,0.28,0.35,0.315,0.255,0.312,0.328
elec2,sgd,never_adapt,3,42,16925,16986,61,100,SKIP,False,0.65,True,nan,0.85,,0.85,0,0,0,0,0,9,params,False,0,0,-0.19999999999999996,,,,,0.33,0.36,0.345,0.27,0.288,0.35
elec2,sgd,never_adapt,3,43,17033,17086,53,100,SKIP,False,0.65,True,nan,0.45,,0.45,0,0,0,0,0,9,params,False,0,0,0.2,,,,,0.21,0.35,0.28,0.235,0.28,0.336
elec2,sgd,never_adapt,3,44,17405,17405,0,319,SKIP,False,0.775,False,nan,0.578125,,0.578125,0,0,0,0,0,9,params,False,0,0,0.19687500000000002,,,,,0.28,0.07,0.175,0.305,0.244,0.292
elec2,sgd,never_adapt,3,45,17461,17505,44,100,SKIP,False,0.775,True,nan,0.15,,0.15,0,0,0,0,0,9,params,False,0,0,0.625,,,,,0.56,0.06,0.31,0.28,0.27,0.274
elec2,sgd,never_adapt,3,46,18183,18183,0,678,SKIP,False,0.78,False,nan,0.6544117647058824,,0.6544117647058824,0,0,0,0,0,9,params,False,0,0,0.12558823529411767,,,,,0.41,0.27,0.34,0.165,0.234,0.276
elec2,sgd,never_adapt,3,47,18377,18377,0,194,SKIP,False,0.78,True,nan,0.6923076923076923,,0.6923076923076923,0,0,0,0,0,9,params,False,0,0,0.08769230769230774,,,,,0.29,0.22,0.255,0.33,0.27,0.296
elec2,sgd,never_adapt,3,48,18420,18477,57,100,SKIP,False,0.78,True,nan,0.65,,0.65,0,0,0,0,0,9,params,False,0,0,0.13,,,,,0.26,0.23,0.245,0.31,0.274,0.254
elec2,sgd,never_adapt,3,49,18652,18652,0,175,SKIP,False,0.78,True,nan,0.6571428571428571,,0.6571428571428571,0,0,0,0,0,9,params,False,0,0,0.12285714285714289,,,,,0.22,0.23,0.225,0.245,0.25,0.204
elec2,sgd,never_adapt,3,50,19040,19040,0,388,SKIP,False,0.81,False,nan,0.6794871794871795,,0.6794871794871795,0,0,0,0,0,9,params,False,0,0,0.13051282051282054,,,,,0.25,0.15,0.2,0.21,0.192,0.268
elec2,sgd,never_adapt,3,51,19099,19140,41,100,SKIP,False,0.81,True,nan,0.0,,0.0,0,0,0,0,0,9,params,False,0,0,0.81,,,,,0.61,0.09,0.35,0.175,0.262,0.256
elec2,sgd,never_adapt,3,52,19473,19473,0,333,SKIP,False,0.665,False,nan,0.40298507462686567,,0.40298507462686567,0,0,0,0,0,9,params,False,0,0,0.26201492537313437,,,,,0.44,0.26,0.35,0.53,0.44,0.17
elec2,sgd,never_adapt,3,53,19754,19754,0,281,SKIP,False,0.76,False,nan,0.6140350877192983,,0.6140350877192983,0,0,0,0,0,9,params,False,0,0,0.14596491228070174,,,,,0.35,0.23,0.29,0.355,0.286,0.356
elec2,sgd,never_adapt,3,54,19815,19854,39,100,SKIP,False,0.76,True,nan,0.45,,0.45,0,0,0,0,0,9,params,False,0,0,0.31,,,,,0.61,0.28,0.445,0.335,0.366,0.344
elec2,sgd,never_adapt,3,55,20063,20063,0,209,SKIP,False,0.71,False,nan,0.40476190476190477,,0.40476190476190477,0,0,0,0,0,9,params,False,0,0,0.3052380952380952,,,,,0.33,0.29,0.31,0.465,0.37,0.392
elec2,sgd,never_adapt,3,56,20532,20532,0,469,SKIP,False,0.31,False,nan,0.40425531914893614,,0.40425531914893614,0,0,0,0,0,9,params,False,0,0,-0.09425531914893615,,,,,0.56,0.16,0.36,0.545,0.496,0.332
elec2,sgd,never_adapt,3,57,20626,20632,6,100,SKIP,False,0.31,True,nan,0.0,,0.0,0,0,0,0,0,9,params,False,0,0,0.31,,,,,0.42,0.51,0.465,0.27,0.448,0.416
elec2,sgd,never_adapt,3,58,20815,20815,0,183,SKIP,False,0.31,True,nan,0.5135135135135135,,0.5135135135135135,0,0,0,0,0,9,params,False,0,0,-0.2035135135135135,,,,,0.38,0.36,0.37,0.41,0.35,0.47
elec2,sgd,never_adapt,3,59,21620,21620,0,805,SKIP,False,0.62,False,nan,0.6708074534161491,,0.6708074534161491,0,0,0,0,0,9,params,False,0,0,-0.05080745341614912,,,,,0.4,0.2,0.3,0.12,0.184,0.33
elec2,sgd,never_adapt,3,60,22051,22051,0,431,SKIP,False,0.83,False,nan,0.6896551724137931,,0.6896551724137931,0,0,0,0,0,9,params,False,0,0,0.1403448275862068,,,,,0.3,0.19,0.245,0.175,0.252,0.152
elec2,sgd,never_adapt,3,61,22173,22173,0,122,SKIP,False,0.83,True,nan,0.68,,0.68,0,0,0,0,0,9,params,False,0,0,0.1499999999999999,,,,,0.15,0.33,0.24,0.2,0.196,0.218
elec2,sgd,never_adapt,3,62,22537,22537,0,364,SKIP,False,0.64,False,nan,0.3150684931506849,,0.3150684931506849,0,0,0,0,0,9,params,False,0,0,0.3249315068493151,,,,,0.56,0.27,0.415,0.325,0.332,0.256
elec2,sgd,never_adapt,3,63,22835,22835,0,298,SKIP,False,0.63,False,nan,0.36666666666666664,,0.36666666666666664,0,0,0,0,0,9,params,False,0,0,0.26333333333333336,,,,,0.55,0.33,0.44,0.485,0.426,0.264
elec2,sgd,never_adapt,3,64,23201,23201,0,366,SKIP,False,0.525,False,nan,0.40540540540540543,,0.40540540540540543,0,0,0,0,0,9,params,False,0,0,0.1195945945945946,,,,,0.48,0.44,0.46,0.505,0.472,0.386
elec2,sgd,never_adapt,3,65,23427,23427,0,226,SKIP,False,0.855,False,nan,0.6521739130434783,,0.6521739130434783,0,0,0,0,0,9,params,False,0,0,0.2028260869565217,,,,,0.2,0.05,0.125,0.49,0.328,0.464
elec2,sgd,never_adapt,3,66,23467,23527,60,100,SKIP,False,0.855,True,nan,0.3,,0.3,0,0,0,0,0,9,params,False,0,0,0.5549999999999999,,,,,0.27,0.07,0.17,0.375,0.31,0.488
elec2,sgd,never_adapt,3,67,23885,23885,0,358,SKIP,False,0.665,False,nan,0.5138888888888888,,0.5138888888888888,0,0,0,0,0,9,params,False,0,0,0.1511111111111112,,,,,0.4,0.06,0.23,0.455,0.328,0.328
elec2,sgd,never_adapt,3,68,24528,24528,0,643,SKIP,False,0.535,False,nan,0.6124031007751938,,0.6124031007751938,0,0,0,0,0,9,params,False,0,0,-0.07740310077519374,,,,,0.5,0.06,0.28,0.24,0.214,0.404
elec2,sgd,never_adapt,3,69,24648,24648,0,120,SKIP,False,0.535,True,nan,0.4583333333333333,,0.4583333333333333,0,0,0,0,0,9,params,False,0,0,0.07666666666666672,,,,,0.23,0.51,0.37,0.13,0.264,0.29
elec2,sgd,never_adapt,3,70,24702,24748,46,100,SKIP,False,0.535,True,nan,0.5,,0.5,0,0,0,0,0,9,params,False,0,0,0.03500000000000003,,,,,0.45,0.32,0.385,0.205,0.294,0.308
