dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
elec2,xgb,always_nudge,2,0,4570,4630,60,100,NUDGE,False,0.8004410143329658,False,nan,0.45,0.75,0.75,400,5,5,80,400,105,rounds,False,0,1,0.35044101433296576,0.6,,,,,,,,,
elec2,xgb,always_nudge,2,1,5363,5363,0,733,NUDGE,False,0.78,False,nan,0.5782312925170068,0.7210884353741497,0.7210884353741497,2930,5,5,586,3330,110,rounds,False,0,2,0.20176870748299325,0.1564625850340136,,,,0.47,0.22,0.345,0.225,,
elec2,xgb,always_nudge,2,2,5692,5692,0,329,NUDGE,False,0.8,False,nan,0.6212121212121212,0.7121212121212122,0.7121212121212122,1315,5,5,263,4645,115,rounds,False,0,3,0.17878787878787883,0.09090909090909091,,,,0.32,0.12,0.22,0.36,0.278,0.244
elec2,xgb,always_nudge,2,3,5758,5792,34,100,NUDGE,False,0.8,True,nan,1.0,1.0,1.0,400,5,5,80,5045,120,rounds,False,0,4,-0.19999999999999996,0.0,,,,0.28,0.24,0.26,0.225,0.278,0.25
elec2,xgb,always_nudge,2,4,5807,5892,85,100,NUDGE,False,0.8,True,nan,0.95,1.0,1.0,400,5,5,80,5445,125,rounds,False,0,5,-0.1499999999999999,0.05,,,,0.19,0.35,0.27,0.105,0.268,0.228
elec2,xgb,always_nudge,2,5,6259,6259,0,367,NUDGE,False,0.845,False,nan,0.6756756756756757,0.7027027027027027,0.7027027027027027,1465,5,5,293,6910,130,rounds,False,0,6,0.16932432432432432,0.02702702702702703,,,,0.24,0.07,0.155,0.155,0.172,0.28
elec2,xgb,always_nudge,2,6,6303,6359,56,100,NUDGE,False,0.845,True,nan,1.0,1.0,1.0,400,5,5,80,7310,135,rounds,False,0,7,-0.15500000000000003,0.0,,,,0.27,0.05,0.16,0.155,0.174,0.262
elec2,xgb,always_nudge,2,7,6624,6624,0,265,NUDGE,False,0.84,False,nan,0.6981132075471698,0.9433962264150944,0.9433962264150944,1060,5,5,212,8370,140,rounds,False,0,8,0.1418867924528302,0.24528301886792453,,,,0.29,0.11,0.2,0.22,0.19,0.204
elec2,xgb,always_nudge,2,8,6984,6984,0,360,NUDGE,False,0.89,False,nan,0.7638888888888888,0.8055555555555556,0.8055555555555556,1440,5,5,288,9810,145,rounds,False,0,9,0.12611111111111117,0.09722222222222222,,,,0.21,0.07,0.14,0.17,0.16,0.158
elec2,xgb,always_nudge,2,9,7180,7180,0,196,NUDGE,False,0.89,True,nan,0.6,0.6,0.6,780,5,5,156,10590,150,rounds,False,0,10,0.29000000000000004,0.0,,,,0.22,0.24,0.23,0.13,0.15,0.214
elec2,xgb,always_nudge,2,10,7729,7729,0,549,NUDGE,False,0.76,False,nan,0.6363636363636364,0.6454545454545455,0.6454545454545455,2195,5,5,439,12785,155,rounds,False,0,11,0.12363636363636366,0.045454545454545456,,,,0.37,0.14,0.255,0.135,0.196,0.194
elec2,xgb,always_nudge,2,11,7767,7829,62,100,NUDGE,False,0.76,True,nan,0.65,0.8,0.8,400,5,5,80,13185,160,rounds,False,0,12,0.10999999999999999,0.15,,,,0.21,0.26,0.235,0.14,0.184,0.21
elec2,xgb,always_nudge,2,12,8476,8476,0,647,NUDGE,False,0.88,False,nan,0.7692307692307693,0.8,0.8,2585,5,5,517,15770,165,rounds,False,0,13,0.11076923076923073,0.06153846153846154,,,,0.26,0.17,0.215,0.075,0.142,0.202
elec2,xgb,always_nudge,2,13,8630,8630,0,154,NUDGE,False,0.88,True,nan,0.6129032258064516,0.6129032258064516,0.6129032258064516,615,5,5,123,16385,170,rounds,False,0,14,0.2670967741935484,0.0,,,,0.13,0.31,0.22,0.135,0.16,0.192
