dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
elec2,xgb,always_rebuild,1,0,4570,4630,60,100,REBUILD,False,0.8004410143329658,False,nan,0.45,,0.95,10000,100,100,100,10000,100,rounds,False,0,0,0.35044101433296576,,,,,,,,,,
elec2,xgb,always_rebuild,1,1,4976,4976,0,346,REBUILD,False,0.9,False,nan,0.6857142857142857,,1.0,34600,100,100,346,44600,100,rounds,False,0,0,0.2142857142857143,,,,,0.33,0.13,0.23,0.19,,
elec2,xgb,always_rebuild,1,2,5039,5076,37,100,REBUILD,False,0.9,True,nan,0.4,,1.0,10000,100,100,100,54600,100,rounds,False,0,0,0.5,,,,,0.22,0.21,0.215,0.115,,
elec2,xgb,always_rebuild,1,3,5357,5357,0,281,REBUILD,False,0.775,False,nan,0.45614035087719296,,1.0,28100,100,100,281,82700,100,rounds,False,0,0,0.31885964912280707,,,,,0.44,0.16,0.3,0.32,,
elec2,xgb,always_rebuild,1,4,5538,5538,0,181,REBUILD,False,0.775,True,nan,0.918918918918919,,1.0,18100,100,100,181,100800,100,rounds,False,0,0,-0.14391891891891895,,,,,0.03,0.2,0.115,0.235,0.228,0.21
elec2,xgb,always_rebuild,1,5,5581,5638,57,100,REBUILD,False,0.775,True,nan,0.55,,1.0,10000,100,100,100,110800,100,rounds,False,0,0,0.22499999999999998,,,,,0.06,0.01,0.035,0.305,0.18,0.224
elec2,xgb,always_rebuild,1,6,5744,5744,0,106,REBUILD,False,0.775,True,nan,0.36363636363636365,,1.0,10600,100,100,106,121400,100,rounds,False,0,0,0.4113636363636364,,,,,0.23,0.25,0.24,0.09,0.208,0.23
elec2,xgb,always_rebuild,1,7,5806,5844,38,100,REBUILD,False,0.775,True,nan,0.7,,1.0,10000,100,100,100,131400,100,rounds,False,0,0,0.07500000000000007,,,,,0.16,0.29,0.225,0.04,0.172,0.25
elec2,xgb,always_rebuild,1,8,5994,5994,0,150,REBUILD,False,0.775,True,nan,0.5333333333333333,,1.0,15000,100,100,150,146400,100,rounds,False,0,0,0.2416666666666667,,,,,0.23,0.16,0.195,0.22,0.18,0.234
elec2,xgb,always_rebuild,1,9,6062,6094,32,100,REBUILD,False,0.775,True,nan,0.9,,1.0,10000,100,100,100,156400,100,rounds,False,0,0,-0.125,,,,,0.18,0.09,0.135,0.15,0.18,0.194
