dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
elec2,xgb,fixed_schedule,1,0,4570,4630,60,100,NUDGE,False,0.8004410143329658,False,nan,0.45,0.75,0.75,400,5,5,80,400,105,rounds,False,0,1,0.35044101433296576,0.6,,,,,,,,,
elec2,xgb,fixed_schedule,1,1,5363,5363,0,733,NUDGE,False,0.78,False,nan,0.5782312925170068,0.7210884353741497,0.7210884353741497,2930,5,5,586,3330,110,rounds,False,0,2,0.20176870748299325,0.1564625850340136,,,,0.47,0.22,0.345,0.225,,
elec2,xgb,fixed_schedule,1,2,5692,5692,0,329,REBUILD,False,0.8,False,nan,0.6212121212121212,,1.0,32900,100,100,329,36230,100,rounds,False,0,0,0.17878787878787883,,,,,0.32,0.12,0.22,0.36,0.278,0.244
elec2,xgb,fixed_schedule,1,3,5727,5792,65,100,NUDGE,False,0.8,True,nan,0.7,0.8,0.8,400,5,5,80,36630,105,rounds,False,0,1,0.10000000000000009,0.1,,,,0.27,0.2,0.235,0.29,0.28,0.23
elec2,xgb,fixed_schedule,1,4,6032,6032,0,240,NUDGE,False,0.71,False,nan,0.4583333333333333,0.9166666666666666,0.9166666666666666,960,5,5,192,37590,110,rounds,False,0,2,0.25166666666666665,0.4583333333333333,,,,0.4,0.29,0.345,0.255,0.284,0.262
elec2,xgb,fixed_schedule,1,5,6238,6238,0,206,REBUILD,False,0.725,False,nan,0.5238095238095238,,0.9761904761904762,20600,100,100,206,58190,100,rounds,False,0,0,0.20119047619047614,,,,,0.36,0.24,0.3,0.345,0.294,0.284
elec2,xgb,fixed_schedule,1,6,6306,6338,32,100,NUDGE,False,0.725,True,nan,0.45,0.7,0.7,400,5,5,80,58590,105,rounds,False,0,1,0.27499999999999997,0.75,,,,0.22,0.28,0.25,0.32,0.286,0.268
elec2,xgb,fixed_schedule,1,7,6512,6512,0,174,NUDGE,False,0.725,True,nan,0.5428571428571428,0.8857142857142857,0.8857142857142857,695,5,5,139,59285,110,rounds,False,0,2,0.18214285714285716,0.45714285714285713,,,,0.47,0.26,0.365,0.275,0.318,0.256
elec2,xgb,fixed_schedule,1,8,7068,7068,0,556,REBUILD,False,0.69,False,nan,0.6964285714285714,,1.0,55600,100,100,556,114885,100,rounds,False,0,0,-0.00642857142857145,,,,,0.33,0.28,0.305,0.165,0.26,0.308
elec2,xgb,fixed_schedule,1,9,7108,7168,60,100,NUDGE,False,0.69,True,nan,0.75,0.65,0.65,400,5,5,80,115285,105,rounds,False,0,1,-0.06000000000000005,0.4,,,,0.31,0.38,0.345,0.135,0.258,0.312
