dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
elec2,xgb,mechanism_selector,4,0,4570,4630,60,100,REBUILD,True,0.8004410143329658,False,0.7804410143329658,0.45,,0.95,10000,100,100,100,10000,100,rounds,False,0,0,0.35044101433296576,,,,,,,,,,
elec2,xgb,mechanism_selector,4,1,4976,4976,0,346,REBUILD,False,0.9,False,0.88,0.6857142857142857,0.8714285714285714,1.0,35980,105,105,622,45980,100,rounds,False,0,0,0.2142857142857143,0.18571428571428572,,,,0.33,0.13,0.23,0.19,,
elec2,xgb,mechanism_selector,4,2,5039,5076,37,100,REBUILD,True,0.9,True,0.88,0.4,,1.0,10000,100,100,100,55980,100,rounds,False,0,0,0.5,,,,,0.22,0.21,0.215,0.115,,
elec2,xgb,mechanism_selector,4,3,5357,5357,0,281,REBUILD,False,0.775,False,0.755,0.45614035087719296,0.543859649122807,1.0,29220,105,105,505,85200,100,rounds,False,0,0,0.31885964912280707,0.08771929824561403,,,,0.44,0.16,0.3,0.32,,
elec2,xgb,mechanism_selector,4,4,5538,5538,0,181,REBUILD,True,0.775,True,0.755,0.918918918918919,,1.0,18100,100,100,181,103300,100,rounds,False,0,0,-0.14391891891891895,,,,,0.03,0.2,0.115,0.235,0.228,0.21
elec2,xgb,mechanism_selector,4,5,5581,5638,57,100,REBUILD,True,0.775,True,0.755,0.55,,1.0,10000,100,100,100,113300,100,rounds,False,0,0,0.22499999999999998,,,,,0.06,0.01,0.035,0.305,0.18,0.224
elec2,xgb,mechanism_selector,4,6,5744,5744,0,106,REBUILD,True,0.775,True,0.755,0.36363636363636365,,1.0,10600,100,100,106,123900,100,rounds,False,0,0,0.4113636363636364,,,,,0.23,0.25,0.24,0.09,0.208,0.23
elec2,xgb,mechanism_selector,4,7,5806,5844,38,100,REBUILD,True,0.775,True,0.755,0.7,,1.0,10000,100,100,100,133900,100,rounds,False,0,0,0.07500000000000007,,,,,0.16,0.29,0.225,0.04,0.172,0.25
elec2,xgb,mechanism_selector,4,8,5994,5994,0,150,REBUILD,True,0.775,True,0.755,0.5333333333333333,,1.0,15000,100,100,150,148900,100,rounds,False,0,0,0.2416666666666667,,,,,0.23,0.16,0.195,0.22,0.18,0.234
elec2,xgb,mechanism_selector,4,9,6062,6094,32,100,REBUILD,True,0.775,True,0.755,0.9,,1.0,10000,100,100,100,158900,100,rounds,False,0,0,-0.125,,,,,0.18,0.09,0.135,0.15,0.18,0.194
elec2,xgb,mechanism_selector,4,10,6224,6224,0,130,REBUILD,True,0.775,True,0.755,0.7307692307692307,,0.9615384615384616,13000,100,100,130,171900,100,rounds,False,0,0,0.044230769230769296,,,,,0.14,0.09,0.115,0.16,0.154,0.194
elec2,xgb,mechanism_selector,4,11,6311,6324,13,100,REBUILD,True,0.775,True,0.755,0.3,,1.0,10000,100,100,100,181900,100,rounds,False,0,0,0.47500000000000003,,,,,0.24,0.08,0.16,0.155,0.154,0.178
elec2,xgb,mechanism_selector,4,12,6542,6542,0,218,REBUILD,True,0.905,False,0.885,0.6818181818181818,,1.0,21800,100,100,218,203700,100,rounds,False,0,0,0.22318181818181826,,,,,0.21,0.08,0.145,0.185,0.156,0.176
elec2,xgb,mechanism_selector,4,13,6892,6892,0,350,NUDGE,False,0.705,False,0.6849999999999999,0.5714285714285714,0.6857142857142857,0.6857142857142857,1400,5,5,280,205100,105,rounds,False,0,1,0.13357142857142856,0.2,,,,0.34,0.24,0.29,0.295,0.25,0.16
elec2,xgb,mechanism_selector,4,14,7174,7174,0,282,REBUILD,False,0.82,False,0.7999999999999999,0.6842105263157895,0.7543859649122807,1.0,29325,105,105,507,234425,100,rounds,False,0,0,0.13578947368421046,0.17543859649122806,,,,0.31,0.22,0.265,0.25,0.256,0.212
elec2,xgb,mechanism_selector,4,15,7231,7274,43,100,REBUILD,True,0.82,True,0.7999999999999999,0.85,,1.0,10000,100,100,100,244425,100,rounds,False,0,0,-0.030000000000000027,,,,,0.27,0.25,0.26,0.27,0.242,0.222
elec2,xgb,mechanism_selector,4,16,8027,8027,0,753,NUDGE,False,0.76,False,0.74,0.5629139072847682,0.7880794701986755,0.7880794701986755,3010,5,5,602,247435,105,rounds,False,0,1,0.1970860927152318,0.25165562913907286,,,,0.48,0.27,0.375,0.335,0.31,0.236
elec2,xgb,mechanism_selector,4,17,8066,8127,61,100,REBUILD,True,0.76,True,0.74,0.7,,1.0,10000,100,100,100,257435,100,rounds,False,0,0,0.06000000000000005,,,,,0.35,0.35,0.35,0.275,0.302,0.218
elec2,xgb,mechanism_selector,4,18,8287,8287,0,160,REBUILD,True,0.76,True,0.74,0.5625,,1.0,16000,100,100,160,273435,100,rounds,False,0,0,0.1975,,,,,0.18,0.19,0.185,0.345,0.268,0.238
elec2,xgb,mechanism_selector,4,19,8332,8387,55,100,REBUILD,True,0.76,True,0.74,0.95,,1.0,10000,100,100,100,283435,100,rounds,False,0,0,-0.18999999999999995,,,,,0.2,0.13,0.165,0.315,0.254,0.25
elec2,xgb,mechanism_selector,4,20,8449,8487,38,100,REBUILD,True,0.76,True,0.74,0.5,,1.0,10000,100,100,100,293435,100,rounds,False,0,0,0.26,,,,,0.15,0.24,0.195,0.16,0.23,0.246
elec2,xgb,mechanism_selector,4,21,8619,8619,0,132,REBUILD,True,0.76,True,0.74,0.4444444444444444,,1.0,13200,100,100,132,306635,100,rounds,False,0,0,0.3155555555555556,,,,,0.46,0.3,0.38,0.16,0.246,0.318
elec2,xgb,mechanism_selector,4,22,8751,8751,0,132,REBUILD,True,0.76,True,0.74,0.8148148148148148,,0.9629629629629629,13200,100,100,132,319835,100,rounds,False,0,0,-0.05481481481481476,,,,,0.06,0.37,0.215,0.235,0.228,0.272
elec2,xgb,mechanism_selector,4,23,8882,8882,0,131,REBUILD,True,0.76,True,0.74,0.3333333333333333,,1.0,13100,100,100,131,332935,100,rounds,False,0,0,0.4266666666666667,,,,,0.33,0.16,0.245,0.285,0.264,0.24
elec2,xgb,mechanism_selector,4,24,11886,11886,0,1000,REBUILD,False,0.8,False,0.78,0.765,0.62,1.0,104000,105,105,1800,436935,100,rounds,False,0,0,0.03500000000000003,0.385,,,,0.32,0.15,0.235,0.3,0.252,0.172
elec2,xgb,mechanism_selector,4,25,12096,12096,0,210,REBUILD,True,0.715,False,0.695,0.47619047619047616,,1.0,21000,100,100,210,457935,100,rounds,False,0,0,0.2388095238095238,,,,,0.31,0.28,0.295,0.265,0.254,0.232
