dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
elec2,xgb,never_adapt,1,0,4570,4630,60,100,SKIP,False,0.8004410143329658,False,nan,0.45,,0.45,0,0,0,0,0,100,rounds,False,0,0,0.35044101433296576,,,,,,,,,,
elec2,xgb,never_adapt,1,1,5371,5371,0,741,SKIP,False,0.83,False,nan,0.6845637583892618,,0.6845637583892618,0,0,0,0,0,100,rounds,False,0,0,0.1454362416107382,,,,,0.38,0.24,0.31,0.185,,
elec2,xgb,never_adapt,1,2,5913,5913,0,542,SKIP,False,0.775,False,nan,0.5871559633027523,,0.5871559633027523,0,0,0,0,0,100,rounds,False,0,0,0.1878440366972477,,,,,0.41,0.13,0.27,0.25,0.222,0.26
elec2,xgb,never_adapt,1,3,6086,6086,0,173,SKIP,False,0.775,True,nan,0.6285714285714286,,0.6285714285714286,0,0,0,0,0,100,rounds,False,0,0,0.14642857142857146,,,,,0.22,0.2,0.21,0.235,0.236,0.264
elec2,xgb,never_adapt,1,4,7227,7227,0,1000,SKIP,False,0.475,False,nan,0.59,,0.59,0,0,0,0,0,100,rounds,False,0,0,-0.11499999999999999,,,,,0.47,0.35,0.41,0.175,0.26,0.236
elec2,xgb,never_adapt,1,5,7458,7458,0,231,SKIP,False,0.775,False,nan,0.574468085106383,,0.574468085106383,0,0,0,0,0,100,rounds,False,0,0,0.200531914893617,,,,,0.32,0.17,0.245,0.405,0.306,0.178
elec2,xgb,never_adapt,1,6,7516,7558,42,100,SKIP,False,0.775,True,nan,0.7,,0.7,0,0,0,0,0,100,rounds,False,0,0,0.07500000000000007,,,,,0.45,0.18,0.315,0.38,0.34,0.18
elec2,xgb,never_adapt,1,7,7637,7658,21,100,SKIP,False,0.775,True,nan,0.5,,0.5,0,0,0,0,0,100,rounds,False,0,0,0.275,,,,,0.29,0.51,0.4,0.19,0.344,0.206
elec2,xgb,never_adapt,1,8,7858,7858,0,200,SKIP,False,0.745,False,nan,0.6,,0.6,0,0,0,0,0,100,rounds,False,0,0,0.14500000000000002,,,,,0.35,0.16,0.255,0.375,0.316,0.264
elec2,xgb,never_adapt,1,9,7976,7976,0,118,SKIP,False,0.745,True,nan,0.4166666666666667,,0.4166666666666667,0,0,0,0,0,100,rounds,False,0,0,0.3283333333333333,,,,,0.24,0.37,0.305,0.25,0.284,0.324
elec2,xgb,never_adapt,1,10,9535,9535,0,1000,SKIP,False,0.82,False,nan,0.695,,0.695,0,0,0,0,0,100,rounds,False,0,0,0.125,,,,,0.42,0.19,0.305,0.355,0.32,0.166
elec2,xgb,never_adapt,1,11,9635,9635,0,100,SKIP,False,0.82,True,nan,0.3,,0.3,0,0,0,0,0,100,rounds,False,0,0,0.52,,,,,0.39,0.42,0.405,0.355,0.342,0.178
elec2,xgb,never_adapt,1,12,9863,9863,0,228,SKIP,False,0.785,False,nan,0.5652173913043478,,0.5652173913043478,0,0,0,0,0,100,rounds,False,0,0,0.21978260869565225,,,,,0.27,0.22,0.245,0.455,0.304,0.262
elec2,xgb,never_adapt,1,13,10414,10414,0,551,SKIP,False,0.83,False,nan,0.8108108108108109,,0.8108108108108109,0,0,0,0,0,100,rounds,False,0,0,0.019189189189189104,,,,,0.19,0.17,0.18,0.045,0.11,0.334
elec2,xgb,never_adapt,1,14,10520,10520,0,106,SKIP,False,0.83,True,nan,0.7727272727272727,,0.7727272727272727,0,0,0,0,0,100,rounds,False,0,0,0.05727272727272725,,,,,0.12,0.19,0.155,0.11,0.116,0.288
elec2,xgb,never_adapt,1,15,10571,10620,49,100,SKIP,False,0.83,True,nan,0.9,,0.9,0,0,0,0,0,100,rounds,False,0,0,-0.07000000000000006,,,,,0.11,0.16,0.135,0.13,0.116,0.232
elec2,xgb,never_adapt,1,16,10638,10720,82,100,SKIP,False,0.83,True,nan,0.8,,0.8,0,0,0,0,0,100,rounds,False,0,0,0.029999999999999916,,,,,0.19,0.1,0.145,0.195,0.14,0.19
elec2,xgb,never_adapt,1,17,10724,10820,96,100,SKIP,False,0.83,True,nan,0.7,,0.7,0,0,0,0,0,100,rounds,False,0,0,0.13,,,,,0.22,0.13,0.175,0.155,0.168,0.16
elec2,xgb,never_adapt,1,18,10853,10920,67,100,SKIP,False,0.83,True,nan,0.75,,0.75,0,0,0,0,0,100,rounds,False,0,0,0.07999999999999996,,,,,0.17,0.18,0.175,0.145,0.16,0.144
