dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
insects_abrupt,rf,mechanism_selector,4,0,13608,13608,0,1000,REBUILD,False,0.7173797969565522,False,0.6973797969565522,0.045,0.075,1.0,104000,105,105,1800,104000,100,trees,True,10,0,0.6723797969565521,0.035,,,,0.96,0.95,0.955,0.95,0.954,0.942
insects_abrupt,rf,mechanism_selector,4,1,14352,14352,0,744,REBUILD,False,1.0,False,0.98,0.5,0.5,1.0,77375,105,105,1339,181375,100,trees,True,9,0,0.5,0.0,,,,0.01,0.0,0.005,0.0,0.002,0.488
insects_abrupt,rf,mechanism_selector,4,2,30545,30545,0,1000,SKIP,False,0.0,False,-0.02,0.25,,0.25,0,0,0,0,181375,100,trees,False,0,0,-0.25,,,,,0.92,0.87,0.895,0.875,0.888,0.852
insects_abrupt,rf,mechanism_selector,4,3,33882,33882,0,1000,REBUILD,False,0.25,False,0.23,0.16666666666666666,0.16666666666666666,1.0,104000,105,105,1800,285375,100,trees,False,0,0,0.08333333333333334,0.0,,,,0.91,0.97,0.94,0.905,0.92,0.724
insects_abrupt,rf,mechanism_selector,4,4,33975,33982,7,100,REBUILD,True,0.25,True,0.23,0.5194444444444445,,1.0,10000,100,100,100,295375,100,trees,False,0,0,-0.2694444444444445,,,,,0.45,0.91,0.68,0.945,0.828,0.722
insects_abrupt,rf,mechanism_selector,4,5,38235,38235,0,1000,NUDGE,False,0.5743370112272551,False,0.5543370112272551,0.5509785353535354,0.5609217171717172,0.5609217171717172,4000,5,5,800,299375,100,trees,False,0,1,0.023358475873719753,0.045,,,,0.77,0.38,0.575,0.395,0.47,0.394
insects_abrupt,rf,mechanism_selector,4,6,47256,47256,0,1000,REBUILD,False,0.285,False,0.26499999999999996,0.12337740384615385,0.14302884615384615,1.0,104000,105,105,1800,403375,100,trees,False,0,0,0.1616225961538461,0.06,,,,0.9,0.79,0.845,0.83,0.816,0.558
insects_abrupt,rf,mechanism_selector,4,7,48553,48553,0,1000,REBUILD,False,0.6446475810247172,False,0.6246475810247172,0.5873803009575923,0.5947332421340629,1.0,104000,105,105,1800,507375,100,trees,True,4,0,0.05726728006712489,0.015,,,,0.22,0.24,0.23,0.21,0.218,0.202
insects_abrupt,rf,mechanism_selector,4,8,48595,48653,58,100,REBUILD,True,0.6446475810247172,True,0.6246475810247172,1.0,,1.0,10000,100,100,100,517375,100,trees,True,2,0,-0.3553524189752828,,,,,0.16,0.21,0.185,0.215,0.206,0.194
insects_abrupt,rf,mechanism_selector,4,9,52091,52091,0,1000,NUDGE,False,0.6915516915516916,False,0.6715516915516916,0.6684749074454956,0.6733768682298094,0.6733768682298094,4000,5,5,800,521375,100,trees,True,2,1,0.023076784106195958,0.01,,,,0.68,0.12,0.4,0.08,0.21,0.09
