dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
insects_abrupt,xgb,always_nudge,0,0,5383,5383,0,100,NUDGE,False,0.7295633099702555,False,nan,0.5833333333333334,0.5555555555555555,0.5555555555555555,400,5,5,80,400,105,rounds,False,0,1,0.14622997663692217,0.15,,,,,,,,,
insects_abrupt,xgb,always_nudge,0,1,12721,12721,0,1000,NUDGE,False,0.6510274943310658,False,nan,0.6857392825896763,0.653951479749242,0.653951479749242,4000,5,5,800,4400,110,rounds,False,0,2,-0.03471178825861054,0.135,,,,0.81,0.37,0.59,0.185,0.348,0.212
insects_abrupt,xgb,always_nudge,0,2,14868,14868,0,1000,NUDGE,False,0.115,False,nan,0.21488995215311008,0.44442743221690595,0.44442743221690595,4000,5,5,800,8400,115,rounds,False,0,3,-0.09988995215311007,0.785,,,,0.93,0.9,0.915,0.895,0.908,0.828
insects_abrupt,xgb,always_nudge,0,3,18261,18261,0,1000,NUDGE,False,0.5961513687600644,False,nan,0.259333400060054,0.44525072565308776,0.44525072565308776,4000,5,5,800,12400,120,rounds,False,0,4,0.33681796870001035,0.31,,,,0.81,0.67,0.74,0.72,0.682,0.45
insects_abrupt,xgb,always_nudge,0,4,19953,19953,0,1000,NUDGE,False,0.4426065162907268,False,nan,0.2875307372366196,0.4073227752639517,0.4073227752639517,4000,5,5,800,16400,125,rounds,False,0,5,0.1550757790541072,0.34,,,,0.6,0.68,0.64,0.65,0.638,0.536
insects_abrupt,xgb,always_nudge,0,5,20122,20122,0,169,NUDGE,False,0.4426065162907268,True,nan,0.35454545454545455,0.46590909090909094,0.46590909090909094,675,5,5,135,17075,130,rounds,False,0,6,0.08806106174527223,0.17647058823529413,,,,0.53,0.45,0.49,0.615,0.574,0.576
insects_abrupt,xgb,always_nudge,0,6,29064,29064,0,1000,NUDGE,False,0.45196326661843905,False,nan,0.33391510450333983,0.5480338289161819,0.5480338289161819,4000,5,5,800,21075,135,rounds,True,2,7,0.11804816211509922,0.435,,,,0.65,0.72,0.685,0.625,0.662,0.664
insects_abrupt,xgb,always_nudge,0,7,29129,29164,35,100,NUDGE,False,0.45196326661843905,True,nan,0.7326388888888888,0.7604166666666666,0.7604166666666666,400,5,5,80,21475,140,rounds,True,2,8,-0.2806756222704498,0.05,,,,0.43,0.65,0.54,0.69,0.62,0.662
insects_abrupt,xgb,always_nudge,0,8,33675,33675,0,1000,NUDGE,False,0.624243657576991,False,nan,0.38042913042913035,0.45712693212693206,0.45712693212693206,4000,5,5,800,25475,145,rounds,False,0,9,0.24381452714786062,0.33,,,,0.61,0.66,0.635,0.68,0.638,0.372
insects_abrupt,xgb,always_nudge,0,9,47400,47400,0,1000,NUDGE,False,0.4417065390066793,False,nan,0.30830819638027873,0.5374375910131058,0.5374375910131058,4000,5,5,800,29475,150,rounds,False,0,10,0.13339834262640055,0.375,,,,0.73,0.7,0.715,0.65,0.688,0.538
insects_abrupt,xgb,always_nudge,0,10,52681,52681,0,1000,NUDGE,False,0.6548763736263735,False,nan,0.335,0.725,0.725,4000,5,5,800,33475,155,rounds,True,2,11,0.3198763736263735,0.405,,,,0.67,0.66,0.665,0.67,0.658,0.442
