dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
insects_gradual,rf,always_rebuild,0,0,2506,2514,8,100,REBUILD,False,0.5746432939258052,False,nan,0.5555555555555556,,1.0,10000,100,100,100,10000,100,trees,True,2,0,0.019087738370249574,,,,,,,,,,
insects_gradual,rf,always_rebuild,0,1,2544,2614,70,100,REBUILD,False,0.5746432939258052,True,nan,0.9285714285714286,,1.0,10000,100,100,100,20000,100,trees,True,2,0,-0.35392813464562345,,,,,,,,,,
insects_gradual,rf,always_rebuild,0,2,2763,2763,0,149,REBUILD,False,0.5746432939258052,True,nan,0.4160839160839161,,1.0,14900,100,100,149,34900,100,trees,True,2,0,0.15855937784188906,,,,,0.21,0.13,,,,
insects_gradual,rf,always_rebuild,0,3,2804,2863,59,100,REBUILD,False,0.5746432939258052,True,nan,0.6666666666666666,,1.0,10000,100,100,100,44900,100,trees,True,1,0,-0.09202337274086148,,,,,0.16,0.13,,,,
insects_gradual,rf,always_rebuild,0,4,3261,3261,0,398,REBUILD,False,0.3912980318650422,False,nan,0.4083333333333333,,1.0,39800,100,100,398,84700,100,trees,True,1,0,-0.01703530146829113,,,,,0.21,0.1,0.155,0.13,,
insects_gradual,rf,always_rebuild,0,5,10779,10779,0,1000,REBUILD,False,0.5023939623914326,False,nan,0.3333333333333333,,1.0,100000,100,100,1000,184700,100,trees,False,0,0,0.16906062905809932,,,,,0.97,0.97,0.97,0.835,0.834,0.582
insects_gradual,rf,always_rebuild,0,6,11575,11575,0,796,REBUILD,False,0.6247700720855084,False,nan,0.5540090997240248,,1.0,79600,100,100,796,264300,100,trees,True,3,0,0.0707609723614836,,,,,0.3,0.17,0.235,0.11,0.154,0.494
insects_gradual,rf,always_rebuild,0,7,11783,11783,0,208,REBUILD,False,0.9251700680272109,False,nan,0.9,,1.0,20800,100,100,208,285100,100,trees,True,3,0,0.02517006802721089,,,,,0.05,0.02,0.035,0.225,0.132,0.132
insects_gradual,rf,always_rebuild,0,8,11820,11883,63,100,REBUILD,False,0.9251700680272109,True,nan,0.95,,1.0,10000,100,100,100,295100,100,trees,True,5,0,-0.024829931972789043,,,,,0.06,0.0,0.03,0.21,0.126,0.13
insects_gradual,rf,always_rebuild,0,9,13802,13802,0,1000,REBUILD,False,1.0,False,nan,0.5,,1.0,100000,100,100,1000,395100,100,trees,True,4,0,0.5,,,,,0.03,0.0,0.015,0.0,0.006,0.0
insects_gradual,rf,always_rebuild,0,10,13960,13960,0,158,REBUILD,False,1.0,True,nan,0.0,,1.0,15800,100,100,158,410900,100,trees,True,1,0,1.0,,,,,0.62,0.61,0.615,0.0,0.246,0.0
