dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
insects_gradual,rf,fixed_schedule,1,0,2506,2514,8,100,NUDGE,False,0.564655523848349,False,nan,0.5555555555555556,0.5555555555555556,0.5555555555555556,400,5,5,80,400,100,trees,True,2,1,0.00909996829279347,0.0,,,,,,,,,
insects_gradual,rf,fixed_schedule,1,1,3283,3283,0,769,NUDGE,False,0.5683565019123271,False,nan,0.5245714285714286,0.5102857142857143,0.5102857142857143,3075,5,5,615,3475,100,trees,True,1,2,0.04378507334089854,0.006493506493506494,,,,0.3,0.06,0.18,0.055,,
insects_gradual,rf,fixed_schedule,1,2,12322,12322,0,1000,REBUILD,False,0.42844827586206896,False,nan,0.0,,1.0,100000,100,100,1000,103475,100,trees,True,3,0,0.42844827586206896,,,,,1.0,1.0,1.0,1.0,1.0,0.95
insects_gradual,rf,fixed_schedule,1,3,12423,12423,0,101,NUDGE,False,0.42844827586206896,True,nan,0.9523809523809523,1.0,1.0,400,5,5,80,103875,100,trees,True,5,1,-0.5239326765188834,0.047619047619047616,,,,0.01,0.99,0.5,1.0,0.8,0.966
insects_gradual,rf,fixed_schedule,1,4,13001,13001,0,578,NUDGE,False,1.0,False,nan,0.9913793103448276,0.9913793103448276,0.9913793103448276,2310,5,5,462,106185,100,trees,True,5,2,0.008620689655172376,0.0,,,,0.01,0.0,0.005,0.0,0.002,0.644
insects_gradual,rf,fixed_schedule,1,5,13149,13149,0,148,REBUILD,False,1.0,True,nan,0.9666666666666667,,1.0,14800,100,100,148,120985,100,trees,True,5,0,0.033333333333333326,,,,,0.01,0.01,0.01,0.0,0.004,0.348
insects_gradual,rf,fixed_schedule,1,6,13800,13800,0,651,NUDGE,False,1.0,False,nan,0.5,0.5,0.5,2600,5,5,520,123585,100,trees,True,5,1,0.5,0.0,,,,0.01,0.0,0.005,0.0,0.002,0.004
insects_gradual,rf,fixed_schedule,1,7,13961,13961,0,161,NUDGE,False,1.0,True,nan,0.0,0.0,0.0,640,5,5,128,124225,100,trees,True,2,2,1.0,0.0,,,,0.62,0.62,0.62,0.0,0.248,0.004
insects_gradual,rf,fixed_schedule,1,8,23243,23243,0,1000,REBUILD,False,0.16666666666666666,False,nan,0.0,,1.0,100000,100,100,1000,224225,100,trees,False,0,0,0.16666666666666666,,,,,1.0,1.0,1.0,1.0,1.0,0.824
insects_gradual,rf,fixed_schedule,1,9,23301,23343,42,100,NUDGE,False,0.16666666666666666,True,nan,0.25,0.3,0.3,400,5,5,80,224625,100,trees,True,3,1,-0.08333333333333334,0.05,,,,0.74,1.0,0.87,1.0,0.948,0.85
