dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
insects_gradual,xgb,always_rebuild,2,0,3270,3270,0,856,REBUILD,False,0.613492103934929,False,nan,0.526984126984127,,1.0,85600,100,100,856,85600,100,rounds,True,1,0,0.08650797695080203,,,,,0.2,0.08,0.14,0.055,,
insects_gradual,xgb,always_rebuild,2,1,10626,10626,0,1000,REBUILD,False,0.4669938974705709,False,nan,0.39031339031339035,,1.0,100000,100,100,1000,185600,100,rounds,False,0,0,0.07668050715718056,,,,,0.99,0.79,0.89,0.52,0.666,0.518
insects_gradual,xgb,always_rebuild,2,2,11566,11566,0,940,REBUILD,False,0.5651709401709402,False,nan,0.47357404500261646,,1.0,94000,100,100,940,279600,100,rounds,True,3,0,0.0915968951683237,,,,,0.44,0.28,0.36,0.2,0.254,0.338
insects_gradual,xgb,always_rebuild,2,3,11778,11778,0,212,REBUILD,False,0.9431818181818182,False,nan,0.8823529411764706,,1.0,21200,100,100,212,300800,100,rounds,True,3,0,0.06082887700534767,,,,,0.04,0.02,0.03,0.345,0.19,0.218
insects_gradual,xgb,always_rebuild,2,4,11827,11878,51,100,REBUILD,False,0.9431818181818182,True,nan,0.9,,1.0,10000,100,100,100,310800,100,rounds,True,5,0,0.04318181818181821,,,,,0.05,0.0,0.025,0.29,0.18,0.196
insects_gradual,xgb,always_rebuild,2,5,13803,13803,0,1000,REBUILD,False,1.0,False,nan,0.5,,1.0,100000,100,100,1000,410800,100,rounds,True,4,0,0.5,,,,,0.04,0.0,0.02,0.0,0.008,0.0
insects_gradual,xgb,always_rebuild,2,6,13959,13959,0,156,REBUILD,False,1.0,True,nan,0.0,,1.0,15600,100,100,156,426400,100,rounds,True,1,0,1.0,,,,,0.62,0.6,0.61,0.0,0.244,0.0
insects_gradual,xgb,always_rebuild,2,7,14014,14059,45,100,REBUILD,False,1.0,True,nan,0.3333333333333333,,1.0,10000,100,100,100,436400,100,rounds,False,0,0,0.6666666666666667,,,,,0.85,0.62,0.735,0.075,0.324,0.0
insects_gradual,xgb,always_rebuild,2,8,23024,23024,0,1000,REBUILD,False,0.4315648085663992,False,nan,0.2674923946110387,,1.0,100000,100,100,1000,536400,100,rounds,False,0,0,0.16407241395536054,,,,,0.86,0.83,0.845,0.66,0.694,0.502
insects_gradual,xgb,always_rebuild,2,9,23177,23177,0,153,REBUILD,False,0.4315648085663992,True,nan,0.3619047619047619,,1.0,15300,100,100,153,551700,100,rounds,True,3,0,0.06966004666163733,,,,,0.37,0.56,0.465,0.82,0.654,0.482
insects_gradual,xgb,always_rebuild,2,10,23291,23291,0,114,REBUILD,False,0.4315648085663992,True,nan,0.7142857142857143,,1.0,11400,100,100,114,563100,100,rounds,True,3,0,-0.2827209057193151,,,,,0.22,0.41,0.315,0.65,0.55,0.526
