dataset,model,policy,policy_key,seed,n_stream_rows,n_init_train_rows,scorer,n_alarms,n_adaptations,n_skip,n_nudge,n_rebuild,n_degraded,n_alarms_deferred,n_alarms_coalesced,n_alarms_unserved,n_reference_carried,n_nudge_attempts,n_nudge_successes,n_adaptations_with_placeholders,total_placeholder_rows,initial_placeholder_rows,n_adaptations_on_falling_error,work_units_on_falling_error,total_work_units,total_estimators_fitted,total_rows_processed,total_passes,total_wall_clock_s,total_energy_kwh,initial_work_units,final_prequential_accuracy,mean_prequential_accuracy,final_prequential_balanced_accuracy,mean_prequential_balanced_accuracy,model_size_unit,initial_model_size,final_model_size,initial_n_nodes,final_n_nodes,inference_unit,initial_inference_units,final_inference_units,inference_growth,initial_predict_us_per_row,final_predict_us_per_row,run_wall_clock_s,config_json
elec2,xgb,AlwaysRebuild,always_rebuild,0,40781,3624,accuracy,179,165,0,0,165,0,83,14,0,111,0,,0,0,0,0,0,3564600,16500,35646,16500,18.294667900000036,0.0001122793158333335,362400,0.79,0.759078982859665,0.7839107150748661,0.7527977075313736,rounds,100,100,4628,556,node_visits,569.399,256.923,0.45121786304507033,3.79649999990761,3.045199999974102,24.88803299999995,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""detector"": ""ddm"", ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,xgb,MechanismSelector,mechanism_selector,0,40781,3624,accuracy,182,167,2,8,157,132,83,15,0,120,33,8,0,0,0,0,0,2835970,15865,41160,15865,19.173501800000736,0.00013414652083299996,362400,0.574,0.760084353007528,0.594674401693778,0.7562447401908521,rounds,100,100,4628,628,node_visits,569.399,259.585,0.4558929678485561,4.362499999956526,3.1310000000530636,23.027885500000025,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""detector"": ""ddm"", ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,xgb,FixedSchedule(k=3),fixed_schedule,0,40781,3624,accuracy,166,151,0,101,50,0,75,15,0,104,101,,0,0,0,0,0,1304220,5505,29975,5505,8.207574599999361,6.755710361111131e-05,362400,0.851,0.7431156666094505,0.8500166726259586,0.7389144200987029,rounds,100,105,4628,405,node_visits,569.399,223.712,0.39289145221540606,3.9260000000922446,2.3653000000649627,12.204323299999942,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""detector"": ""ddm"", ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,xgb,AlwaysNudge,always_nudge,0,40781,3624,accuracy,126,123,0,123,0,0,41,3,0,69,123,,0,0,0,0,0,133245,615,26649,615,5.9191846000002215,7.251886194511114e-05,362400,0.724,0.7627081238812192,0.7104627758516096,0.7489576857596327,rounds,100,715,4628,8867,node_visits,569.399,2053.173,3.605859862767584,4.939000000035776,15.481499999964399,12.41835309999999,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""detector"": ""ddm"", ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,xgb,NeverAdapt,never_adapt,0,40781,3624,accuracy,128,117,117,0,0,0,37,11,0,63,0,,0,0,0,0,0,0,0,0,0,0.0,6.56144083366698e-06,362400,0.712,0.7068978200632647,0.6954935699908803,0.6694052678219897,rounds,100,100,4628,4628,node_visits,569.399,569.399,1.0,3.8595000000896107,3.625499999998283,3.2767047000000957,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""detector"": ""ddm"", ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,rf,AlwaysRebuild,always_rebuild,0,40781,3624,accuracy,172,161,0,0,161,0,84,11,0,115,0,,0,0,0,0,0,3211200,16100,32112,16100,26.65766460000077,0.00018047399583333374,362400,0.868,0.7808293077658713,0.8676876473920396,0.7727722199639535,trees,100,100,66150,3844,node_visits,795.968,513.084,0.6446038031679665,21.524900000031266,11.284300000170333,34.84880459999988,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""detector"": ""ddm"", ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,rf,MechanismSelector,mechanism_selector,0,40781,3624,accuracy,163,152,3,0,149,119,79,11,0,107,30,0,0,0,0,0,0,2963265,15050,40779,15050,24.792129599999953,0.0001635464283329997,362400,0.858,0.7799220225104828,0.8502195563876245,0.7716610964888622,trees,100,100,66150,2660,node_visits,795.968,486.444,0.6111351210098899,13.942300000053365,10.579699999880177,32.97863839999991,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""detector"": ""ddm"", ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,rf,FixedSchedule(k=3),fixed_schedule,0,40781,3624,accuracy,134,126,0,84,42,0,61,8,0,85,84,,0,0,0,0,0,1147265,4620,25051,4620,7.213039200001731,5.898940583333326e-05,362400,0.735,0.7369608396066796,0.7225052327940509,0.730627838577446,trees,100,100,66150,1882,node_visits,795.968,417.144,0.5240713194500282,12.428300000010495,9.922799999912968,14.034079900000052,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""detector"": ""ddm"", ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,rf,AlwaysNudge,always_nudge,0,40781,3624,accuracy,117,113,0,113,0,0,28,4,0,55,113,,0,0,0,0,0,144160,565,28832,565,1.049776500000462,2.937489138888881e-05,362400,0.792,0.7606483411392561,0.7831353375302819,0.7500882223213305,trees,100,100,66150,3750,node_visits,795.968,455.854,0.5727039277960924,12.640800000099262,11.883299999908559,7.682849000000033,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""detector"": ""ddm"", ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,rf,NeverAdapt,never_adapt,0,40781,3624,accuracy,169,155,155,0,0,0,64,14,0,95,0,,0,0,0,0,0,0,0,0,0,0.0,2.2661867222556396e-05,362400,0.715,0.7114832887864446,0.6963191662883521,0.6704092680526967,trees,100,100,66150,66150,node_visits,795.968,795.968,1.0,12.278100000003178,14.248800000132178,6.2956627999999455,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""detector"": ""ddm"", ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
