dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction
covtype,gnb,fixed_schedule,0,0,10607,10607,0,608,NUDGE,False,0.5615240425974953,False,nan,0.45848789966437026,0.4783607136548313,0.4783607136548313,486,1,0,486,486,763,params,False,0,1,0.10303614293312507,0.22950819672131148,0.385502471169687,0.41346153846153844,error_up
covtype,gnb,fixed_schedule,0,1,11215,11215,0,608,NUDGE,False,0.522288089579606,False,nan,0.5942528735632184,0.5942528735632184,0.5942528735632184,486,1,0,486,972,763,params,False,0,2,-0.07196478398361239,0.0,0.49093904448105435,0.41346153846153844,error_down
covtype,gnb,fixed_schedule,0,2,11823,11823,0,608,REBUILD,False,0.5150384322009037,False,nan,0.5565656565656566,,0.6694444444444444,608,1,0,608,1580,763,params,True,2,0,-0.04152722436475287,,0.5238879736408567,0.41875,error_down
covtype,gnb,fixed_schedule,0,3,12463,12463,0,640,NUDGE,False,0.4703892083149048,False,nan,0.2891156462585034,0.45238095238095244,0.45238095238095244,512,1,0,512,2092,763,params,False,0,1,0.18127356205640144,0.5859375,0.6103286384976526,0.666015625,error_up
covtype,gnb,fixed_schedule,0,4,13391,13391,0,928,NUDGE,False,0.5265826873385012,False,nan,0.4453012078557882,0.41688194265047784,0.41688194265047784,742,1,0,742,2834,763,params,False,0,2,0.08128147948271303,0.7580645161290323,0.5652642934196332,0.5333333333333333,error_down
covtype,gnb,fixed_schedule,0,5,14159,14159,0,768,REBUILD,False,0.20052910052910053,False,nan,0.471015585721468,,0.600891265597148,768,1,0,768,3602,763,params,False,0,0,-0.2704864851923675,,0.7288135593220338,0.666015625,error_down
covtype,gnb,fixed_schedule,0,6,15215,15215,0,1000,NUDGE,False,0.4987537043803028,False,nan,0.5859478568272205,0.6262704374723818,0.6262704374723818,800,1,0,800,4402,763,params,False,0,1,-0.0871941524469177,0.1,0.418957345971564,0.4495192307692308,error_up
covtype,gnb,fixed_schedule,0,7,16655,16655,0,1000,NUDGE,False,0.5,False,nan,0.34467120181405897,0.5452097505668935,0.5452097505668935,800,1,0,800,5202,763,params,False,0,2,0.15532879818594103,0.96,0.8325225851285615,0.6770833333333334,error_down
covtype,gnb,fixed_schedule,0,8,16783,16783,0,128,REBUILD,False,0.5,True,nan,0.5,,0.5,128,1,0,128,5330,763,params,True,4,0,0.0,,0.29133858267716534,0.25,error_down
covtype,gnb,fixed_schedule,0,9,16943,16943,0,160,NUDGE,False,0.5,True,nan,1.0,1.0,1.0,128,1,0,128,5458,763,params,False,0,1,-0.5,0.0,0.3584905660377358,0.23958333333333334,error_down
