dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction
covtype,rf,always_rebuild,3,0,11087,11087,0,1000,REBUILD,False,0.5753562534246632,False,nan,0.6908703798330779,,1.0,100000,100,100,1000,100000,100,trees,True,1,0,-0.11551412640841463,,0.39466421343146274,0.3392857142857143,error_down
covtype,rf,always_rebuild,3,1,11375,11375,0,288,REBUILD,False,0.7631868131868131,False,nan,0.5,,1.0,28800,100,100,288,128800,100,trees,True,2,0,0.26318681318681314,,0.30662020905923343,0.36160714285714285,error_up
covtype,rf,always_rebuild,3,2,11951,11951,0,576,REBUILD,False,0.4315869758756216,False,nan,0.5302403689500463,,1.0,57600,100,100,576,186400,100,trees,True,1,0,-0.09865339307442472,,0.5356521739130434,0.5758928571428571,error_up
covtype,rf,always_rebuild,3,3,12431,12431,0,480,REBUILD,False,0.3324489795918368,False,nan,0.11904761904761904,,1.0,48000,100,100,480,234400,100,trees,False,0,0,0.21340136054421774,,0.8350730688935282,0.8581730769230769,error_up
covtype,rf,always_rebuild,3,4,13199,13199,0,768,REBUILD,False,0.6312245182870021,False,nan,0.49002485609628466,,1.0,76800,100,100,768,311200,100,trees,False,0,0,0.14119966219071745,,0.34028683181225555,0.3609375,error_up
covtype,rf,always_rebuild,3,5,13839,13839,0,640,REBUILD,False,0.624545492137805,False,nan,0.2639520202020202,,1.0,64000,100,100,640,375200,100,trees,False,0,0,0.3605934719357848,,0.5195618153364632,0.556640625,error_up
covtype,rf,always_rebuild,3,6,14543,14543,0,704,REBUILD,False,0.45119047619047614,False,nan,0.5943401768144035,,1.0,70400,100,100,704,445600,100,trees,True,1,0,-0.1431497006239274,,0.45803698435277385,0.4357638888888889,error_down
covtype,rf,always_rebuild,3,7,15215,15215,0,672,REBUILD,False,0.4653654485049834,False,nan,0.5384615384615384,,1.0,67200,100,100,672,512800,100,trees,True,1,0,-0.07309608995655503,,0.3859910581222057,0.45738636363636365,error_up
covtype,rf,always_rebuild,3,8,15887,15887,0,672,REBUILD,False,0.8787878787878788,False,nan,0.34347826086956523,,1.0,67200,100,100,672,580000,100,trees,True,4,0,0.5353096179183136,,0.15052160953800298,0.18198529411764705,error_up
covtype,rf,always_rebuild,3,9,16527,16527,0,640,REBUILD,False,0.6841269841269842,False,nan,0.3553113553113553,,1.0,64000,100,100,640,644000,100,trees,True,4,0,0.3288156288156289,,0.19405320813771518,0.216796875,error_up
covtype,rf,always_rebuild,3,10,16655,16655,0,128,REBUILD,False,0.6841269841269842,True,nan,0.5,,1.0,12800,100,100,128,656800,100,trees,True,4,0,0.18412698412698425,,0.16535433070866143,0.19642857142857142,error_up
covtype,rf,always_rebuild,3,11,17231,17231,0,576,REBUILD,False,0.6785714285714285,False,nan,0.4279835390946502,,1.0,57600,100,100,576,714400,100,trees,True,4,0,0.2505878894767783,,0.15478260869565216,0.225,error_up
covtype,rf,always_rebuild,3,12,18095,18095,0,864,REBUILD,False,0.7850529100529101,False,nan,0.5,,1.0,86400,100,100,864,800800,100,trees,True,4,0,0.2850529100529101,,0.11239860950173812,0.40625,error_up
covtype,rf,always_rebuild,3,13,18991,18991,0,896,REBUILD,False,0.9282051282051281,False,nan,0.8986495014514704,,1.0,89600,100,100,896,890400,100,trees,True,4,0,0.02955562675365775,,0.05139664804469274,0.061197916666666664,error_up
covtype,rf,always_rebuild,3,14,19567,19567,0,576,REBUILD,False,0.99812734082397,False,nan,0.6666666666666666,,1.0,57600,100,100,576,948000,100,trees,True,4,0,0.3314606741573034,,0.06956521739130435,0.08928571428571429,error_up
covtype,rf,always_rebuild,3,15,20015,20015,0,448,REBUILD,False,0.9585400425230333,False,nan,0.4785714285714286,,1.0,44800,100,100,448,992800,100,trees,True,5,0,0.4799686139516047,,0.10738255033557047,0.359375,error_up
covtype,rf,always_rebuild,3,16,22671,22671,0,1000,REBUILD,False,0.9732459248759745,False,nan,0.5246212121212122,,1.0,100000,100,100,1000,1092800,100,trees,True,5,0,0.44862471275476234,,0.07495291902071563,0.14488636363636365,error_up
covtype,rf,always_rebuild,3,17,23471,23471,0,800,REBUILD,False,0.9584859584859584,False,nan,0.6640265712825754,,1.0,80000,100,100,800,1172800,100,trees,True,5,0,0.29445938720338305,,0.11013767209011265,0.18181818181818182,error_up
covtype,rf,always_rebuild,3,18,24303,24303,0,832,REBUILD,False,0.9545454545454546,False,nan,0.8651305683563748,,1.0,83200,100,100,832,1256000,100,trees,True,5,0,0.08941488618907978,,0.05174488567990373,0.061079545454545456,error_up
covtype,rf,always_rebuild,3,19,25167,25167,0,864,REBUILD,False,1.0,False,nan,0.8955834242093784,,1.0,86400,100,100,864,1342400,100,trees,True,5,0,0.10441657579062158,,0.047508690614136734,0.05570652173913043,error_up
covtype,rf,always_rebuild,3,20,25551,25551,0,384,REBUILD,False,0.9888888888888889,False,nan,0.9084507042253521,,1.0,38400,100,100,384,1380800,100,trees,True,5,0,0.0804381846635368,,0.05221932114882506,0.065625,error_up
covtype,rf,always_rebuild,3,21,26767,26767,0,1000,REBUILD,False,0.9562937062937062,False,nan,0.8077877457530063,,1.0,100000,100,100,1000,1480800,100,trees,True,5,0,0.14850596054069998,,0.05185185185185185,0.06818181818181818,error_up
covtype,rf,always_rebuild,3,22,27471,27471,0,704,REBUILD,False,0.9186046511627908,False,nan,0.7620945574491479,,1.0,70400,100,100,704,1551200,100,trees,True,5,0,0.15651009371364288,,0.06970128022759602,0.14375,error_up
covtype,rf,always_rebuild,3,23,28559,28559,0,1000,REBUILD,False,0.8214285714285714,False,nan,0.8992042440318302,,1.0,100000,100,100,1000,1651200,100,trees,True,5,0,-0.0777756726032588,,0.09935602575896964,0.13169642857142858,error_up
covtype,rf,always_rebuild,3,24,30191,30191,0,1000,REBUILD,False,0.9139254385964912,False,nan,0.6854849322279247,,1.0,100000,100,100,1000,1751200,100,trees,True,5,0,0.2284405063685665,,0.08522378908645004,0.09302325581395349,error_up
covtype,rf,always_rebuild,3,25,31311,31311,0,1000,REBUILD,False,0.9516129032258065,False,nan,0.7848564253739492,,1.0,100000,100,100,1000,1851200,100,trees,True,5,0,0.16675647785185732,,0.06881143878462913,0.07560483870967742,error_up
covtype,rf,always_rebuild,3,26,32431,32431,0,1000,REBUILD,False,1.0,False,nan,0.825,,1.0,100000,100,100,1000,1951200,100,trees,True,5,0,0.17500000000000004,,0.07238605898123325,0.2109375,error_up
covtype,rf,always_rebuild,3,27,32847,32847,0,416,REBUILD,False,0.9615384615384616,False,nan,0.7543859649122806,,1.0,41600,100,100,416,1992800,100,trees,True,5,0,0.20715249662618096,,0.05542168674698795,0.0763888888888889,error_up
covtype,rf,always_rebuild,3,28,33263,33263,0,416,REBUILD,False,0.9726111520510932,False,nan,0.7437633642195296,,1.0,41600,100,100,416,2034400,100,trees,True,5,0,0.22884778783156356,,0.07951807228915662,0.10416666666666667,error_up
covtype,rf,always_rebuild,3,29,33903,33903,0,640,REBUILD,False,1.0,False,nan,0.8735042735042735,,1.0,64000,100,100,640,2098400,100,trees,True,5,0,0.1264957264957265,,0.03912363067292645,0.07142857142857142,error_up
covtype,rf,always_rebuild,3,30,34671,34671,0,768,REBUILD,False,0.9143652322843074,False,nan,0.5601851851851852,,1.0,76800,100,100,768,2175200,100,trees,True,4,0,0.3541800470991222,,0.0847457627118644,0.22321428571428573,error_up
covtype,rf,always_rebuild,3,31,36783,36783,0,1000,REBUILD,False,0.7969696969696969,False,nan,0.810529634300126,,1.0,100000,100,100,1000,2275200,100,trees,True,4,0,-0.01355993733042915,,0.07153008053055424,0.07327586206896551,error_up
covtype,rf,always_rebuild,3,32,41455,41455,0,1000,REBUILD,False,0.9957805907172995,False,nan,0.7813186813186813,,1.0,100000,100,100,1000,2375200,100,trees,True,5,0,0.2144619093986182,,0.0599443374009848,0.0818452380952381,error_up
covtype,rf,always_rebuild,3,33,42991,42991,0,1000,REBUILD,False,1.0,False,nan,0.8729425933360097,,1.0,100000,100,100,1000,2475200,100,trees,True,5,0,0.12705740666399035,,0.035830618892508145,0.10714285714285714,error_up
covtype,rf,always_rebuild,3,34,44527,44527,0,1000,REBUILD,False,1.0,False,nan,0.8422580322290061,,1.0,100000,100,100,1000,2575200,100,trees,True,5,0,0.15774196777099392,,0.04820846905537459,0.2708333333333333,error_up
covtype,rf,always_rebuild,3,35,45327,45327,0,800,REBUILD,False,0.9939393939393939,False,nan,0.904094613396939,,1.0,80000,100,100,800,2655200,100,trees,True,5,0,0.08984478054245493,,0.04630788485607009,0.06433823529411764,error_up
covtype,rf,always_rebuild,3,36,46127,46127,0,800,REBUILD,False,1.0,False,nan,0.9337068160597572,,1.0,80000,100,100,800,2735200,100,trees,True,5,0,0.06629318394024275,,0.03128911138923655,0.04595588235294118,error_up
covtype,rf,always_rebuild,3,37,48367,48367,0,1000,REBUILD,False,1.0,False,nan,0.9387755102040816,,1.0,100000,100,100,1000,2835200,100,trees,True,5,0,0.061224489795918435,,0.02188476998660116,0.046875,error_up
covtype,rf,always_rebuild,3,38,50895,50895,0,1000,REBUILD,False,0.5,False,nan,0.875,,1.0,100000,100,100,1000,2935200,100,trees,True,5,0,-0.375,,0.024139295607439652,0.05330882352941176,error_up
covtype,rf,always_rebuild,3,39,52975,52975,0,1000,REBUILD,False,0.8333333333333333,False,nan,0.8698630136986301,,1.0,100000,100,100,1000,3035200,100,trees,True,5,0,-0.0365296803652968,,0.026936026936026935,0.0661764705882353,error_up
covtype,rf,always_rebuild,3,40,54767,54767,0,1000,REBUILD,False,0.6127108185931716,False,nan,0.8723404255319149,,1.0,100000,100,100,1000,3135200,100,trees,True,5,0,-0.2596296069387434,,0.051926298157453935,0.15,error_up
covtype,rf,always_rebuild,3,41,56495,56495,0,1000,REBUILD,False,1.0,False,nan,0.7567767738112872,,1.0,100000,100,100,1000,3235200,100,trees,True,5,0,0.24322322618871284,,0.04921829762594094,0.057744565217391304,error_up
covtype,rf,always_rebuild,3,42,57711,57711,0,1000,REBUILD,False,0.9849484948494849,False,nan,0.8132083941196274,,1.0,100000,100,100,1000,3335200,100,trees,True,5,0,0.17174010072985746,,0.07242798353909465,0.08088235294117647,error_up
covtype,rf,always_rebuild,3,43,59535,59535,0,1000,REBUILD,False,0.9605645080572516,False,nan,0.7994652406417113,,1.0,100000,100,100,1000,3435200,100,trees,True,5,0,0.16109926741554026,,0.08283049917718047,0.0899234693877551,error_up
covtype,rf,always_rebuild,3,44,60399,60399,0,864,REBUILD,False,0.9907407407407407,False,nan,0.7677956371986223,,1.0,86400,100,100,864,3521600,100,trees,True,5,0,0.22294510354211838,,0.06836616454229433,0.08152173913043478,error_up
covtype,rf,always_rebuild,3,45,61423,61423,0,1000,REBUILD,False,0.9789293275531807,False,nan,0.8438679754071836,,1.0,100000,100,100,1000,3621600,100,trees,True,5,0,0.13506135214599713,,0.06158357771260997,0.3,error_up
covtype,rf,always_rebuild,3,46,62319,62319,0,896,REBUILD,False,0.8745519713261649,False,nan,0.7796709753231492,,1.0,89600,100,100,896,3711200,100,trees,True,5,0,0.0948809960030157,,0.1106145251396648,0.18359375,error_up
covtype,rf,always_rebuild,3,47,62927,62927,0,608,REBUILD,False,0.8905826558265583,False,nan,0.7826923076923077,,1.0,60800,100,100,608,3772000,100,trees,True,5,0,0.10789034813425058,,0.11037891268533773,0.1534090909090909,error_up
covtype,rf,always_rebuild,3,48,63503,63503,0,576,REBUILD,False,0.9262974631072791,False,nan,0.7910714285714285,,1.0,57600,100,100,576,3829600,100,trees,True,5,0,0.13522603453585058,,0.10434782608695652,0.13802083333333334,error_up
covtype,rf,always_rebuild,3,49,65039,65039,0,1000,REBUILD,False,0.9124220374220374,False,nan,0.7258454106280193,,1.0,100000,100,100,1000,3929600,100,trees,True,5,0,0.1865766267940181,,0.1543973941368078,0.17265625,error_up
covtype,rf,always_rebuild,3,50,65199,65199,0,160,REBUILD,False,0.9124220374220374,True,nan,0.5892857142857143,,1.0,16000,100,100,160,3945600,100,trees,True,5,0,0.3231363231363231,,0.14465408805031446,0.359375,error_up
covtype,rf,always_rebuild,3,51,65295,65299,4,100,REBUILD,False,0.9124220374220374,True,nan,1.0,,1.0,10000,100,100,100,3955600,100,trees,True,5,0,-0.08757796257796258,,0.7157894736842105,0.5178571428571429,error_down
covtype,rf,always_rebuild,3,52,65423,65423,0,124,REBUILD,False,0.9124220374220374,True,nan,0.16,,1.0,12400,100,100,124,3968000,100,trees,True,5,0,0.7524220374220374,,0.31496062992125984,0.3645833333333333,error_up
covtype,rf,always_rebuild,3,53,65487,65523,36,100,REBUILD,False,0.9124220374220374,True,nan,0.0,,1.0,10000,100,100,100,3978000,100,trees,True,5,0,0.9124220374220374,,0.42857142857142855,0.5,error_up
covtype,rf,always_rebuild,3,54,65743,65743,0,220,REBUILD,False,0.6538461538461539,False,nan,0.9772727272727273,,1.0,22000,100,100,220,4000000,100,trees,True,5,0,-0.32342657342657344,,0.47058823529411764,0.39285714285714285,error_down
covtype,rf,always_rebuild,3,55,65839,65843,4,100,REBUILD,False,0.6538461538461539,True,nan,1.0,,1.0,10000,100,100,100,4010000,100,trees,True,5,0,-0.34615384615384615,,0.6105263157894737,0.5,error_down
covtype,rf,always_rebuild,3,56,66031,66031,0,188,REBUILD,False,0.6538461538461539,True,nan,0.0,,1.0,18800,100,100,188,4028800,100,trees,True,5,0,0.6538461538461539,,0.8324607329842932,0.93125,error_up
covtype,rf,always_rebuild,3,57,66191,66191,0,160,REBUILD,False,0.6538461538461539,True,nan,1.0,,1.0,16000,100,100,160,4044800,100,trees,True,5,0,-0.34615384615384615,,0.3018867924528302,0.23214285714285715,error_down
covtype,rf,always_rebuild,3,58,66511,66511,0,320,REBUILD,False,0.6823175053153792,False,nan,1.0,,1.0,32000,100,100,320,4076800,100,trees,True,5,0,-0.31768249468462084,,0.18181818181818182,0.08854166666666667,error_down
covtype,rf,always_rebuild,3,59,67727,67727,0,1000,REBUILD,False,0.8463901689708142,False,nan,0.8519021739130435,,1.0,100000,100,100,1000,4176800,100,trees,True,5,0,-0.005512004942229254,,0.056790123456790124,0.09375,error_up
covtype,rf,always_rebuild,3,60,70479,70479,0,1000,REBUILD,False,0.9833333333333334,False,nan,0.8433159722222222,,1.0,100000,100,100,1000,4276800,100,trees,True,5,0,0.14001736111111118,,0.04289349327517267,0.0642361111111111,error_up
covtype,rf,always_rebuild,3,61,70767,70767,0,288,REBUILD,False,1.0,False,nan,0.5789473684210527,,1.0,28800,100,100,288,4305600,100,trees,True,5,0,0.42105263157894735,,0.13588850174216027,0.3046875,error_up
covtype,rf,always_rebuild,3,62,71727,71727,0,960,REBUILD,False,0.96524064171123,False,nan,0.543859649122807,,1.0,96000,100,100,960,4401600,100,trees,True,4,0,0.421380992588423,,0.11470281543274244,0.1328125,error_up
