dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction
covtype,sgd,fixed_schedule,3,0,10735,10735,0,736,NUDGE,False,0.17589336459221372,False,nan,0.17647058823529413,0.03496115427302996,0.03496115427302996,588,1,0,588,588,385,params,False,0,1,-0.0005772236430804101,0.75,0.5510204081632653,0.625,error_up
covtype,sgd,fixed_schedule,3,1,11279,11279,0,544,NUDGE,False,0.0693069306930693,False,nan,0.23333333333333334,0.6,0.6,435,1,0,435,1023,385,params,False,0,2,-0.16402640264026402,0.963302752293578,0.861878453038674,0.8229166666666666,error_down
covtype,sgd,fixed_schedule,3,2,11599,11599,0,320,REBUILD,False,0.524155722326454,False,nan,0.06818181818181819,,0.030303030303030304,320000,1000,0,320,321023,385,params,True,2,0,0.45597390414463584,,0.5360501567398119,0.61328125,error_up
covtype,sgd,fixed_schedule,3,3,11919,11919,0,320,NUDGE,False,0.0,False,nan,0.2976190476190476,0.4621212121212121,0.4621212121212121,256,1,0,256,321279,385,params,False,0,1,-0.2976190476190476,0.8125,0.9467084639498433,0.9196428571428571,error_down
covtype,sgd,fixed_schedule,3,4,12687,12687,0,768,NUDGE,False,0.18391830870279144,False,nan,0.03333333333333333,0.11323529411764706,0.11323529411764706,614,1,0,614,321893,385,params,False,0,2,0.1505849753694581,0.45454545454545453,0.8318122555410691,0.853125,error_up
covtype,sgd,fixed_schedule,3,5,13743,13743,0,1000,REBUILD,False,0.10739398819108963,False,nan,0.23198646452503394,,0.29284193028933564,130000,130,0,1000,451893,385,params,False,0,0,-0.12459247633394431,,0.8606635071090047,0.84375,error_down
covtype,sgd,fixed_schedule,3,6,14287,14287,0,544,NUDGE,False,0.19733538685744567,False,nan,0.06666666666666667,0.43037037037037035,0.43037037037037035,435,1,0,435,452328,385,params,False,0,1,0.13066872019077902,0.7247706422018348,0.7955801104972375,0.8323863636363636,error_up
covtype,sgd,fixed_schedule,3,7,15055,15055,0,768,NUDGE,False,0.1891891891891892,False,nan,0.13857677902621723,0.0952281869884866,0.0952281869884866,614,1,0,614,452942,385,params,False,0,2,0.050612410162971966,0.564935064935065,0.6597131681877445,0.6765625,error_up
covtype,sgd,fixed_schedule,3,8,18159,18159,0,1000,REBUILD,False,0.09496124031007752,False,nan,0.0,,0.5897397397397398,1000000,1000,0,1000,1452942,385,params,True,4,0,0.09496124031007752,,0.986786980341605,0.9947115384615385,error_up
covtype,sgd,fixed_schedule,3,9,18575,18575,0,416,NUDGE,False,0.578544061302682,False,nan,0.42490372272143767,0.3641420624732563,0.3641420624732563,332,1,0,332,1453274,385,params,False,0,1,0.15364033858124432,0.15476190476190477,0.18072289156626506,0.2361111111111111,error_up
