dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction
covtype,sgd,mechanism_selector,4,0,10639,10639,0,640,SKIP,False,0.2884538459559243,False,0.2684538459559243,0.4135400516795865,,0.4135400516795865,0,0,0,0,0,385,params,False,0,0,-0.1250862057236622,,0.5164319248826291,0.6796875,error_up
covtype,sgd,mechanism_selector,4,1,11343,11343,0,704,SKIP,False,0.2575,False,0.23750000000000002,0.3051600573339704,,0.3051600573339704,0,0,0,0,0,385,params,False,0,0,-0.047660057333970385,,0.8705547652916074,0.73125,error_down
covtype,sgd,mechanism_selector,4,2,11631,11631,0,288,NUDGE,False,0.37302223749697677,False,0.35302223749697675,0.34108527131782945,0.5554561717352415,0.5554561717352415,230,1,0,230,230,385,params,False,0,1,0.03193696617914732,0.8793103448275862,0.6341463414634146,0.703125,error_up
covtype,sgd,mechanism_selector,4,3,12079,12079,0,448,REBUILD,False,0.6112036439035997,False,0.5912036439035997,0.3392857142857143,0.3249084249084249,0.46092796092796096,23654,53,0,806,23884,385,params,False,0,0,0.2719179296178854,0.3888888888888889,0.4697986577181208,0.51953125,error_up
covtype,sgd,mechanism_selector,4,4,13551,13551,0,1000,SKIP,False,0.11955971659919028,False,0.09955971659919027,0.20675213675213674,,0.20675213675213674,0,0,0,0,23884,385,params,False,0,0,-0.08719242015294647,,0.8246091094493542,0.7734375,error_down
covtype,sgd,mechanism_selector,4,5,14319,14319,0,768,SKIP,False,0.1925479998396665,False,0.1725479998396665,0.24710561455293303,,0.24710561455293303,0,0,0,0,23884,385,params,False,0,0,-0.05455761471326653,,0.788787483702738,0.70703125,error_down
covtype,sgd,mechanism_selector,4,6,14575,14575,0,256,NUDGE,False,0.33794708994708994,False,0.3179470899470899,0.11988304093567252,0.47926634768740034,0.47926634768740034,204,1,0,204,24088,385,params,False,0,1,0.2180640490114174,0.9615384615384616,0.5647058823529412,0.625,error_up
covtype,sgd,mechanism_selector,4,7,15087,15087,0,512,SKIP,False,0.27966077936641437,False,0.25966077936641435,0.3333333333333333,,0.3333333333333333,0,0,0,0,24088,385,params,False,0,1,-0.053672553966918946,,0.8395303326810176,0.884375,error_up
covtype,sgd,mechanism_selector,4,8,32655,32655,0,1000,SKIP,False,0.0,False,-0.02,0.02,,0.02,0,0,0,0,24088,385,params,False,0,1,-0.02,,0.999316901007571,0.9983624454148472,error_down
covtype,sgd,mechanism_selector,4,9,33423,33423,0,768,SKIP,False,0.0,False,-0.02,0.07792207792207792,,0.07792207792207792,0,0,0,0,24088,385,params,False,0,1,-0.07792207792207792,,0.9739243807040417,0.958984375,error_down
covtype,sgd,mechanism_selector,4,10,33839,33839,0,416,SKIP,False,0.0,False,-0.02,0.11403508771929824,,0.11403508771929824,0,0,0,0,24088,385,params,False,0,1,-0.11403508771929824,,0.9686746987951808,0.9630681818181818,error_down
covtype,sgd,mechanism_selector,4,11,34223,34223,0,384,SKIP,False,0.0,False,-0.02,0.13157894736842105,,0.13157894736842105,0,0,0,0,24088,385,params,False,0,1,-0.13157894736842105,,0.9608355091383812,0.9330357142857143,error_down
covtype,sgd,mechanism_selector,4,12,34607,34607,0,384,SKIP,False,0.0,False,-0.02,0.0903954802259887,,0.0903954802259887,0,0,0,0,24088,385,params,False,0,1,-0.0903954802259887,,0.95822454308094,0.9166666666666666,error_down
covtype,sgd,mechanism_selector,4,13,34991,34991,0,384,SKIP,False,0.0,False,-0.02,0.08585858585858586,,0.08585858585858586,0,0,0,0,24088,385,params,False,0,1,-0.08585858585858586,,0.9556135770234987,0.8671875,error_down
covtype,sgd,mechanism_selector,4,14,35375,35375,0,384,SKIP,False,0.0,False,-0.02,0.1050228310502283,,0.1050228310502283,0,0,0,0,24088,385,params,False,0,1,-0.1050228310502283,,0.9399477806788512,0.640625,error_down
covtype,sgd,mechanism_selector,4,15,35759,35759,0,384,SKIP,False,0.0,False,-0.02,0.2597402597402597,,0.2597402597402597,0,0,0,0,24088,385,params,False,0,1,-0.2597402597402597,,0.9503916449086162,0.6875,error_down
covtype,sgd,mechanism_selector,4,16,36175,36175,0,416,SKIP,False,0.013888888888888888,False,-0.006111111111111112,0.12169312169312169,,0.12169312169312169,0,0,0,0,24088,385,params,False,0,1,-0.10780423280423279,,0.9349397590361446,0.8203125,error_down
covtype,sgd,mechanism_selector,4,17,36559,36559,0,384,SKIP,False,0.0,False,-0.02,0.12121212121212122,,0.12121212121212122,0,0,0,0,24088,385,params,False,0,1,-0.12121212121212122,,0.9373368146214099,0.75,error_down
covtype,sgd,mechanism_selector,4,18,36943,36943,0,384,SKIP,False,0.0,False,-0.02,0.17333333333333334,,0.17333333333333334,0,0,0,0,24088,385,params,False,0,1,-0.17333333333333334,,0.9321148825065274,0.59375,error_down
covtype,sgd,mechanism_selector,4,19,37327,37327,0,384,SKIP,False,0.0,False,-0.02,0.24675324675324675,,0.24675324675324675,0,0,0,0,24088,385,params,False,0,1,-0.24675324675324675,,0.9530026109660574,0.703125,error_down
covtype,sgd,mechanism_selector,4,20,37711,37711,0,384,SKIP,False,0.03763440860215054,False,0.01763440860215054,0.16883116883116883,,0.16883116883116883,0,0,0,0,24088,385,params,False,0,1,-0.1311967602290183,,0.9503916449086162,0.9322916666666666,error_down
covtype,sgd,mechanism_selector,4,21,37967,37967,0,256,NUDGE,False,0.07692307692307693,False,0.05692307692307692,0.0,1.0,1.0,204,1,0,204,24292,385,params,False,0,2,0.07692307692307693,1.0,0.9450980392156862,1.0,error_up
covtype,sgd,mechanism_selector,4,22,40559,40559,0,1000,NUDGE,False,1.0,False,0.98,0.9362745098039216,0.9948979591836735,0.9948979591836735,800,1,0,800,25092,385,params,False,0,3,0.06372549019607843,0.07,0.027016595908915475,0.035823170731707314,error_up
covtype,sgd,mechanism_selector,4,23,41455,41455,0,896,REBUILD,False,1.0,False,0.98,0.85,0.7769230769230768,0.72,896716,1001,0,1612,921808,385,params,True,5,0,0.15000000000000002,0.10555555555555556,0.024581005586592177,0.06696428571428571,error_up
covtype,sgd,mechanism_selector,4,24,42095,42095,0,640,REBUILD,False,0.9310344827586207,False,0.9110344827586206,0.8798076923076923,0.7211538461538461,0.875,640512,1001,0,1152,1562320,385,params,True,5,0,0.05122679045092837,0.25,0.09546165884194054,0.119140625,error_up
covtype,sgd,mechanism_selector,4,25,42383,42383,0,288,SKIP,False,0.45135135135135135,False,0.43135135135135133,1.0,,1.0,0,0,0,0,1562320,385,params,False,0,0,-0.5486486486486486,,0.11498257839721254,0.09375,error_down
covtype,sgd,mechanism_selector,4,26,42831,42831,0,448,SKIP,False,0.8562424969987995,False,0.8362424969987995,1.0,,1.0,0,0,0,0,1562320,385,params,False,0,0,-0.1437575030012005,,0.08277404921700224,0.0,error_down
covtype,sgd,mechanism_selector,4,27,43151,43151,0,320,SKIP,False,0.7253932014205986,False,0.7053932014205986,1.0,,1.0,0,0,0,0,1562320,385,params,False,0,0,-0.2746067985794014,,0.12852664576802508,0.0,error_down
covtype,sgd,mechanism_selector,4,28,43599,43599,0,448,SKIP,False,0.8616762830245976,False,0.8416762830245976,1.0,,1.0,0,0,0,0,1562320,385,params,False,0,0,-0.13832371697540236,,0.08501118568232663,0.0,error_down
covtype,sgd,mechanism_selector,4,29,43887,43887,0,288,SKIP,False,0.699860966284324,False,0.679860966284324,1.0,,1.0,0,0,0,0,1562320,385,params,False,0,0,-0.30013903371567596,,0.16376306620209058,0.0,error_down
covtype,sgd,mechanism_selector,4,30,44143,44143,0,256,REBUILD,False,0.9117647058823529,False,0.8917647058823529,0.5,0.5,0.46130952380952384,256204,1001,0,460,1818524,385,params,True,5,0,0.4117647058823529,0.0,0.1803921568627451,0.2875,error_up
covtype,sgd,mechanism_selector,4,31,44431,44431,0,288,REBUILD,False,0.9720496894409938,False,0.9520496894409938,0.484375,0.4254807692307692,1.0,288230,1001,0,518,2106754,385,params,True,5,0,0.4876746894409938,0.25862068965517243,0.12195121951219512,0.421875,error_up
covtype,sgd,mechanism_selector,4,32,44719,44719,0,288,SKIP,False,0.5,False,0.48,1.0,,1.0,0,0,0,0,2106754,385,params,False,0,0,-0.5,,0.08710801393728224,0.0,error_down
covtype,sgd,mechanism_selector,4,33,44911,44911,0,192,REBUILD,True,0.5,True,0.48,0.5,,0.6666666666666666,192000,1000,0,192,2298754,385,params,True,5,0,0.0,,0.11518324607329843,0.21875,error_up
covtype,sgd,mechanism_selector,4,34,45103,45103,0,192,REBUILD,True,0.5,True,0.48,0.5,,1.0,192000,1000,0,192,2490754,385,params,True,5,0,0.0,,0.9267015706806283,0.890625,error_down
covtype,sgd,mechanism_selector,4,35,45231,45231,0,128,REBUILD,True,0.5,True,0.48,0.0,,1.0,128000,1000,0,128,2618754,385,params,True,5,0,0.5,,0.2992125984251969,0.609375,error_up
covtype,sgd,mechanism_selector,4,36,46991,46991,0,1000,SKIP,False,0.5,False,0.48,1.0,,1.0,0,0,0,0,2618754,385,params,False,0,0,-0.5,,0.033541785105173395,0.02726063829787234,error_down
covtype,sgd,mechanism_selector,4,37,49039,49039,0,1000,REBUILD,False,0.9898989898989898,False,0.9698989898989898,0.8093971631205674,0.8067375886524822,0.8333333333333333,1000800,1001,0,1800,3619554,385,params,True,5,0,0.18050182677842241,0.005,0.02247191011235955,0.024553571428571428,error_up
covtype,sgd,mechanism_selector,4,38,51183,51183,0,1000,REBUILD,False,0.9814814814814814,False,0.9614814814814814,0.8409090909090908,0.8380681818181819,0.8693181818181819,1000800,1001,0,1800,4620354,385,params,True,5,0,0.14057239057239057,0.065,0.025664955669622024,0.030523255813953487,error_up
covtype,sgd,mechanism_selector,4,39,52911,52911,0,1000,REBUILD,False,0.9413793103448276,False,0.9213793103448276,0.6598829475924448,0.7045756850226124,0.5062516626762437,1000800,1001,0,1800,5621154,385,params,True,5,0,0.28149636275238277,0.08,0.10422698320787492,0.11348684210526316,error_up
covtype,sgd,mechanism_selector,4,40,53007,53011,4,100,REBUILD,True,0.9413793103448276,True,0.9213793103448276,0.0,,1.0,100000,1000,0,100,5721154,385,params,True,5,0,0.9413793103448276,,0.4,0.609375,error_up
covtype,sgd,mechanism_selector,4,41,53167,53167,0,156,REBUILD,True,0.9413793103448276,True,0.9213793103448276,0.34375,,1.0,156000,1000,0,156,5877154,385,params,True,5,0,0.5976293103448276,,0.23270440251572327,0.265625,error_up
covtype,sgd,mechanism_selector,4,42,53263,53267,4,100,REBUILD,True,0.9413793103448276,True,0.9213793103448276,0.0,,1.0,100000,1000,0,100,5977154,385,params,True,5,0,0.9413793103448276,,0.18947368421052632,0.296875,error_up
covtype,sgd,mechanism_selector,4,43,53359,53367,8,100,REBUILD,True,0.9413793103448276,True,0.9213793103448276,0.0,,1.0,100000,1000,0,100,6077154,385,params,True,5,0,0.9413793103448276,,0.47368421052631576,0.65625,error_up
