dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction
elec2,rf,always_rebuild,4,0,5362,5362,0,832,REBUILD,False,0.7816979051819184,False,nan,0.718562874251497,,1.0,83200,100,100,832,83200,100,trees,False,0,0,0.06313503093042139,,0.2214199759326113,0.375,error_up
elec2,rf,always_rebuild,4,1,5650,5650,0,288,REBUILD,False,0.94,False,nan,0.5862068965517241,,1.0,28800,100,100,288,112000,100,trees,False,0,0,0.35379310344827586,,0.14285714285714285,0.1875,error_up
elec2,rf,always_rebuild,4,2,7282,7282,0,1000,REBUILD,False,0.7,False,nan,0.58,,1.0,100000,100,100,1000,212000,100,trees,False,0,0,0.12,,0.2918454935622318,0.41517857142857145,error_up
elec2,rf,always_rebuild,4,3,9074,9074,0,1000,REBUILD,False,0.725,False,nan,0.815,,1.0,100000,100,100,1000,312000,100,trees,False,0,0,-0.08999999999999997,,0.2601898380792853,0.2421875,error_down
elec2,rf,always_rebuild,4,4,9298,9298,0,224,REBUILD,False,0.83,False,nan,0.26666666666666666,,1.0,22400,100,100,224,334400,100,trees,False,0,0,0.5633333333333332,,0.25112107623318386,0.4166666666666667,error_up
elec2,rf,always_rebuild,4,5,9586,9586,0,288,REBUILD,False,0.685,False,nan,0.29310344827586204,,1.0,28800,100,100,288,363200,100,trees,False,0,0,0.391896551724138,,0.42160278745644597,0.5,error_up
elec2,rf,always_rebuild,4,6,9746,9746,0,160,REBUILD,False,0.685,True,nan,1.0,,1.0,16000,100,100,160,379200,100,trees,False,0,0,-0.31499999999999995,,0.2641509433962264,0.17857142857142858,error_down
elec2,rf,always_rebuild,4,7,11570,11570,0,1000,REBUILD,False,0.89,False,nan,0.745,,1.0,100000,100,100,1000,479200,100,trees,False,0,0,0.14500000000000002,,0.14646187602852442,0.5625,error_up
elec2,rf,always_rebuild,4,8,11826,11826,0,256,REBUILD,False,0.775,False,nan,0.2692307692307692,,1.0,25600,100,100,256,504800,100,trees,False,0,0,0.5057692307692307,,0.3254901960784314,0.4609375,error_up
elec2,rf,always_rebuild,4,9,12530,12530,0,704,REBUILD,False,0.54,False,nan,0.8014184397163121,,1.0,70400,100,100,704,575200,100,trees,False,0,0,-0.26141843971631207,,0.39544807965860596,0.3680555555555556,error_down
elec2,rf,always_rebuild,4,10,12754,12754,0,224,REBUILD,False,0.84,False,nan,0.37777777777777777,,1.0,22400,100,100,224,597600,100,trees,False,0,0,0.4622222222222222,,0.24663677130044842,0.4375,error_up
elec2,rf,always_rebuild,4,11,13746,13746,0,992,REBUILD,False,0.845,False,nan,0.9396984924623115,,1.0,99200,100,100,992,696800,100,trees,False,0,0,-0.09469849246231155,,0.16347124117053483,0.09027777777777778,error_down
elec2,rf,always_rebuild,4,12,14162,14162,0,416,REBUILD,False,0.885,False,nan,0.6071428571428571,,1.0,41600,100,100,416,738400,100,trees,False,0,0,0.2778571428571429,,0.17590361445783131,0.2552083333333333,error_up
elec2,rf,always_rebuild,4,13,15346,15346,0,1000,REBUILD,False,0.645,False,nan,0.775,,1.0,100000,100,100,1000,838400,100,trees,False,0,0,-0.13,,0.3820794590025359,0.2734375,error_down
elec2,rf,always_rebuild,4,14,16178,16178,0,832,REBUILD,False,0.64,False,nan,0.8323353293413174,,1.0,83200,100,100,832,921600,100,trees,False,0,0,-0.19233532934131736,,0.35499398315282793,0.2890625,error_down
elec2,rf,always_rebuild,4,15,17362,17362,0,1000,REBUILD,False,0.705,False,nan,0.9,,1.0,100000,100,100,1000,1021600,100,trees,False,0,0,-0.19500000000000006,,0.25528317836010145,0.24242424242424243,error_down
elec2,rf,always_rebuild,4,16,18930,18930,0,1000,REBUILD,False,0.785,False,nan,0.93,,1.0,100000,100,100,1000,1121600,100,trees,False,0,0,-0.14500000000000002,,0.16719846841097638,0.1600609756097561,error_down
elec2,rf,always_rebuild,4,17,19058,19058,0,128,REBUILD,False,0.785,True,nan,0.07692307692307693,,1.0,12800,100,100,128,1134400,100,trees,False,0,0,0.708076923076923,,0.3464566929133858,0.475,error_up
elec2,rf,always_rebuild,4,18,19154,19158,4,100,REBUILD,False,0.785,True,nan,0.45,,1.0,10000,100,100,100,1144400,100,trees,False,0,0,0.335,,0.35789473684210527,0.515625,error_up
elec2,rf,always_rebuild,4,19,20210,20210,0,1000,REBUILD,False,0.65,False,nan,0.865,,1.0,100000,100,100,1000,1244400,100,trees,False,0,0,-0.21499999999999997,,0.3090047393364929,0.11979166666666667,error_down
elec2,rf,always_rebuild,4,20,20530,20530,0,320,REBUILD,False,0.48,False,nan,0.875,,1.0,32000,100,100,320,1276400,100,trees,False,0,0,-0.395,,0.46394984326018807,0.359375,error_down
elec2,rf,always_rebuild,4,21,20818,20818,0,288,REBUILD,False,0.7,False,nan,0.9137931034482759,,1.0,28800,100,100,288,1305200,100,trees,False,0,0,-0.21379310344827596,,0.2264808362369338,0.15625,error_down
elec2,rf,always_rebuild,4,22,22514,22514,0,1000,REBUILD,False,0.885,False,nan,0.79,,1.0,100000,100,100,1000,1405200,100,trees,False,0,0,0.09499999999999997,,0.16696165191740414,0.2890625,error_up
elec2,rf,always_rebuild,4,23,23826,23826,0,1000,REBUILD,False,0.575,False,nan,0.735,,1.0,100000,100,100,1000,1505200,100,trees,False,0,0,-0.16000000000000003,,0.3333333333333333,0.3125,error_down
elec2,rf,always_rebuild,4,24,24082,24082,0,256,REBUILD,False,0.485,False,nan,0.9615384615384616,,1.0,25600,100,100,256,1530800,100,trees,False,0,0,-0.4765384615384616,,0.4117647058823529,0.2890625,error_down
elec2,rf,always_rebuild,4,25,24594,24594,0,512,REBUILD,False,0.775,False,nan,0.5339805825242718,,1.0,51200,100,100,512,1582000,100,trees,False,0,0,0.2410194174757282,,0.29158512720156554,0.31473214285714285,error_up
elec2,rf,always_rebuild,4,26,24818,24818,0,224,REBUILD,False,0.685,False,nan,0.8666666666666667,,1.0,22400,100,100,224,1604400,100,trees,False,0,0,-0.18166666666666664,,0.3094170403587444,0.16964285714285715,error_down
elec2,rf,always_rebuild,4,27,26354,26354,0,1000,REBUILD,False,0.74,False,nan,0.815,,1.0,100000,100,100,1000,1704400,100,trees,False,0,0,-0.07499999999999996,,0.29055374592833877,0.2622767857142857,error_down
elec2,rf,always_rebuild,4,28,27186,27186,0,832,REBUILD,False,0.83,False,nan,0.688622754491018,,1.0,83200,100,100,832,1787600,100,trees,False,0,0,0.141377245508982,,0.1829121540312876,0.30625,error_up
elec2,rf,always_rebuild,4,29,27378,27378,0,192,REBUILD,False,0.83,True,nan,0.4358974358974359,,1.0,19200,100,100,192,1806800,100,trees,False,0,0,0.39410256410256406,,0.25654450261780104,0.29375,error_up
elec2,rf,always_rebuild,4,30,27602,27602,0,224,REBUILD,False,0.735,False,nan,0.37777777777777777,,1.0,22400,100,100,224,1829200,100,trees,False,0,0,0.3572222222222222,,0.3183856502242152,0.425,error_up
elec2,rf,always_rebuild,4,31,28786,28786,0,1000,REBUILD,False,0.695,False,nan,0.685,,1.0,100000,100,100,1000,1929200,100,trees,False,0,0,0.009999999999999898,,0.23837700760777683,0.2555147058823529,error_up
elec2,rf,always_rebuild,4,32,29042,29042,0,256,REBUILD,False,0.725,False,nan,0.3269230769230769,,1.0,25600,100,100,256,1954800,100,trees,False,0,0,0.39807692307692305,,0.36470588235294116,0.4107142857142857,error_up
elec2,rf,always_rebuild,4,33,30770,30770,0,1000,REBUILD,False,0.615,False,nan,0.75,,1.0,100000,100,100,1000,2054800,100,trees,False,0,0,-0.135,,0.38911407064273307,0.35336538461538464,error_down
elec2,rf,always_rebuild,4,34,30962,30962,0,192,REBUILD,False,0.615,True,nan,0.48717948717948717,,1.0,19200,100,100,192,2074000,100,trees,False,0,0,0.12782051282051282,,0.2094240837696335,0.2375,error_up
elec2,rf,always_rebuild,4,35,31826,31826,0,864,REBUILD,False,0.585,False,nan,0.5144508670520231,,1.0,86400,100,100,864,2160400,100,trees,False,0,0,0.07054913294797682,,0.36964078794901506,0.4326923076923077,error_up
elec2,rf,always_rebuild,4,36,32722,32722,0,896,REBUILD,False,0.61,False,nan,0.5,,1.0,89600,100,100,896,2250000,100,trees,False,0,0,0.10999999999999999,,0.40670391061452515,0.4265625,error_up
