dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction
elec2,rf,fixed_schedule,0,0,5362,5362,0,832,NUDGE,False,0.7794928335170893,False,nan,0.7245508982035929,0.7245508982035929,0.7245508982035929,3325,5,5,665,3325,100,trees,False,0,1,0.05494193531349645,0.011976047904191617,0.2190132370637786,0.2625,error_up
elec2,rf,fixed_schedule,0,1,5490,5490,0,128,NUDGE,False,0.7794928335170893,True,nan,0.9615384615384616,0.9615384615384616,0.9615384615384616,510,5,5,102,3835,100,trees,False,0,2,-0.18204562802137225,0.0,0.3700787401574803,0.28125,error_down
elec2,rf,fixed_schedule,0,2,6290,6290,0,800,REBUILD,False,0.8,False,nan,0.64375,,1.0,80000,100,100,800,83835,100,trees,False,0,0,0.15625,,0.2227784730913642,0.3020833333333333,error_up
elec2,rf,fixed_schedule,0,3,7250,7250,0,960,NUDGE,False,0.8,False,nan,0.59375,0.59375,0.59375,3840,5,5,768,87675,100,trees,False,0,1,0.20625000000000004,0.0,0.2857142857142857,0.35267857142857145,error_up
elec2,rf,fixed_schedule,0,4,7794,7794,0,544,NUDGE,False,0.47,False,nan,0.8440366972477065,0.8440366972477065,0.8440366972477065,2175,5,5,435,89850,100,trees,False,0,2,-0.3740366972477065,0.0,0.42173112338858193,0.3557692307692308,error_down
elec2,rf,fixed_schedule,0,5,8626,8626,0,832,REBUILD,False,0.915,False,nan,0.7125748502994012,,1.0,83200,100,100,832,173050,100,trees,False,0,0,0.20242514970059888,,0.15162454873646208,0.17613636363636365,error_up
elec2,rf,fixed_schedule,0,6,9298,9298,0,672,NUDGE,False,0.915,False,nan,0.6888888888888889,0.6888888888888889,0.6888888888888889,2685,5,5,537,175735,100,trees,False,0,1,0.22611111111111115,0.0,0.15350223546944858,0.4166666666666667,error_up
elec2,rf,fixed_schedule,0,7,9650,9650,0,352,NUDGE,False,0.8,False,nan,0.5352112676056338,0.5352112676056338,0.5352112676056338,1405,5,5,281,177140,100,trees,False,0,2,0.2647887323943663,0.0,0.21367521367521367,0.34375,error_up
elec2,rf,fixed_schedule,0,8,10802,10802,0,1000,REBUILD,False,0.91,False,nan,0.82,,1.0,100000,100,100,1000,277140,100,trees,False,0,0,0.09000000000000008,,0.12076455256298871,0.13058035714285715,error_up
elec2,rf,fixed_schedule,0,9,11570,11570,0,768,NUDGE,False,0.72,False,nan,0.6168831168831169,0.6168831168831169,0.6168831168831169,3070,5,5,614,280210,100,trees,False,0,1,0.10311688311688305,0.0,0.2790091264667536,0.625,error_up
elec2,rf,fixed_schedule,0,10,11730,11730,0,160,NUDGE,False,0.72,True,nan,1.0,1.0,1.0,640,5,5,128,280850,100,trees,False,0,2,-0.28,0.0,0.27044025157232704,0.1484375,error_down
elec2,rf,fixed_schedule,0,11,11890,11890,0,160,REBUILD,False,0.72,True,nan,0.25,,1.0,16000,100,100,160,296850,100,trees,False,0,0,0.47,,0.2389937106918239,0.35,error_up
elec2,rf,fixed_schedule,0,12,12242,12242,0,352,NUDGE,False,0.65,False,nan,0.30985915492957744,0.323943661971831,0.323943661971831,1405,5,5,281,298255,100,trees,False,0,1,0.3401408450704226,0.014084507042253521,0.41025641025641024,0.4895833333333333,error_up
elec2,rf,fixed_schedule,0,13,12626,12626,0,384,NUDGE,False,0.7,False,nan,0.2597402597402597,0.2597402597402597,0.2597402597402597,1535,5,5,307,299790,100,trees,False,0,2,0.44025974025974024,0.0,0.38642297650130547,0.53125,error_up
elec2,rf,fixed_schedule,0,14,12754,12754,0,128,REBUILD,False,0.7,True,nan,0.038461538461538464,,1.0,12800,100,100,128,312590,100,trees,False,0,0,0.6615384615384615,,0.33858267716535434,0.38392857142857145,error_up
elec2,rf,fixed_schedule,0,15,13746,13746,0,992,NUDGE,False,0.83,False,nan,0.9246231155778895,0.9447236180904522,0.9447236180904522,3965,5,5,793,316555,100,trees,False,0,1,-0.0946231155778895,0.020100502512562814,0.18869828456104945,0.10069444444444445,error_down
elec2,rf,fixed_schedule,0,16,14162,14162,0,416,NUDGE,False,0.805,False,nan,0.5119047619047619,0.5119047619047619,0.5119047619047619,1660,5,5,332,318215,100,trees,False,0,2,0.2930952380952382,0.0,0.26265060240963856,0.3489583333333333,error_up
elec2,rf,fixed_schedule,0,17,14962,14962,0,800,REBUILD,False,0.865,False,nan,0.6875,,1.0,80000,100,100,800,398215,100,trees,False,0,0,0.1775,,0.13892365456821026,0.265625,error_up
elec2,rf,fixed_schedule,0,18,15282,15282,0,320,NUDGE,False,0.865,False,nan,0.5625,0.578125,0.578125,1280,5,5,256,399495,100,trees,False,0,1,0.3025,0.015625,0.19435736677115986,0.21875,error_up
