dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction
elec2,sgd,fixed_schedule,1,0,5362,5362,0,832,NUDGE,False,0.6802646085997794,False,nan,0.6167664670658682,0.6167664670658682,0.6167664670658682,665,1,0,665,665,9,params,False,0,1,0.0634981415339112,0.011976047904191617,0.2490974729241877,0.4,error_up
elec2,sgd,fixed_schedule,1,1,5490,5490,0,128,NUDGE,False,0.6802646085997794,True,nan,0.9615384615384616,0.9615384615384616,0.9615384615384616,102,1,0,102,767,9,params,False,0,2,-0.2812738529386821,0.0,0.36220472440944884,0.2708333333333333,error_down
elec2,sgd,fixed_schedule,1,2,5810,5810,0,320,REBUILD,False,0.865,False,nan,0.578125,,0.765625,22080,69,0,320,22847,9,params,False,0,0,0.286875,,0.23824451410658307,0.30078125,error_up
elec2,sgd,fixed_schedule,1,3,6514,6514,0,704,NUDGE,False,0.66,False,nan,0.8368794326241135,0.8652482269503546,0.8652482269503546,563,1,0,563,23410,9,params,False,0,1,-0.17687943262411343,0.1702127659574468,0.38264580369843526,0.30625,error_down
elec2,sgd,fixed_schedule,1,4,7282,7282,0,768,NUDGE,False,0.565,False,nan,0.45454545454545453,0.6558441558441559,0.6558441558441559,614,1,0,614,24024,9,params,False,0,2,0.11045454545454542,0.4090909090909091,0.39113428943937417,0.4453125,error_up
elec2,sgd,fixed_schedule,1,5,7506,7506,0,224,REBUILD,False,0.535,False,nan,0.9333333333333333,,0.7777777777777778,10528,47,0,224,34552,9,params,False,0,0,-0.3983333333333333,,0.4260089686098655,0.35625,error_down
elec2,sgd,fixed_schedule,1,6,9042,9042,0,1000,NUDGE,False,0.41,False,nan,0.555,0.475,0.475,800,1,0,800,35352,9,params,False,0,1,-0.14500000000000007,0.95,0.5289902280130293,0.51015625,error_down
elec2,sgd,fixed_schedule,1,7,9298,9298,0,256,NUDGE,False,0.56,False,nan,0.11538461538461539,0.11538461538461539,0.11538461538461539,204,1,0,204,35556,9,params,False,0,2,0.44461538461538463,0.0,0.5215686274509804,0.6458333333333334,error_up
elec2,sgd,fixed_schedule,1,8,10066,10066,0,768,REBUILD,False,0.55,False,nan,0.7467532467532467,,0.512987012987013,79872,104,0,768,115428,9,params,False,0,0,-0.19675324675324668,,0.41199478487614083,0.3645833333333333,error_down
elec2,sgd,fixed_schedule,1,9,11570,11570,0,1000,NUDGE,False,0.775,False,nan,0.565,0.565,0.565,800,1,0,800,116228,9,params,False,0,1,0.21000000000000008,0.0,0.3306719893546241,0.453125,error_up
