dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction
elec2,sgd,mechanism_selector,3,0,5362,5362,0,832,REBUILD,False,0.7993384785005513,False,0.7793384785005513,0.6107784431137725,0.6047904191616766,0.4251497005988024,68057,82,0,1497,68057,9,params,False,0,0,0.1885600353867788,0.017964071856287425,0.20577617328519857,0.3645833333333333,error_up
elec2,sgd,mechanism_selector,3,1,5490,5490,0,128,REBUILD,True,0.7993384785005513,True,0.7793384785005513,0.038461538461538464,,0.9615384615384616,6016,47,0,128,74073,9,params,False,0,0,0.7608769400390129,,0.5905511811023622,0.85,error_up
elec2,sgd,mechanism_selector,3,2,5618,5618,0,128,REBUILD,True,0.7993384785005513,True,0.7793384785005513,0.3076923076923077,,0.6923076923076923,3456,27,0,128,77529,9,params,False,0,0,0.4916461708082436,,0.4881889763779528,0.5535714285714286,error_up
elec2,sgd,mechanism_selector,3,3,6482,6482,0,864,SKIP,False,0.555,False,0.535,0.6705202312138728,,0.6705202312138728,0,0,0,0,77529,9,params,False,0,0,-0.11552023121387278,,0.48899188876013905,0.359375,error_down
elec2,sgd,mechanism_selector,3,4,8882,8882,0,1000,REBUILD,False,0.63,False,0.61,0.425,0.41,0.82,60800,61,0,1800,138329,9,params,False,0,0,0.20500000000000002,0.025,0.42976240100041685,0.43283582089552236,error_up
elec2,sgd,mechanism_selector,3,5,9234,9234,0,352,SKIP,False,0.58,False,0.5599999999999999,0.8450704225352113,,0.8450704225352113,0,0,0,0,138329,9,params,False,0,0,-0.2650704225352113,,0.3190883190883191,0.3020833333333333,error_down
elec2,sgd,mechanism_selector,3,6,9426,9426,0,192,REBUILD,True,0.58,True,0.5599999999999999,0.8974358974358975,,0.8974358974358975,7872,41,0,192,146201,9,params,False,0,0,-0.3174358974358975,,0.3403141361256545,0.2265625,error_down
elec2,sgd,mechanism_selector,3,7,9586,9586,0,160,REBUILD,True,0.58,True,0.5599999999999999,0.84375,,0.90625,8320,52,0,160,154521,9,params,False,0,0,-0.26375000000000004,,0.34591194968553457,0.2109375,error_down
elec2,sgd,mechanism_selector,3,8,10034,10034,0,448,SKIP,False,0.5,False,0.48,0.8555555555555555,,0.8555555555555555,0,0,0,0,154521,9,params,False,0,0,-0.3555555555555555,,0.36017897091722595,0.3255208333333333,error_down
elec2,sgd,mechanism_selector,3,9,10578,10578,0,544,SKIP,False,0.465,False,0.445,0.8165137614678899,,0.8165137614678899,0,0,0,0,154521,9,params,False,0,0,-0.3515137614678899,,0.4180478821362799,0.34375,error_down
elec2,sgd,mechanism_selector,3,10,10834,10834,0,256,SKIP,False,0.425,False,0.40499999999999997,0.8461538461538461,,0.8461538461538461,0,0,0,0,154521,9,params,False,0,0,-0.42115384615384616,,0.4823529411764706,0.44642857142857145,error_down
elec2,sgd,mechanism_selector,3,11,11058,11058,0,224,REBUILD,True,0.54,False,0.52,0.8666666666666667,,0.8666666666666667,7616,34,0,224,162137,9,params,False,0,0,-0.32666666666666666,,0.4304932735426009,0.40625,error_down
elec2,sgd,mechanism_selector,3,12,12242,12242,0,1000,REBUILD,False,0.67,False,0.65,0.525,0.465,0.475,79800,80,0,1800,241937,9,params,False,0,0,0.14500000000000002,0.56,0.37531699070160607,0.3890086206896552,error_up
elec2,sgd,mechanism_selector,3,13,12594,12594,0,352,REBUILD,False,0.665,False,0.645,0.19718309859154928,0.19718309859154928,0.8450704225352113,28441,81,0,633,270378,9,params,False,0,0,0.4678169014084508,0.0,0.43304843304843305,0.54375,error_up
elec2,sgd,mechanism_selector,3,14,13202,13202,0,608,SKIP,False,0.5,False,0.48,0.7868852459016393,,0.7868852459016393,0,0,0,0,270378,9,params,False,0,0,-0.28688524590163933,,0.35090609555189456,0.32536764705882354,error_down
elec2,sgd,mechanism_selector,3,15,13394,13394,0,192,REBUILD,True,0.5,True,0.48,0.358974358974359,,0.9230769230769231,4224,22,0,192,274602,9,params,False,0,0,0.14102564102564102,,0.3403141361256545,0.38125,error_up
elec2,sgd,mechanism_selector,3,16,14386,14386,0,992,NUDGE,False,0.675,False,0.655,0.4120603015075377,0.6582914572864321,0.6582914572864321,793,1,0,793,275395,9,params,False,0,1,0.26293969849246235,0.9195979899497487,0.4228052472250252,0.55859375,error_up
elec2,sgd,mechanism_selector,3,17,14834,14834,0,448,SKIP,False,0.42,False,0.39999999999999997,0.6111111111111112,,0.6111111111111112,0,0,0,0,275395,9,params,False,0,1,-0.19111111111111118,,0.49217002237136465,0.42578125,error_down
elec2,sgd,mechanism_selector,3,18,15378,15378,0,544,SKIP,False,0.65,False,0.63,0.7339449541284404,,0.7339449541284404,0,0,0,0,275395,9,params,False,0,1,-0.08394495412844039,,0.39410681399631675,0.3611111111111111,error_down
elec2,sgd,mechanism_selector,3,19,16722,16722,0,1000,SKIP,False,0.59,False,0.57,0.695,,0.695,0,0,0,0,275395,9,params,False,0,1,-0.10499999999999998,,0.39612807148175727,0.34151785714285715,error_down
elec2,sgd,mechanism_selector,3,20,17522,17522,0,800,NUDGE,False,0.61,False,0.59,0.4125,0.63125,0.63125,640,1,0,640,276035,9,params,False,0,2,0.1975,0.21875,0.3667083854818523,0.5104166666666666,error_up
elec2,sgd,mechanism_selector,3,21,18962,18962,0,1000,REBUILD,False,0.825,False,0.8049999999999999,0.655,0.64,0.825,56800,57,0,1800,332835,9,params,False,0,0,0.16999999999999993,0.015,0.27241139680333565,0.31125,error_up
elec2,sgd,mechanism_selector,3,22,19154,19154,0,192,REBUILD,True,0.825,True,0.8049999999999999,0.1794871794871795,,0.8461538461538461,4992,26,0,192,337827,9,params,False,0,0,0.6455128205128204,,0.4397905759162304,0.49375,error_up
elec2,sgd,mechanism_selector,3,23,20338,20338,0,1000,REBUILD,False,0.72,False,0.7,0.655,0.59,0.75,57800,58,0,1800,395627,9,params,False,0,0,0.06499999999999995,0.605,0.28317836010143704,0.359375,error_up
elec2,sgd,mechanism_selector,3,24,21426,21426,0,1000,NUDGE,False,0.595,False,0.575,0.5,0.85,0.85,800,1,0,800,396427,9,params,False,0,1,0.09499999999999997,0.62,0.33210671573137074,0.3506944444444444,error_up
elec2,sgd,mechanism_selector,3,25,22098,22098,0,672,REBUILD,False,0.66,False,0.64,0.5777777777777777,0.6222222222222222,0.6,40185,60,0,1209,436612,9,params,False,0,0,0.08222222222222231,0.044444444444444446,0.32190760059612517,0.3645833333333333,error_up
elec2,sgd,mechanism_selector,3,26,22546,22546,0,448,REBUILD,False,0.74,False,0.72,0.3,0.3,0.6444444444444445,34406,77,0,806,471018,9,params,False,0,0,0.44,0.0,0.36017897091722595,0.5803571428571429,error_up
elec2,sgd,mechanism_selector,3,27,23378,23378,0,832,SKIP,False,0.755,False,0.735,0.9041916167664671,,0.9041916167664671,0,0,0,0,471018,9,params,False,0,0,-0.14919161676646708,,0.26594464500601683,0.215625,error_down
elec2,sgd,mechanism_selector,3,28,23954,23954,0,576,NUDGE,False,0.705,False,0.6849999999999999,0.5431034482758621,0.8189655172413793,0.8189655172413793,460,1,0,460,471478,9,params,False,0,1,0.16189655172413786,0.5,0.2782608695652174,0.4375,error_up
elec2,sgd,mechanism_selector,3,29,24370,24370,0,416,NUDGE,False,0.82,False,0.7999999999999999,0.47619047619047616,0.9166666666666666,0.9166666666666666,332,1,0,332,471810,9,params,False,0,2,0.3438095238095238,0.4642857142857143,0.26024096385542167,0.32589285714285715,error_up
elec2,sgd,mechanism_selector,3,30,24722,24722,0,352,NUDGE,False,0.655,False,0.635,0.38028169014084506,0.8169014084507042,0.8169014084507042,281,1,0,281,472091,9,params,False,0,3,0.27471830985915496,0.7183098591549296,0.39886039886039887,0.4583333333333333,error_up
elec2,sgd,mechanism_selector,3,31,25202,25202,0,480,REBUILD,False,0.71,False,0.69,0.4583333333333333,0.5729166666666666,0.6354166666666666,22944,48,0,864,495035,9,params,False,0,0,0.25166666666666665,0.7604166666666666,0.3778705636743215,0.42329545454545453,error_up
elec2,sgd,mechanism_selector,3,32,26034,26034,0,832,SKIP,False,0.675,False,0.655,0.8323353293413174,,0.8323353293413174,0,0,0,0,495035,9,params,False,0,0,-0.15733532934131733,,0.2767749699157641,0.2465277777777778,error_down
elec2,sgd,mechanism_selector,3,33,26162,26162,0,128,REBUILD,True,0.675,True,0.655,1.0,,1.0,3328,26,0,128,498363,9,params,False,0,0,-0.32499999999999996,,0.33858267716535434,0.24107142857142858,error_down
elec2,sgd,mechanism_selector,3,34,26770,26770,0,608,REBUILD,False,0.755,False,0.735,0.47540983606557374,0.48360655737704916,0.8032786885245902,33318,55,0,1094,531681,9,params,False,0,0,0.27959016393442626,0.00819672131147541,0.30971993410214166,0.4,error_up
elec2,sgd,mechanism_selector,3,35,27218,27218,0,448,REBUILD,False,0.79,False,0.77,0.4888888888888889,0.6555555555555556,0.4111111111111111,29030,65,0,806,560711,9,params,False,0,0,0.30111111111111116,0.32222222222222224,0.24608501118568232,0.35625,error_up
elec2,sgd,mechanism_selector,3,36,29394,29394,0,1000,SKIP,False,0.68,False,0.66,0.765,,0.765,0,0,0,0,560711,9,params,False,0,0,-0.08499999999999996,,0.3526436781609195,0.3342013888888889,error_down
elec2,sgd,mechanism_selector,3,37,30322,30322,0,928,NUDGE,False,0.58,False,0.5599999999999999,0.5161290322580645,0.5806451612903226,0.5806451612903226,742,1,0,742,561453,9,params,False,0,1,0.06387096774193546,0.16129032258064516,0.4153182308522114,0.5803571428571429,error_up
elec2,sgd,mechanism_selector,3,38,30802,30802,0,480,REBUILD,False,0.62,False,0.6,0.3541666666666667,0.5,0.8229166666666666,30624,64,0,864,592077,9,params,False,0,0,0.2658333333333333,0.22916666666666666,0.4342379958246347,0.44711538461538464,error_up
elec2,sgd,mechanism_selector,3,39,31314,31314,0,512,SKIP,False,0.58,False,0.5599999999999999,0.7864077669902912,,0.7864077669902912,0,0,0,0,592077,9,params,False,0,0,-0.20640776699029129,,0.3679060665362035,0.28515625,error_down
elec2,sgd,mechanism_selector,3,40,31474,31474,0,160,REBUILD,True,0.58,True,0.5599999999999999,0.96875,,0.84375,8000,50,0,160,600077,9,params,False,0,0,-0.38875000000000004,,0.48427672955974843,0.2875,error_down
elec2,sgd,mechanism_selector,3,41,32114,32114,0,640,REBUILD,False,0.555,False,0.535,0.34375,0.4375,0.6796875,43392,68,0,1152,643469,9,params,False,0,0,0.21125000000000005,0.125,0.48982785602503914,0.609375,error_up
elec2,sgd,mechanism_selector,3,42,33074,33074,0,960,REBUILD,False,0.535,False,0.515,0.4322916666666667,0.2916666666666667,0.5208333333333334,69888,73,0,1728,713357,9,params,False,0,0,0.10270833333333335,0.15104166666666666,0.45359749739311783,0.5234375,error_up
elec2,sgd,mechanism_selector,3,43,33874,33874,0,800,NUDGE,False,0.61,False,0.59,0.375,0.69375,0.69375,640,1,0,640,713997,9,params,False,0,1,0.235,0.53125,0.4267834793491865,0.4861111111111111,error_up
elec2,sgd,mechanism_selector,3,44,34226,34226,0,352,REBUILD,False,0.745,False,0.725,0.3380281690140845,0.2112676056338028,0.19718309859154928,16473,47,0,633,730470,9,params,False,0,0,0.4069718309859155,0.1267605633802817,0.38746438746438744,0.45982142857142855,error_up
elec2,sgd,mechanism_selector,3,45,34450,34450,0,224,REBUILD,True,0.57,False,0.5499999999999999,0.7555555555555555,,0.6888888888888889,7616,34,0,224,738086,9,params,False,0,0,-0.18555555555555558,,0.4125560538116592,0.3697916666666667,error_down
elec2,sgd,mechanism_selector,3,46,34706,34706,0,256,REBUILD,False,0.665,False,0.645,0.4230769230769231,0.21153846153846154,0.8461538461538461,17100,67,0,460,755186,9,params,False,0,0,0.24192307692307696,0.21153846153846154,0.396078431372549,0.41964285714285715,error_up
