dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction
insects_abrupt,rf,fixed_schedule,4,0,12643,12643,0,1000,NUDGE,False,0.7173797969565522,False,nan,0.6984453208781302,0.7033472816624439,0.7033472816624439,4000,5,5,800,4000,100,trees,False,0,1,0.018934476078422025,0.005,0.22666123114553607,0.5625,error_up
insects_abrupt,rf,fixed_schedule,4,1,17923,17923,0,1000,NUDGE,False,0.03,False,nan,0.16094771241830066,0.16094771241830066,0.16094771241830066,4000,5,5,800,8000,100,trees,False,0,2,-0.13094771241830067,0.005,0.9390035991665088,0.8664772727272727,error_down
insects_abrupt,rf,fixed_schedule,4,2,19491,19491,0,1000,REBUILD,False,0.4715909090909091,False,nan,0.47101449275362317,,1.0,100000,100,100,1000,108000,100,trees,True,4,0,0.0005764163372859454,,0.5488194001276324,0.7734375,error_up
insects_abrupt,rf,fixed_schedule,4,3,28163,28163,0,1000,NUDGE,False,0.2505681818181818,False,nan,0.22857142857142856,0.2357142857142857,0.2357142857142857,4000,5,5,800,112000,100,trees,False,0,1,0.021996753246753237,0.015,0.6673970706954215,0.717391304347826,error_up
insects_abrupt,rf,fixed_schedule,4,4,33187,33187,0,1000,NUDGE,False,0.20689655172413793,False,nan,0.22727272727272727,0.23106060606060605,0.23106060606060605,4000,5,5,800,116000,100,trees,True,2,2,-0.020376175548589337,0.015,0.8863229145928728,0.425,error_down
insects_abrupt,rf,fixed_schedule,4,5,33315,33315,0,128,REBUILD,False,0.20689655172413793,True,nan,0.3333333333333333,,1.0,12800,100,100,128,128800,100,trees,False,0,0,-0.1264367816091954,,0.4566929133858268,0.5178571428571429,error_up
insects_abrupt,rf,fixed_schedule,4,6,38819,38819,0,1000,NUDGE,False,0.5619717899399662,False,nan,0.25202063731475494,0.2539814216284804,0.2539814216284804,4000,5,5,800,132800,100,trees,False,0,1,0.3099511526252113,0.015,0.4561148464473923,0.5669642857142857,error_up
insects_abrupt,rf,fixed_schedule,4,7,39779,39779,0,960,NUDGE,False,0.26397023455846985,False,nan,0.5337604399435808,0.5309989064802928,0.5309989064802928,3840,5,5,768,136640,100,trees,False,0,2,-0.26979020538511095,0.015625,0.6517205422314911,0.6382211538461539,error_down
insects_abrupt,rf,fixed_schedule,4,8,46883,46883,0,1000,REBUILD,False,0.3878778998778999,False,nan,0.3344385887864149,,1.0,100000,100,100,1000,236640,100,trees,False,0,0,0.053439311091484976,,0.5537097001267071,0.68359375,error_up
insects_abrupt,rf,fixed_schedule,4,9,52259,52259,0,1000,NUDGE,False,0.5310712337308082,False,nan,0.32,0.295,0.295,4000,5,5,800,240640,100,trees,True,2,1,0.21107123373080822,0.05,0.5088372093023256,0.5322265625,error_up
