dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction
insects_abrupt,xgb,fixed_schedule,0,0,12643,12643,0,1000,NUDGE,False,0.7295633099702555,False,nan,0.6816385981890546,0.6758119085388355,0.6758119085388355,4000,5,5,800,4000,105,rounds,False,0,1,0.047924711781200946,0.08,0.2297866557956244,0.5625,error_up
insects_abrupt,xgb,fixed_schedule,0,1,14947,14947,0,1000,NUDGE,False,0.175,False,nan,0.24079401993355484,0.4591218161683278,0.4591218161683278,4000,5,5,800,8000,110,rounds,False,0,2,-0.06579401993355485,0.795,0.8428137212331741,0.85703125,error_up
insects_abrupt,xgb,fixed_schedule,0,2,18019,18019,0,1000,REBUILD,False,0.42532467532467527,False,nan,0.6066276803118908,,1.0,100000,100,100,1000,108000,100,rounds,False,0,0,-0.18130300498721558,,0.49169651579290136,0.515625,error_up
insects_abrupt,xgb,fixed_schedule,0,3,19651,19651,0,1000,NUDGE,False,0.4213032581453634,False,nan,0.16709183673469388,0.23421768707482996,0.23421768707482996,4000,5,5,800,112000,105,rounds,True,4,1,0.25421142141066955,0.425,0.6210913549969344,0.7604166666666666,error_up
insects_abrupt,xgb,fixed_schedule,0,4,28195,28195,0,1000,NUDGE,False,0.2279321555637345,False,nan,0.14082811747713048,0.37257238749986005,0.37257238749986005,4000,5,5,800,116000,110,rounds,False,0,2,0.08710403808660402,0.565,0.744235046236685,0.7975543478260869,error_up
insects_abrupt,xgb,fixed_schedule,0,5,34179,34179,0,1000,REBUILD,False,0.3302939022766609,False,nan,0.39872863171446965,,1.0,100000,100,100,1000,216000,100,rounds,False,0,0,-0.06843472943780876,,0.697810462978439,0.6901285046728972,error_down
insects_abrupt,xgb,fixed_schedule,0,6,38403,38403,0,1000,NUDGE,False,0.5919187004932466,False,nan,0.485,0.625,0.625,4000,5,5,800,220000,105,rounds,False,0,1,0.10691870049324659,0.215,0.36727444944352355,0.37388392857142855,error_up
insects_abrupt,xgb,fixed_schedule,0,7,38755,38755,0,352,NUDGE,False,0.64,False,nan,0.32439713064713066,0.31898656898656896,0.31898656898656896,1405,5,5,281,221405,110,rounds,True,4,2,0.31560286935286935,0.3380281690140845,0.41025641025641024,0.4375,error_up
insects_abrupt,xgb,fixed_schedule,0,8,39715,39715,0,960,REBUILD,False,0.2857560568086884,False,nan,0.5854469797178131,,1.0,96000,100,100,960,317405,100,rounds,False,0,0,-0.29969092290912475,,0.6611053180396246,0.6477272727272727,error_down
insects_abrupt,xgb,fixed_schedule,0,9,47075,47075,0,1000,NUDGE,False,0.5785897435897437,False,nan,0.444402844634615,0.4984558546779976,0.4984558546779976,4000,5,5,800,321405,105,rounds,False,0,1,0.1341868989551287,0.235,0.32409294741133304,0.3641826923076923,error_up
insects_abrupt,xgb,fixed_schedule,0,10,52419,52419,0,1000,NUDGE,False,0.46561626755509583,False,nan,0.395,0.56,0.56,4000,5,5,800,325405,110,rounds,True,2,2,0.07061626755509581,0.28,0.4542391914654688,0.46165966386554624,error_up
