dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction
insects_abrupt,xgb,mechanism_selector,0,0,12643,12643,0,1000,REBUILD,False,0.7295633099702555,False,0.7095633099702555,0.6816385981890546,0.6758119085388355,1.0,104000,105,105,1800,104000,100,rounds,False,0,0,0.047924711781200946,0.08,0.2297866557956244,0.5625,error_up
insects_abrupt,xgb,mechanism_selector,0,1,14467,14467,0,1000,REBUILD,False,0.365,False,0.345,0.2577798663324979,0.23015873015873015,1.0,104000,105,105,1800,208000,100,rounds,True,5,0,0.1072201336675021,0.54,0.6533187054306089,0.7578125,error_up
insects_abrupt,xgb,mechanism_selector,0,2,18083,18083,0,1000,REBUILD,False,0.4531847615843915,False,0.4331847615843915,0.2892696858425133,0.20726234190126477,1.0,104000,105,105,1800,312000,100,rounds,False,0,0,0.16391507574187825,0.29,0.4970954356846473,0.5034722222222222,error_up
insects_abrupt,xgb,mechanism_selector,0,3,19587,19587,0,1000,REBUILD,False,0.4908490849084909,False,0.47084908490849087,0.2242316282731872,0.2950158022861344,1.0,104000,105,105,1800,416000,100,rounds,True,4,0,0.2666174566353037,0.335,0.5096473719228211,0.5128205128205128,error_up
insects_abrupt,xgb,mechanism_selector,0,4,28067,28067,0,1000,SKIP,False,0.3415094339622642,False,0.32150943396226417,0.3583207801957802,,0.3583207801957802,0,0,0,0,416000,100,rounds,False,0,0,-0.01681134623351599,,0.5024177379407949,0.6428571428571429,error_up
insects_abrupt,xgb,mechanism_selector,0,5,34243,34243,0,1000,SKIP,False,0.29169478182636077,False,0.27169478182636075,0.3354323308270677,,0.3354323308270677,0,0,0,0,416000,100,rounds,False,0,0,-0.04373754900070692,,0.7672874493927125,0.7626164596273292,error_down
insects_abrupt,xgb,mechanism_selector,0,6,38179,38179,0,1000,SKIP,False,0.36111111111111116,False,0.34111111111111114,0.3488603988603989,,0.3488603988603989,0,0,0,0,416000,100,rounds,False,0,0,0.012250712250712281,,0.7120711562897077,0.4895833333333333,error_down
insects_abrupt,xgb,mechanism_selector,0,7,38723,38723,0,544,REBUILD,False,0.905,False,0.885,0.49702660406885757,0.40271257172665625,1.0,56575,105,105,979,472575,100,rounds,True,5,0,0.40797339593114246,0.11009174311926606,0.11049723756906077,0.2109375,error_up
insects_abrupt,xgb,mechanism_selector,0,8,41059,41059,0,1000,SKIP,False,0.4107269135494942,False,0.3907269135494942,0.5109379003310982,,0.5109379003310982,0,0,0,0,472575,100,rounds,False,0,0,-0.100210986781604,,0.5049250535331906,0.49423076923076925,error_down
insects_abrupt,xgb,mechanism_selector,0,9,46883,46883,0,1000,NUDGE,False,0.47810547295841416,False,0.45810547295841414,0.36813973063973066,0.506439393939394,0.506439393939394,4000,5,5,800,476575,105,rounds,True,1,1,0.1099657423186835,0.395,0.5050661171217585,0.6484375,error_up
insects_abrupt,xgb,mechanism_selector,0,10,52131,52131,0,1000,SKIP,False,0.2547112462006079,False,0.23471124620060793,0.37028301886792453,,0.37028301886792453,0,0,0,0,476575,105,rounds,False,0,1,-0.11557177266731661,,0.7724413950829045,0.7378472222222222,error_down
