dataset,model,policy,policy_key,seed,n_stream_rows,n_init_train_rows,scorer,n_alarms,n_adaptations,n_skip,n_nudge,n_rebuild,n_degraded,n_alarms_deferred,n_alarms_coalesced,n_alarms_unserved,n_reference_carried,n_nudge_attempts,n_nudge_successes,n_adaptations_with_placeholders,total_placeholder_rows,initial_placeholder_rows,n_adaptations_on_falling_error,work_units_on_falling_error,total_work_units,total_estimators_fitted,total_rows_processed,total_passes,total_wall_clock_s,total_energy_kwh,initial_work_units,final_prequential_accuracy,mean_prequential_accuracy,final_prequential_balanced_accuracy,mean_prequential_balanced_accuracy,model_size_unit,initial_model_size,final_model_size,initial_n_nodes,final_n_nodes,inference_unit,initial_inference_units,final_inference_units,inference_growth,initial_predict_us_per_row,final_predict_us_per_row,run_wall_clock_s,config_json
elec2,rf,AlwaysRebuild,always_rebuild,0,40781,3624,accuracy,59,59,0,0,59,0,2,0,0,8,0,,0,0,0,16,1140000,3468000,5900,34680,5900,13.30726629999117,,362400,0.877,0.7388489737868125,0.8734788739750352,0.7306569238174769,trees,100,100,66150,13782,node_visits,795.968,643.83,0.808864175444239,11.789600001065992,11.174499995831866,16.64180270000361,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
elec2,rf,MechanismSelector,mechanism_selector,0,40781,3624,accuracy,52,52,16,3,33,11,3,0,0,8,25,3,0,0,0,18,64000,1737105,3425,30957,3425,7.652490599997691,,362400,0.52,0.6970893308158211,0.5429571212200345,0.6756311807823855,trees,100,100,66150,1698,node_visits,795.968,409.911,0.5149842707244513,19.048199996177573,9.394100001372863,11.037426399998367,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
elec2,rf,FixedSchedule(k=3),fixed_schedule,0,40781,3624,accuracy,71,71,0,48,23,0,1,0,0,13,48,,0,0,0,17,279925,1282310,2540,31502,2540,4.619868599969777,,362400,0.74,0.7385301978862706,0.7551695184222473,0.7288083057059785,trees,100,100,66150,7216,node_visits,795.968,579.73,0.728333299831149,11.957100003201049,12.148300003900658,8.038748099999793,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
elec2,sgd,AlwaysRebuild,always_rebuild,0,40781,3624,accuracy,61,61,0,0,61,0,3,0,0,7,0,,0,0,0,19,707624,2279084,0,36696,3421,0.3148201000294648,,235560,0.582,0.6619258968637356,0.5756635906006564,0.6469537347064525,params,9,9,,,params_read,9.0,9.0,1.0,0.18249999993713573,0.16820000018924475,0.6008634999961942,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
elec2,sgd,MechanismSelector,mechanism_selector,0,40781,3624,accuracy,52,52,15,11,26,8,1,0,0,5,29,11,0,0,0,20,42480,759753,0,27789,1284,0.1302248000210966,,235560,0.549,0.6239915646992472,0.5546500556423781,0.6136845213022208,params,9,9,,,params_read,9.0,9.0,1.0,0.17859999934444204,0.17619999562157318,0.37052749999566004,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
elec2,sgd,FixedSchedule(k=3),fixed_schedule,0,40781,3624,accuracy,55,55,0,37,18,0,0,0,0,8,37,,0,0,0,22,197635,580910,0,26918,1060,0.1052207000029739,,235560,0.676,0.6265417719035825,0.6641088581862593,0.6192845274137937,params,9,9,,,params_read,9.0,9.0,1.0,0.16849999519763514,0.16660000255797058,0.3446078999986639,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
insects_abrupt,rf,AlwaysRebuild,always_rebuild,0,47564,4227,balanced_accuracy,10,10,0,0,10,0,0,0,0,0,0,,2,3,0,1,86400,986400,1000,9864,1000,4.2662297999922885,,422700,0.273,0.5696535194685056,0.5554549009384775,0.5708400955606064,trees,100,100,122898,22084,node_visits,1307.418,1010.821,0.7731429428078855,20.025699996040203,18.13120000588242,7.444214200004353,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
insects_abrupt,rf,MechanismSelector,mechanism_selector,0,47564,4227,balanced_accuracy,10,10,2,0,8,1,0,0,0,1,7,0,4,15,0,2,104000,740800,835,12728,835,3.4231412000081036,,422700,0.365,0.48862585148431587,0.46356773548835595,0.4871714719878207,trees,100,100,122898,32218,node_visits,1307.418,1010.041,0.7725463470749219,20.170999996480532,20.15370000299299,6.617516900005285,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
insects_abrupt,rf,FixedSchedule(k=3),fixed_schedule,0,47564,4227,balanced_accuracy,9,9,0,6,3,0,0,0,0,1,6,,2,6,0,3,12000,236800,330,6928,330,1.2142499999899883,,422700,0.365,0.39979816668068285,0.46356773548835595,0.3983950886365979,trees,100,100,122898,32218,node_visits,1307.418,1010.041,0.7725463470749219,19.400099998165388,19.918899997719564,4.242407899997488,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
insects_abrupt,sgd,AlwaysRebuild,always_rebuild,0,47564,4227,balanced_accuracy,10,10,0,0,10,0,0,0,0,0,0,,1,2,0,5,1364448,1915448,0,9544,1946,0.6053740000133985,,942621,0.071,0.2156252628038012,0.10493243830378866,0.21217767069547352,params,204,204,,,params_read,204.0,204.0,1.0,0.320099999953527,0.2336999968974851,1.2075788000001921,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
insects_abrupt,sgd,MechanismSelector,mechanism_selector,0,47564,4227,balanced_accuracy,11,11,7,1,3,1,1,0,0,1,3,1,0,0,0,5,0,161355,0,3679,242,0.08545139999478124,,942621,0.822,0.19598856277857202,0.25,0.19229169790754533,params,204,204,,,params_read,204.0,204.0,1.0,0.2995000031660311,0.41369999962626025,0.6684489999970538,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
insects_abrupt,sgd,FixedSchedule(k=3),fixed_schedule,0,47564,4227,balanced_accuracy,9,9,0,6,3,0,0,0,0,0,6,,2,4,0,4,1114600,2117800,0,7800,2119,0.47564240000065183,,942621,0.413,0.223130939365907,0.37315997566909975,0.22273477258467103,params,204,204,,,params_read,204.0,204.0,1.0,0.23809999402146786,0.24370000028284267,1.1112391999995452,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
insects_gradual,rf,AlwaysRebuild,always_rebuild,0,21735,1932,balanced_accuracy,7,7,0,0,7,0,0,0,0,1,0,,5,11,1,0,0,544000,700,5440,700,2.355478300007235,,193200,0.71,0.4912813434552565,0.57770449593979,0.4880587026859846,trees,100,100,26588,10928,node_visits,876.428,843.227,0.9621178237117025,14.79739999922458,15.342500002589077,3.848119599999336,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
